"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARHGAP12",2.73496375207115e-07,0.322229767853909,0.451,0.341,0.00846662728728666
"SYMPK",2.7772949744251e-07,0.320233663749549,0.304,0.207,0.0085976720523278
"PCM1",2.84384533097733e-07,0.302954971864129,0.582,0.481,0.00880369199110651
"SLC25A13",2.84409914471703e-07,0.350152726074645,0.536,0.439,0.0088044777223005
"IER2",2.88452642026709e-07,-0.34258183444463,0.33,0.426,0.00892962843922083
"SVIL",3.05930708375469e-07,-0.374342835377055,0.588,0.66,0.00947069693917938
"LSM14A",3.10691791569518e-07,0.31289424579546,0.503,0.398,0.00961808579161758
"MBD2",3.11852428835773e-07,0.308985931115347,0.345,0.239,0.00965401563946903
"STK38",3.1285145109042e-07,0.300481204657275,0.447,0.344,0.00968494237140615
"MSL2",3.15758764948587e-07,0.337043326767597,0.33,0.225,0.00977494408651341
"RAI14",3.24079015855562e-07,-0.407909517127049,0.226,0.319,0.0100325140938406
"KIAA0319L",3.25186761867521e-07,0.312165067157593,0.395,0.283,0.0100668065871329
"EPB41L3",3.31483863406445e-07,0.332534335173135,0.498,0.392,0.0102617459594733
"ARHGAP21",3.3471952292156e-07,0.301775016597478,0.646,0.552,0.0103619122710827
"EGFR",3.37994587618146e-07,-0.386286616208388,0.66,0.72,0.010463298448895
"PAPPA",3.42893479575431e-07,0.335910559233539,0.526,0.429,0.0106149534472166
"RPS8",3.64214069134675e-07,0.303041449080592,0.306,0.205,0.0112749749382021
"CBLB",3.66366456280508e-07,-0.459568072790894,0.688,0.712,0.0113416063870757
"ZBTB8OS",3.72647450533561e-07,0.310487980828351,0.323,0.22,0.0115360471261675
"GPC3",4.03329447306475e-07,-0.523249247717324,0.294,0.383,0.0124858697002666
"GFRA1",4.05086175166176e-07,-0.520763296362557,0.228,0.313,0.0125402527246193
"PATJ",4.08625416220736e-07,0.303427199105066,0.328,0.225,0.0126498170099453
"PROS1",4.24164426665421e-07,-0.490839720935113,0.212,0.3,0.0131308581562814
"GBE1",5.37319452075503e-07,-0.325477038440269,0.466,0.542,0.0166337982779014
"NPLOC4",5.747815474185e-07,0.306650119928318,0.313,0.216,0.0177935123634345
"AMPH",5.75405358352039e-07,0.314123108532957,0.346,0.246,0.0178128236785041
"TANC2",6.27646830518151e-07,0.406182721915222,0.36,0.259,0.0194300629323504
"UBR1",6.33366024642079e-07,-0.387011897929227,0.432,0.505,0.0196071120248448
"MTUS1",6.43725233659135e-07,-0.487273346112137,0.305,0.387,0.0199278020583858
"ARRB1",6.69608955022533e-07,0.30471337332875,0.43,0.32,0.0207290844206325
"DUSP1",7.00404162322384e-07,-0.369470256666215,0.285,0.375,0.021682411653014
"ADAMTS1",7.25804159018143e-07,-0.303203736419844,0.24,0.337,0.0224687193507247
"SHPRH",7.36081774807841e-07,0.302813309075806,0.388,0.285,0.0227868835027263
"NDFIP1",7.67280524299376e-07,0.30443179908602,0.395,0.289,0.0237527031907358
"PALLD",8.03935221148753e-07,-0.48826557552558,0.379,0.462,0.0248874226411019
"PELI2",8.5349215787428e-07,-0.495491258751345,0.292,0.376,0.0264215567313141
"ARMC8",1.00759730178551e-06,0.310171245212454,0.302,0.206,0.031192189671374
"RCOR3",1.13733998765197e-06,0.322128609976652,0.396,0.294,0.0352086339977422
"AC009093.2",1.15096513599782e-06,0.315085461011921,0.338,0.241,0.0356304277150845
"DENND6A",1.16811295032896e-06,0.318159228703553,0.379,0.274,0.0361612726033336
"KIAA2026",1.2419241978359e-06,0.313940511516718,0.425,0.325,0.0384462473924061
"REV3L",1.25285708367631e-06,-0.3465633850911,0.771,0.804,0.0387846967393674
"FBLN5",1.2892832946389e-06,-0.392971357872523,0.497,0.565,0.0399123429521366
"PPP3CC",1.31454306923123e-06,0.313900374810005,0.386,0.283,0.0406943097941911
"NUCKS1",1.32741804747013e-06,0.300386693629146,0.412,0.306,0.0410928804955329
"NOX4",1.3276152428892e-06,-0.510040900180361,0.446,0.522,0.0410989850741209
"ZSWIM6",1.4714322282728e-06,-0.309725737422411,0.517,0.588,0.0455511274906409
"STK24",1.60513377890259e-06,-0.469213579226092,0.368,0.447,0.0496901263934875
"XPO1",1.63665098787349e-06,0.301425069331917,0.408,0.309,0.0506658046315997
"BICC1",1.64446603876693e-06,-0.336418260081235,0.829,0.834,0.0509077351621078
"MSI2",1.65576819203071e-06,0.340307739686459,0.538,0.44,0.0512576159206945
"FILIP1L",1.67331796420398e-06,-0.335774263142053,0.278,0.361,0.0518009042178626
"PPP3CA",1.82345773665228e-06,-0.313706529384798,0.742,0.794,0.0564487811535446
"FGF10",1.87587765865897e-06,-0.466854294799797,0.458,0.538,0.0580715446791057
"ECHDC2",1.96579557422064e-06,-0.315268367345175,0.616,0.663,0.0608551335911482
"CDC42EP4",1.98189585881811e-06,-0.38932076938056,0.32,0.411,0.0613535501014322
"ERRFI1",2.09669854447607e-06,-0.438674017816603,0.291,0.373,0.0649074968413457
"UBL3",2.11368338673604e-06,-0.396540015886481,0.3,0.378,0.0654332966031876
"DCAF10",2.17343946004481e-06,0.308650819247479,0.301,0.207,0.0672831653646072
"PRDM2",2.22157429065853e-06,-0.409004615617325,0.401,0.473,0.0687732753159161
"USP36",2.43518091477051e-06,-0.489196640481321,0.285,0.361,0.0753858955785507
"METTL15",2.67372570149538e-06,0.310885680738049,0.467,0.37,0.0827705265411926
"SYNE1",2.6949011449148e-06,-0.317230397303129,0.791,0.8,0.0834260547431276
"INTS6",2.77550423676015e-06,-0.361596298468383,0.302,0.39,0.085921284657384
"KCND2",2.89430164232325e-06,0.308866648661416,0.805,0.752,0.0895988959414007
"CRK",3.03320545618787e-06,-0.354026135494423,0.314,0.396,0.093898941307208
"TMEM132C",3.26222141969593e-06,0.317106191721628,0.554,0.459,0.100988588489527
"FLRT2",4.01749078659544e-06,-0.523289624780177,0.529,0.574,0.124369462280635
"FOXO3",4.55880107196423e-06,-0.475844141430275,0.57,0.622,0.141126804784797
"GNAS",5.29245738651893e-06,-0.372839844497635,0.355,0.422,0.163838603314467
"RPL13A",5.90000587643024e-06,0.309599419146555,0.337,0.246,0.182646481916651
"NUTM2A-AS1",6.12835555488451e-06,0.300310055805072,0.359,0.266,0.18971550291256
"RRBP1",6.50533444239018e-06,-0.367872818403036,0.526,0.582,0.201385638333073
"ADGRB3",6.51687048000208e-06,-0.311598787535194,0.533,0.622,0.201742759449424
"SPACA6",6.80967171972674e-06,-0.410141280980353,0.335,0.407,0.210807007427581
"PCF11",6.82028012687549e-06,-0.35201917193616,0.227,0.3,0.211135411887684
"SH3RF3",8.44074530911136e-06,0.328680033897282,0.426,0.336,0.26130015253416
"PABPC1",8.44806034740602e-06,-0.383192498319905,0.386,0.454,0.261526604174648
"RHEB",9.7263497385965e-06,-0.342367534599236,0.242,0.319,0.301098608857732
"TRMT11",1.02621491433006e-05,0.30495069316844,0.442,0.354,0.317685351029158
"AC004160.1",1.06586705880824e-05,-0.384305472319819,0.588,0.628,0.329960465395266
"C7",1.21903065822877e-05,0.418924617408274,0.599,0.517,0.377375320867881
"BCLAF1",1.27786483525641e-05,-0.367714880425387,0.356,0.419,0.395588617050327
"LHFPL2",1.74311920734867e-05,-0.352369706014638,0.366,0.429,0.539617413018929
"CLSTN2",1.78127171710584e-05,-0.309368782265257,0.347,0.434,0.551428285464456
"GSE1",1.82132993375352e-05,0.34301877034993,0.63,0.551,0.563829107592079
"EIF4A1",2.11228515720473e-05,-0.325371088450491,0.289,0.356,0.653900116115867
"HNRNPF",2.13043369479809e-05,-0.313973312329399,0.265,0.342,0.659518358898644
"CENPC",2.2526246353002e-05,-0.391152925452852,0.247,0.314,0.697345008349883
"NUP153",3.1253167072768e-05,-0.328318196430622,0.331,0.402,0.96750429307168
"SSBP3",3.13314735203359e-05,-0.331502051486461,0.413,0.474,0.969928425769037
"MMP2",4.01304718802205e-05,-0.400158819422591,0.396,0.457,1
"RIPOR3",4.80648708889051e-05,-0.333779740195653,0.434,0.493,1
"TOB2",6.34395409408528e-05,-0.303927111075066,0.251,0.324,1
"SLIT2",6.81367064626016e-05,-0.335911649144051,0.809,0.806,1
"TIMP3",8.48833978758695e-05,0.344649833300255,0.721,0.669,1
"CTNNB1",8.62574437964637e-05,-0.416456965314048,0.435,0.49,1
"MAP3K20",0.000104368542639383,-0.317133271772832,0.39,0.452,1
