"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"OAF",1.44902952077297e-10,0.829621010166662,0.505,0.26,4.48576068745687e-06
"CYP1B1-AS1",1.57345835422574e-10,0.834787116532214,0.724,0.509,4.87095502717661e-06
"SIK2",1.63287441362536e-10,-0.67476658350692,0.685,0.867,5.05488932226004e-06
"LINC00486",1.75127880244432e-10,-0.605095525349858,0.37,0.624,5.42143378872689e-06
"YBX3",1.96052346728638e-10,-0.753246730266242,0.395,0.642,6.06919249767846e-06
"COL4A1",2.18785171496252e-10,-0.940610855712868,0.358,0.601,6.77293255400948e-06
"NECTIN2",2.37272852470263e-10,-0.715791597967896,0.189,0.428,7.34525569392193e-06
"CRY2",2.88958863622329e-10,-0.543287258731402,0.19,0.439,8.94529954115644e-06
"MIR100HG",5.60190850892094e-10,0.595773102304623,0.698,0.497,1.73418281710666e-05
"ABLIM1",6.29807287238735e-10,-0.674535041205983,0.783,0.902,1.94969441910495e-05
"KLF6",6.36621344072716e-10,-0.613698151576775,0.278,0.538,1.97078869484591e-05
"NDRG1",6.77401764341887e-10,-1.00002228237635,0.4,0.601,2.09703264187318e-05
"ADIPOR2",8.56070450624601e-10,-0.722145062154277,0.279,0.526,2.65013729399858e-05
"EIF1",1.01035835417573e-09,-0.511570314120373,0.283,0.543,3.12776635702181e-05
"GFPT2",1.15828457689824e-09,-1.02581618930336,0.794,0.902,3.58570156470389e-05
"ITGB1",1.17022160886942e-09,-0.571329414335131,0.331,0.584,3.62265503457707e-05
"KLF9",1.20028234237068e-09,-0.624404520207171,0.196,0.422,3.71571404727692e-05
"PBX1",1.22159542036655e-09,0.571644062497111,0.979,0.931,3.78169294282874e-05
"SNX9",1.30261161195077e-09,-0.689599173407872,0.744,0.873,4.03249476711599e-05
"KIRREL3",1.30422722597937e-09,-0.9375833526083,0.219,0.434,4.03749622346435e-05
"SLC7A14-AS1",1.54276325210351e-09,0.928533180339788,0.548,0.312,4.77593219953682e-05
"NDEL1",1.69355062105693e-09,-0.639370992985617,0.26,0.497,5.24272465760594e-05
"RHOB",1.7591392380276e-09,-0.50877245309199,0.123,0.318,5.44576733916203e-05
"KLHL15",1.90563381760118e-09,-0.799649592095364,0.158,0.364,5.89927060914799e-05
"CAMK1D",1.98038161052141e-09,0.531273320456725,0.899,0.769,6.13066735169113e-05
"EGR1",2.0464884728569e-09,-0.546342580300117,0.657,0.838,6.33531436542312e-05
"AFF4",2.17197056016344e-09,-0.649614512358875,0.593,0.803,6.72376926309796e-05
"SLIT3",2.51415163687995e-09,-0.631361904413905,0.722,0.85,7.78305922228928e-05
"ATP13A3",2.77579018169493e-09,-0.746612404815976,0.454,0.676,8.59301366547299e-05
