"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZHX2",1.56726514808024e-11,0.557153435883779,0.614,0.634,4.85178271891199e-07
"C20orf194",2.1553921613437e-11,0.678858504101765,0.489,0.466,6.6724475138717e-07
"SEPTIN7",2.71612547949144e-11,0.615549333504799,0.444,0.408,8.40830964686166e-07
"PLCG2",2.83387406305663e-11,0.418150187453016,0.794,0.867,8.77282393700442e-07
"CCDC80",6.6174634861807e-11,0.614007629643949,0.552,0.546,2.04856817141696e-06
"IRF1",8.59992427422192e-11,0.765432396802251,0.36,0.297,2.66227855757088e-06
"MLLT3",1.33063125660577e-10,0.676596876845393,0.378,0.312,4.11923518107448e-06
"DDX3X",1.33452250975876e-10,0.724050984842403,0.568,0.61,4.13128133346018e-06
"NF1",1.37202522054047e-10,0.472629295342659,0.655,0.721,4.24737847522713e-06
"AEBP2",1.9502108164498e-10,0.669558251080451,0.429,0.392,6.03726762448364e-06
"SH3BP5",2.42879011696682e-10,0.67906927135335,0.474,0.439,7.51880556509419e-06
"NR2F2-AS1",4.39017108304826e-10,0.790809443136103,0.443,0.409,1.35906526217925e-05
"WWTR1",6.2450323706907e-10,0.693632479141042,0.552,0.573,1.93327467099472e-05
"KIAA1217",8.42281389956038e-10,0.838347843319609,0.525,0.536,2.60745049888691e-05
"ROR1",1.02023854964491e-09,0.735879927267944,0.424,0.379,3.15835247813575e-05
"FOXN3",1.22874677360239e-09,0.358611761324751,0.852,0.917,3.80383138704092e-05
"ARHGEF12",1.36649683046366e-09,0.540467986380406,0.535,0.555,4.23026423806636e-05
"FHOD3",1.36901333193995e-09,-0.443584549356943,0.253,0.397,4.2380545716865e-05
"TGFBR2",1.43599099369322e-09,0.577388180407885,0.555,0.579,4.44539731917609e-05
"KLF9",1.46580206780444e-09,0.698196191169378,0.416,0.389,4.5376834613022e-05
"SH3RF3",1.59728970375929e-09,0.619340146028634,0.336,0.262,4.94472973592762e-05
"ZHX3",2.29806012894372e-09,0.666703711116359,0.38,0.33,7.11410474117108e-05
"DDR2",2.33313083924726e-09,0.501014715812709,0.645,0.703,7.22267313905774e-05
"RNF115",2.86717820325072e-09,0.640919649552349,0.455,0.435,8.87592356380325e-05
"RSRP1",2.96087890391843e-09,0.61857048139425,0.401,0.365,9.16599282286029e-05
"TAFA2",3.41767018461125e-09,0.826632989006405,0.32,0.25,0.00010580081590501
"SMAD3",3.51167732168379e-09,0.546619274771347,0.684,0.748,0.000108710994847365
"SPRED1",4.25923527759606e-09,0.655744034168705,0.349,0.292,0.000131853146488541
"SGCD",4.37498034393418e-09,0.513380459031514,0.603,0.647,0.00013543626650717
"CTBP2",6.45453693038542e-09,0.714278892199924,0.469,0.456,0.000199813099753941
"SRSF7",1.00067075518836e-08,0.720234130878829,0.367,0.314,0.000309777645683661
"AHDC1",1.41114206227301e-08,0.697753766303902,0.333,0.281,0.000436847248217856
"NR3C2",1.7108014989191e-08,0.526526892811894,0.562,0.59,0.000529612820020385
"SPATS2",2.99067198565323e-08,0.63653766465842,0.355,0.303,0.000925822326598672
"LRP6",3.26807560384911e-08,0.629125891324843,0.351,0.302,0.00101169816468357
"MAN1A1",4.15336207279403e-08,0.41884878323818,0.752,0.836,0.00128575629687485
"RAB8B",4.38768829538584e-08,0.622526732551768,0.351,0.299,0.00135829666560259
"FOSL2",5.35099929376348e-08,0.582579503485291,0.491,0.492,0.00165650885137036
"SLC25A13",5.6526367947464e-08,0.585924251529042,0.439,0.431,0.00174988677254964
"GLS",6.0977871403542e-08,0.604793661601079,0.494,0.526,0.00188769196503945
"PARD3B",6.14132443049885e-08,0.334106783390791,0.839,0.909,0.00190116980394953
"ZNF516",6.65542337300267e-08,0.58796491212735,0.403,0.379,0.00206031941358044
"MAP4K4",6.7467040235488e-08,0.56985138297242,0.61,0.679,0.00208857716457
"NCOA2",8.94180448831747e-08,0.408454757389677,0.666,0.755,0.00276811441544844
"EGFR",1.06085802602065e-07,0.517552232580884,0.72,0.783,0.00328409819115211
"DYNC2H1",1.11900022989625e-07,0.553015309397465,0.504,0.527,0.00346408901168981
"PLAGL1",1.34189651742291e-07,0.579569095384056,0.458,0.452,0.00415410904898609
"BPTF",1.37468833985474e-07,0.399061677757945,0.65,0.722,0.00425562269368831
"EPS15",1.68676320407138e-07,0.422756775506252,0.63,0.71,0.00522171285084377
"ERC1",1.80620612057841e-07,0.384495536033727,0.687,0.775,0.00559147228747458
"ADAMTS1",2.06102497063539e-07,0.737673689738763,0.337,0.291,0.00638031500159599
"KLF2",2.73031996438108e-07,0.470191681842734,0.486,0.473,0.00845225151373451
"KIAA1328",3.33939935085118e-07,0.60195060834646,0.422,0.415,0.01033777857043
"SNTB1",3.67104177527742e-07,0.65822796584816,0.313,0.26,0.0113644440237263
"MBP",3.98679410247927e-07,0.65259072772079,0.347,0.304,0.0123419185030451
"NFE2L2",4.00351508583241e-07,0.51291106435642,0.576,0.649,0.0123936816512114
"MIDN",4.04216591878832e-07,0.644458302131382,0.344,0.301,0.012513333034793
"CLIC4",4.14059925921711e-07,0.595367721391209,0.498,0.49,0.0128180531267584
"ZNF423",4.17493875225883e-07,0.558290461046185,0.51,0.526,0.0129243578953677
"EPB41L3",5.12462988419419e-07,-0.48464574690013,0.392,0.544,0.0158643167324999
"RBM39",5.26701006132204e-07,0.351013303314569,0.774,0.869,0.0163050830468347
"MIR100HG",6.85359580815342e-07,0.450848411744385,0.531,0.521,0.0212166765433005
"ASAP3",7.77934439247063e-07,0.597545605903514,0.34,0.304,0.0240825164357713
"THADA",7.95690925634374e-07,0.503202553469801,0.522,0.558,0.0246322039848633
"KIFAP3",9.1420377253413e-07,0.579849523827844,0.311,0.268,0.0283010061863391
"RALGAPA1",1.0309785910508e-06,0.407430244237663,0.633,0.725,0.0319160042431597
"TMOD3",1.12536217321652e-06,0.581541615789086,0.335,0.302,0.0348378367962639
"CDK17",1.26841270400305e-06,0.607698923904047,0.375,0.346,0.0392662520778224
"KDM5B",1.41419737467858e-06,0.649022621837001,0.323,0.281,0.0437793081279247
"EPN2",1.45712109131165e-06,0.571115848390579,0.38,0.356,0.0451080976237349
"FER",1.67829587437004e-06,0.397295904632325,0.635,0.72,0.0519550053828732
"PTPN12",1.84367106307796e-06,0.49189490638398,0.469,0.473,0.0570745250997044
"ATXN7",2.03649632664729e-06,0.623766757080595,0.438,0.449,0.06304381678402
"TSC22D2",2.11441770586003e-06,0.705079638370765,0.578,0.656,0.0654560289203088
"PACSIN2",2.26454003714127e-06,0.582495177964223,0.383,0.36,0.0701033659297822
"SH3PXD2A",2.46278781684866e-06,0.524562527115021,0.438,0.432,0.0762405224461839
"IER2",3.19847842164857e-06,0.559453472444186,0.426,0.428,0.0990152964989749
"LHFPL2",3.68625957022054e-06,0.596762551538276,0.429,0.425,0.114115537515317
"KMT2E",3.73116491330335e-06,0.449149645033032,0.628,0.701,0.115505672221132
"ATP2A2",3.85878920607476e-06,0.62175774395277,0.419,0.412,0.119456537452456
"ZCCHC14",4.07134858008552e-06,0.611722921295933,0.313,0.277,0.126036737993707
"TPCN1",4.12033880947925e-06,0.548616084671503,0.326,0.291,0.127553328525049
"FAM126A",4.4148860205845e-06,0.573192006478379,0.337,0.311,0.136671626539234
"DDX3Y",4.59707324575194e-06,0.616931937988062,0.36,0.344,0.142311596468743
"RGL1",5.3646716254973e-06,0.544541887626345,0.371,0.345,0.16607413951052
"PBX3",5.54262411836552e-06,0.438201408646566,0.628,0.698,0.171583014832241
"MT-CO3",5.99658895269096e-06,0.59339726553007,0.419,0.424,0.185636404208454
"CHSY3",6.13602777010886e-06,0.640523818553003,0.303,0.261,0.18995301167926
"BAZ2B",6.14358578996861e-06,0.33232034196155,0.684,0.785,0.190186985300058
"KCNQ1OT1",8.26105671585286e-06,0.507249398351243,0.455,0.464,0.255737532752657
"MYO9A",9.33001752334823e-06,0.431797219500467,0.597,0.68,0.288829352470291
"STXBP5",1.29869393962074e-05,0.574442064065428,0.47,0.514,0.402036682888392
"CLASP2",1.32045210099176e-05,0.378822954660357,0.593,0.666,0.40877235690402
"RPS9",1.4240239107999e-05,0.700876059707747,0.306,0.278,0.440835082066325
"PHIP",1.51118597775695e-05,0.51856250703951,0.498,0.532,0.467817843134219
"EMP1",1.71744305138263e-05,0.4326891227858,0.721,0.792,0.531668845416522
"CENPP",1.7664282860837e-05,0.72129165088868,0.416,0.419,0.546833204522932
"PMP22",1.88008120430365e-05,0.540329179761309,0.364,0.34,0.582016738416281
"LARGE1",2.07783614343506e-05,0.60451752080087,0.424,0.425,0.643235734923191
"RASSF8",2.16887340613973e-05,0.565447691715412,0.31,0.278,0.671418140338676
"VMP1",2.84387839298098e-05,0.444574685192878,0.543,0.605,0.880379434115123
"CREBBP",3.15778460441322e-05,0.323990288563143,0.658,0.786,0.977555379988201
"ATXN10",3.21102563175106e-05,0.548770375980401,0.483,0.53,0.994037204821176
"KIF1B",3.3115354384774e-05,0.435652140502994,0.62,0.704,1
"KDM7A",3.66014401096036e-05,0.6558575726881,0.364,0.362,1
"PSD3",3.84781465656121e-05,0.460534814346206,0.401,0.384,1
"PREX2",4.18887899801764e-05,0.485519511699636,0.4,0.389,1
"STK38",5.54329157947271e-05,0.528502337142524,0.344,0.322,1
"SMC5",6.62218838053334e-05,0.540216711032138,0.409,0.427,1
"FNBP1",0.000108954757707307,0.566268592383898,0.411,0.428,1
"SLC25A12",0.000134753036381961,0.489326487255527,0.356,0.351,1
"ACVR2A",0.00014368402994467,0.670790003332793,0.352,0.356,1
"MBD5",0.000161340527151592,0.33900225893581,0.664,0.777,1
"ANKRD36",0.000180616150238126,0.482012041689939,0.331,0.315,1
"DENND1A",0.000186311946296166,0.388354731365468,0.593,0.679,1
"SH3RF1",0.000187222297394997,0.545706833342006,0.445,0.478,1
"CIRBP",0.000190519740228701,0.528387957325069,0.421,0.445,1
"EEF1A1",0.000194112739951102,0.467099470726933,0.509,0.576,1
"ESYT2",0.000209234890448077,0.587817645245932,0.624,0.748,1
"PTPN13",0.000211506686618943,0.454874063266571,0.458,0.501,1
"MT-CO1",0.000250290822821257,0.525718688716777,0.434,0.472,1
"CMIP",0.00029169459901931,0.440938753908387,0.334,0.305,1
"AVIL",0.000294810840404717,0.56238606127258,0.331,0.327,1
