"Cluster","Healthy","Obese"
"Early pre-adipocytes",15.7776530039304,6.56297420333839
"Intermediate pre-adipocytes",39.6687254351488,30.5766312594841
"Transitional adipocytes",5.92363840539023,2.54172989377845
"Mature adipocytes",38.6299831555306,60.3186646433991
