"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FILIP1",3.02583141237707e-57,0.841072442234863,0.662,0.328,9.36706630329569e-53
"OGA",4.4553358045592e-57,-1.17054938384235,0.706,0.814,1.37923830501739e-52
"ADRA1A",4.91471557603795e-57,-1.42854257198069,0.119,0.472,1.52144850087407e-52
"AL136119.1",5.43756290601893e-57,-1.84955900821201,0.157,0.499,1.68330634881628e-52
"PALMD",6.91416789759073e-56,-1.34975914428865,0.23,0.569,2.14041895605716e-51
"MBP",7.78948053919248e-56,0.858782195365503,0.557,0.244,2.41138949051781e-51
"FAM13A",8.36734828139957e-56,-1.29058941045035,0.552,0.766,2.59028000747286e-51
"LIPE",2.84245267471898e-55,-1.47587262367525,0.199,0.531,8.79938074512755e-51
"MDFIC",3.0654018434479e-55,-1.19121306653632,0.422,0.677,9.48956448676167e-51
"FGD5",6.04440166027607e-55,0.831580383559456,0.527,0.217,1.87116542197166e-50
"PC",1.08209570168958e-54,-1.26806482495469,0.098,0.447,3.34984366372042e-50
"PCSK6",1.16215064822841e-54,1.07267846331835,0.591,0.287,3.59766976172069e-50
"TENM3",2.75503411822744e-54,-1.36215651946866,0.415,0.676,8.52875911979668e-50
"PFKFB1",3.38638912621903e-54,-1.01842690927382,0.032,0.372,1.04832448180362e-49
"THRB",7.96495117903065e-54,-0.950713170288216,0.585,0.808,2.46570993649252e-49
"PLXNA2",8.04587968879006e-54,0.998622375979778,0.521,0.246,2.49076297525874e-49
"TRIOBP",8.9070809688467e-54,0.846074298992562,0.625,0.342,2.75736505552587e-49
"ITGA7",1.27029420497035e-53,-1.02139842357059,0.039,0.375,3.93244977032673e-49
"LAMA4",2.09252718736535e-53,-0.884190955279907,0.829,0.906,6.47783641392692e-49
"KLF12",2.31091442962781e-53,0.92621333029822,0.56,0.26,7.15389779979883e-49
"PFKFB3",4.48759677903612e-53,-1.64202876445841,0.495,0.688,1.38922533488621e-48
"AL845331.2",1.23889034260348e-52,-0.996957906604366,0.021,0.348,3.83523283359759e-48
"LINC02607",1.67706674988204e-52,-1.34156489136962,0.109,0.443,5.19169553760984e-48
"MYOF",1.75605128391125e-52,0.87548581420403,0.66,0.388,5.43620795960406e-48
"ACSL1",2.96531422982693e-52,-1.75032164548454,0.301,0.585,9.17972326127524e-48
"LINC00278",3.86352242830083e-52,-1.47321581481149,0.518,0.702,1.19603063812909e-47
"GLI2",7.22108512764078e-52,0.855734793315666,0.528,0.228,2.23543132296376e-47
"AC002066.1",8.48810960913205e-52,-1.45356881372661,0.117,0.45,2.62766409169901e-47
"DAPK2",6.00322246813949e-51,-1.06302702638731,0.082,0.42,1.85841757946194e-46
"SMOC2",8.38890178727502e-51,0.686642098025728,0.548,0.24,2.59695232628673e-46
"TIMP2",1.20235617843537e-50,0.886061233776641,0.69,0.424,3.72213402158238e-46
"TBL1Y",1.27826211088972e-50,-1.15515877435444,0.057,0.388,3.95711601668131e-46
"C6",1.56495447684818e-50,-1.11003717712479,0.077,0.411,4.84462957397892e-46
"HRH1",1.94071955715035e-50,1.07350424030768,0.418,0.167,6.00788553307033e-46
"SPSB1",2.39790586450075e-50,0.840423039703495,0.68,0.403,7.42319718473496e-46
"FABP4",3.50240039761522e-50,-1.19255851750936,0.367,0.621,1.08423809108974e-45
"TNS1",5.11645401292086e-50,-1.15164355371424,0.786,0.836,1.58390066877991e-45
"BMERB1",5.36303850262895e-50,0.87641825901491,0.712,0.435,1.66023582925884e-45
"MGST1",5.75610348367111e-50,-1.03801484917122,0.625,0.783,1.78191695544007e-45
"MCCC1",5.96657250424336e-50,-1.19920848323401,0.262,0.567,1.84707185013862e-45
"GSE1",9.50895261835741e-50,-0.908876592149586,0.493,0.771,2.9436864620649e-45
"PAMR1",1.94494126541591e-49,0.791494189398695,0.425,0.157,6.02095467534804e-45
"TTC28",2.1566800043536e-49,0.632374179710352,0.952,0.887,6.67643428947743e-45
