"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSPAN3",1.99710501127268e-41,0.44342535674972,0.441,0.167,6.18243798339685e-37
"TCF7L2",2.13910624738207e-41,0.591642669836471,0.973,0.85,6.62203121002067e-37
"ADCY9",2.34880995942066e-41,-0.993095513987604,0.162,0.365,7.27121099137855e-37
"TYRO3",2.54478811079201e-41,0.438836111219108,0.314,0.083,7.87790055457883e-37
"METTL2B",3.05691179971355e-41,0.523581817016525,0.411,0.148,9.46328185837322e-37
"FAM107B",3.69271161376463e-41,0.594743466247797,0.769,0.456,1.14315273427312e-36
"ARHGAP26",4.63054139635362e-41,-0.994350505131574,0.481,0.613,1.43347670006919e-36
"RBPJ",6.69307721952639e-41,-0.962674303558227,0.553,0.641,2.07197591484878e-36
"PRKCA",7.44739362743987e-41,-0.993696673866421,0.479,0.613,2.30548964524656e-36
"ADAMTS15",8.57964925487777e-41,0.604051843147709,0.328,0.097,2.65600201983251e-36
"SDK1",9.45897130837582e-41,-1.61968464508667,0.389,0.538,2.9282137479339e-36
"PTPRQ",9.6645639015869e-41,0.65696263395502,0.403,0.145,2.99185904701426e-36
"UNC13B",1.79732073900596e-40,0.473737917710006,0.496,0.215,5.56396581174076e-36
"TAPT1-AS1",1.80136270943955e-40,0.508756982272131,0.621,0.316,5.57647853961202e-36
"ANO10",1.81600557096063e-40,0.510458116563079,0.584,0.278,5.62180844602283e-36
"COL6A1",1.82016783013959e-40,-0.869483323260901,0.141,0.335,5.63469355176313e-36
"PLCL1",1.95524065595016e-40,0.608425710044322,0.566,0.272,6.0528384986249e-36
"MAN1A2",2.13410267667602e-40,0.479841176903868,0.627,0.312,6.60654165618597e-36
"CDHR3",2.96662725758668e-40,0.533131432751395,0.475,0.194,9.18378800131107e-36
"MACROD2",3.12081910700343e-40,0.582161697854457,0.668,0.359,9.66111970955052e-36
"MAP7D1",3.35775721281775e-40,0.529307188190726,0.386,0.135,1.03946090037199e-35
"OAF",5.92377963722312e-40,-0.807379029914364,0.119,0.309,1.83382446229516e-35
"BACE2",8.65791529170181e-40,-0.908242662847852,0.152,0.346,2.68023083685213e-35
"MLYCD",9.02406940842993e-40,0.397502767659368,0.413,0.149,2.79358116676765e-35
"POM121",1.15232155954601e-39,0.487188144096524,0.64,0.327,3.56724185188657e-35
"NUTM2A-AS1",1.22334589646288e-39,0.478066074216169,0.627,0.312,3.78711189168014e-35
"HLCS",1.82220141929269e-39,0.453158490198495,0.572,0.262,5.64098893370437e-35
"CAMK2D",2.34382251040331e-39,-0.871308782285283,0.717,0.743,7.25577134545554e-35
"DAAM2",2.39259470380445e-39,0.610753398153785,0.394,0.144,7.40675542456744e-35
"MPP5",3.64092190242071e-39,0.550900186824631,0.579,0.281,1.12712019333238e-34
"KATNAL2",4.58861503455563e-39,0.537384990526507,0.328,0.101,1.42049755624739e-34
"MYO1D",5.60909474638364e-39,-1.07541214229762,0.146,0.332,1.73640746063798e-34
"AC104123.1",6.78226295285739e-39,0.601782815045338,0.375,0.136,2.09958514231606e-34
"IFT52",1.22583612331275e-38,0.53214887162867,0.4,0.147,3.79482088693927e-34
"IFI16",1.47807485710086e-38,-0.92798918401823,0.152,0.339,4.57567633512714e-34
"APIP",1.77549574049305e-38,0.417837812837967,0.318,0.094,5.49640216384434e-34
"DAAM1",2.62081702523027e-38,0.635777094075842,0.801,0.513,8.11326326500534e-34
"TJP1",2.83926331619653e-38,0.486627135788593,0.678,0.369,8.78950744794958e-34
"RASSF3",2.92308679460167e-38,0.563032213168734,0.474,0.204,9.0489997900484e-34
"NUBPL",4.15543398182709e-38,0.45527984178328,0.571,0.274,1.28639769775421e-33
"OSBPL11",4.40791274277199e-38,0.489717050391531,0.453,0.185,1.36455754777992e-33
"VEGFA",5.32305787287962e-38,0.419809925751847,0.399,0.143,1.64785902570735e-33
"SSH2",7.19426095968816e-38,0.528433561664193,0.908,0.666,2.22712736529067e-33
"JADE1",7.73939713611555e-38,0.41531325586268,0.439,0.171,2.39588517142729e-33
"TMEM120B",7.77914466705032e-38,0.569741645671573,0.477,0.207,2.40818981457877e-33
"BMERB1",8.51805302395244e-38,-1.01619249985261,0.472,0.596,2.63693367462496e-33
"MAP3K20",9.25472137710787e-38,0.500768679113807,0.775,0.476,2.86498409671128e-33
"CDO1",9.3442142548526e-38,0.45019752191073,0.386,0.137,2.89268840687472e-33
"BCL2L13",9.5252987650406e-38,0.437637973407307,0.604,0.299,2.94874673869362e-33
"UBTD1",1.17833281311977e-37,0.515247990671441,0.392,0.147,3.64776488957489e-33
"FHIT",1.24239030979275e-37,0.60057230260321,0.826,0.586,3.8460676820254e-33
"FGF13",1.26771410467993e-37,0.85916001458664,0.36,0.135,3.92446255385765e-33
"PISD",1.59903199020633e-37,0.3952746306122,0.397,0.143,4.95012333208172e-33
"NET1",1.87222849554053e-37,0.424219472352588,0.36,0.122,5.79585775364481e-33
"SLC25A42",2.39578843544792e-37,0.418207234982242,0.401,0.144,7.41664225961614e-33
"ENPP2",2.55596261866263e-37,0.535302741753598,0.451,0.186,7.9124934785939e-33
"VASP",4.04136400293724e-37,-1.47604533444243,0.132,0.312,1.25108505438928e-32
"TRAF3",4.34301081776377e-37,0.436611539777182,0.606,0.31,1.34446585885513e-32
"LPGAT1",5.03114848493465e-37,0.446995717525881,0.494,0.217,1.55749263648122e-32
"ADIRF",5.28558891074921e-37,0.398901124000998,0.524,0.238,1.63625975910063e-32
"SKIL",5.42703002455434e-37,-1.01156699495399,0.288,0.457,1.68004568470129e-32
"USP40",6.23720835646817e-37,0.461498669888265,0.687,0.38,1.93085259091185e-32
"ATP11A",6.87289750586749e-37,-0.90471676240339,0.141,0.324,2.1276428808914e-32
"JUNB",9.10983990285387e-37,-0.917004083280854,0.326,0.486,2.82013313872647e-32
"EVC2",9.4426256231063e-37,-0.779157210371473,0.131,0.314,2.92315361414502e-32
"NAALADL2",1.03672210670752e-36,-0.753224892563423,0.781,0.806,3.20938062573448e-32
"RAI14",1.1962730197497e-36,-0.988463665632746,0.127,0.304,3.70330238723914e-32
"MGST3",1.23091397675507e-36,0.463036480290587,0.497,0.224,3.81054039784067e-32
"ELL2",1.27303469005361e-36,0.387072589518975,0.809,0.504,3.94093348999895e-32
"SEC24D",1.71370186248944e-36,-0.92050613888431,0.197,0.378,5.30510685570857e-32
"ABLIM1",2.09579335382878e-36,0.398269579997346,0.894,0.617,6.48794748544776e-32
"SSBP2",2.22122468552383e-36,-0.6702626799996,0.85,0.836,6.87624525897611e-32
"ESYT1",2.37621646589498e-36,0.416268611866866,0.304,0.088,7.35605331347108e-32
"ETFDH",2.39648900410934e-36,0.420547261736798,0.46,0.195,7.41881101002128e-32
"GTF2E2",3.3208712050702e-36,0.410912177391872,0.492,0.216,1.02804209895358e-31
"AC008014.1",3.49454305784179e-36,0.516297784357182,0.608,0.327,1.08180569441608e-31
"COL5A1",3.89793792962055e-36,-0.837242272699916,0.464,0.604,1.20668464487263e-31
"RXRA",4.11391290250377e-36,0.394318207736112,0.455,0.188,1.27354401722809e-31
"KLF4",4.41220230969376e-36,-0.936072546061908,0.226,0.404,1.3658854690119e-31
"POLR2J3",4.83514875362312e-36,0.392937342627405,0.64,0.329,1.49681699965911e-31
"PTK2",5.65035820768208e-36,-0.620152768678256,0.805,0.793,1.74918139035214e-31
"PARVA",5.91645217549219e-36,0.499974175806344,0.797,0.515,1.83155609996712e-31
"HDAC7",6.37170247801049e-36,-0.833764721331806,0.14,0.317,1.97248793611771e-31
"ZBTB20",8.62897056802012e-36,-0.379789285208051,0.989,0.987,2.67127041874199e-31
"ACADL",1.19567932299377e-35,0.379981075906591,0.447,0.182,3.70146448019181e-31
"AC138627.1",1.3416355715506e-35,0.472421912635841,0.308,0.092,4.15330123884919e-31
"SH3D19",1.39811973534918e-35,0.496263949644816,0.952,0.832,4.32815926472044e-31
"LINC00174",1.64930645043702e-35,0.444587139579018,0.479,0.214,5.10575797861788e-31
"NXN",2.41175470435046e-35,-1.12360815017567,0.133,0.307,7.46606903825773e-31
"DNAH1",2.41655759939432e-35,0.365788545046987,0.306,0.093,7.48093736044498e-31
"MARCH5",2.44197487998828e-35,0.448542616285996,0.436,0.182,7.55962163597971e-31
"CHRDL1",2.49240136116016e-35,0.501133282554356,0.422,0.175,7.7157268937435e-31
"TSPAN9",2.64474251290068e-35,0.382124307462508,0.606,0.301,8.18732939718665e-31
"CYB5A",2.73717188511038e-35,0.490635865659967,0.321,0.105,8.47346300473621e-31
"ACAD10",2.82352359527875e-35,0.43726065284102,0.402,0.157,8.74078199390442e-31
"RAPGEF4",3.08485230614705e-35,0.476723496617543,0.514,0.241,9.54977728413941e-31
"RPS6KA5",3.19571901323266e-35,-0.972955094950726,0.208,0.387,9.89298734926436e-31
"GULP1",3.44649100620725e-35,-0.976833003955198,0.358,0.517,1.06693022079158e-30
"VSIG10",3.60488236177341e-35,0.450631103894702,0.535,0.257,1.11596343273419e-30
"CTNNB1",3.73643430941222e-35,-1.10986185476753,0.368,0.508,1.15668796916474e-30
"PIK3C2B",3.85455096669715e-35,0.472804847063376,0.367,0.133,1.19325334276044e-30
"LAMTOR5-AS1",4.60744801682585e-35,0.370696713954263,0.367,0.128,1.42632768256878e-30
"FGD4",8.27046991261835e-35,0.512637732173159,0.687,0.39,2.56028937084926e-30
"UBQLN1",8.8746637539064e-35,0.487589771394847,0.477,0.215,2.7473296582968e-30
"NRP2",1.42496776267996e-34,0.488058450034471,0.381,0.145,4.41127270292836e-30
"KLHDC10",1.47051012432731e-34,0.523322601297147,0.607,0.325,4.55225819188004e-30
"PLEKHA2",1.69861098067879e-34,-0.896163300651622,0.184,0.359,5.25839001288732e-30
"PRKACA",2.08514341864941e-34,0.383949754951657,0.348,0.12,6.45497848111297e-30
"ENAH",2.11461260737393e-34,-1.01360114205922,0.351,0.501,6.54620624864749e-30
"PRDM16",2.21183524251012e-34,0.52940761397738,0.352,0.13,6.84717836023857e-30
"HELZ",2.42186487818201e-34,0.464024679228251,0.869,0.598,7.49736710338804e-30
"LARP4",2.49594089613228e-34,0.355339053616764,0.703,0.388,7.7266842321567e-30
"ITGB1BP1",2.99045148206571e-34,0.430043200701709,0.541,0.266,9.25754065303081e-30
"MBD2",3.4634472892707e-34,0.403483507920154,0.564,0.281,1.07217937733953e-29
"FAM222B",3.66510322122393e-34,0.478162757899593,0.67,0.383,1.13460600419429e-29
"CERT1",3.87576009496026e-34,0.446621278005719,0.677,0.377,1.19981905259685e-29
"GREB1L",4.23034912690015e-34,0.486321498620475,0.361,0.133,1.30958917921448e-29
"AC073475.1",4.98017672611671e-34,0.533813008270631,0.408,0.168,1.54171330910395e-29
"USP6NL",5.56705741082909e-34,0.464359252857714,0.396,0.158,1.72339396267036e-29
"SUCLG1",5.83304319326913e-34,0.370367768891801,0.322,0.105,1.80573518134033e-29
"CRADD",6.47819826389115e-34,0.44971073182357,0.672,0.371,2.00545583655278e-29
"CACUL1",8.04192136610662e-34,0.387122331321063,0.507,0.229,2.48953759730563e-29
"DCLK2",8.31242299293814e-34,0.457626315372596,0.382,0.149,2.57327678592386e-29
"ATP10A",1.00251015935911e-33,0.515476935124967,0.38,0.15,3.10347070032799e-29
"NAV3",1.3049049348248e-33,-0.640070328596894,0.658,0.772,4.03959420673715e-29
"CACNA2D1",1.38801806766773e-33,0.527868360452592,0.894,0.676,4.29688753207899e-29
"SPEN",1.41345373187798e-33,0.473740789089955,0.646,0.346,4.37562871777465e-29
"PDK4",2.00476105453461e-33,0.495205530823737,0.713,0.411,6.20613879652279e-29
"ADAM22",2.07399009644887e-33,0.398113731425697,0.308,0.099,6.42045114157676e-29
"IFNGR1",2.61167727883722e-33,0.366700275154317,0.392,0.157,8.08496935209637e-29
"NAA50",3.27973527064041e-33,0.408221294492448,0.467,0.208,1.01530764773215e-28
"DNHD1",4.0698328964899e-33,0.341879892739978,0.353,0.127,1.25989816976638e-28
"AP002026.1",4.6755005335888e-33,0.454442132684935,0.33,0.114,1.44739470018308e-28
"MAP3K1",6.28839448096042e-33,0.47654085502423,0.521,0.255,1.94669827947092e-28
"ZMAT1",9.58278439039918e-33,0.354104463899702,0.333,0.118,2.96654256373588e-28
"APCDD1",1.03740947450267e-32,0.466929938981777,0.38,0.151,3.21150851021792e-28
"PCSK6",1.1280895559864e-32,-1.42766498150893,0.335,0.481,3.49222683846711e-28
"KLHL29",1.20567701394184e-32,0.459032624766638,0.677,0.398,3.73241433205975e-28
"ARHGAP28",1.38573238353308e-32,0.395309049680913,0.388,0.154,4.28981173970335e-28
"MTHFS",1.78548287018268e-32,0.35746323619996,0.306,0.099,5.52731932122451e-28
"PDE7B",1.82909722161985e-32,-0.995186561820753,0.209,0.372,5.66233626896858e-28
"LPIN1",2.20547155083885e-32,0.450062111497982,0.505,0.242,6.82747827993182e-28
"SLC25A25",2.61604932664802e-32,0.407774478351746,0.434,0.186,8.09850390050428e-28
"SH3RF3",2.9822867773623e-32,-0.905598843692178,0.216,0.389,9.23226517668047e-28
"PABPN1",3.03290346689294e-32,0.348561946715708,0.44,0.191,9.38895926246048e-28
"CCDC125",3.13417717529843e-32,0.400859746625354,0.389,0.155,9.70247228157134e-28
"STAU2",3.3412346716923e-32,0.393575522404767,0.732,0.424,1.03434601731579e-27
"PILRB",3.66185444233356e-32,0.392384608148978,0.442,0.195,1.1336002797132e-27
"TK2",4.44181035186709e-32,0.382476425843537,0.393,0.157,1.3750512306275e-27
"IMPAD1",4.44265171433383e-32,0.420353360797568,0.392,0.161,1.37531169120632e-27
"ATXN2",5.63947225024413e-32,0.435731460783942,0.872,0.616,1.74581142450808e-27
"SNHG22",6.43141225221542e-32,0.359160980138478,0.326,0.115,1.99097229091833e-27
"TENT4A",6.85309279408862e-32,0.389860084694408,0.56,0.281,2.12151193626601e-27
"ZNF83",1.08249062883256e-31,-0.912826451067301,0.313,0.466,3.35106623967695e-27
"TEX14",1.49696273186208e-31,0.542720150627148,0.535,0.275,4.63414752902543e-27
"BDNF-AS",1.53027854528577e-31,0.446223994436006,0.378,0.153,4.73728329264117e-27
"CRY2",2.02644123278657e-31,0.398756709862868,0.594,0.318,6.27325412433739e-27
"OLA1",3.23812636417129e-31,0.39875824882516,0.401,0.168,1.00242677855651e-26
"AGMO",4.56568954647178e-31,0.462263820012704,0.35,0.134,1.41340051290127e-26
"H2AFY",4.5771887314547e-31,0.359277888913735,0.403,0.171,1.41696031559643e-26
"PSD3",5.0469852692014e-31,-0.997732422669989,0.332,0.475,1.56239522978668e-26
"RNF24",5.46736793452636e-31,-0.961019751648291,0.174,0.34,1.69253309149133e-26
"ZNF827",5.54606201250824e-31,0.363465567895042,0.531,0.258,1.71689441721218e-26
"MBNL2",6.73550195844161e-31,0.502632270391758,0.858,0.619,2.08510934127477e-26
"ARHGEF40",7.76416959716187e-31,0.39883183911717,0.344,0.131,2.4035539821934e-26
"ASCC2",8.75471397187152e-31,0.311799851675204,0.388,0.159,2.71019680427227e-26
"GPI",9.5748710271997e-31,0.437725297514667,0.604,0.326,2.96409282389021e-26
"RCL1",9.66121380306211e-31,0.405007229108695,0.416,0.18,2.99082195701394e-26
