"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RAB8B",1.52807189121906e-12,-0.568771403933241,0.336,0.389,4.73045215364685e-08
"NFIX",1.96902436182585e-12,-0.451733146222657,0.746,0.67,6.0955087169043e-08
"RNF213",2.73891933156194e-12,-0.474894566018546,0.644,0.601,8.47887257471628e-08
"AC027097.2",4.39412144027175e-12,-0.62524738005559,0.247,0.314,1.36028817426493e-07
"ANKRD36",4.46305303565741e-12,-0.524914209110497,0.533,0.514,1.38162732824846e-07
"ZNF516",5.15547213027065e-12,-0.600777716520357,0.334,0.382,1.59597950736789e-07
"SIK3",5.61948416541717e-12,-0.407182454174541,0.739,0.689,1.73962371308819e-07
"IL6ST",6.32602034414141e-12,-0.562470078308473,0.597,0.549,1.95834611793586e-07
"GRB10",8.49247992758516e-12,-0.553149642381047,0.273,0.334,2.62901701118254e-07
"PIP4K2A",1.08934228918689e-11,-0.538085862126023,0.367,0.413,3.37227692463585e-07
"ABCA1",1.57338798663908e-11,0.327906431754319,0.82,0.667,4.87073719023861e-07
"SLC25A43",1.67741953461644e-11,-0.550905524800738,0.334,0.382,5.19278765331211e-07
"IQGAP1",1.92032486138505e-11,-0.484638093898454,0.618,0.576,5.9447496733897e-07
"PTPN9",2.18331663967371e-11,-0.604318357482811,0.353,0.398,6.7588933214379e-07
"SNTB2",5.84793435960898e-11,-0.540798369862475,0.318,0.369,1.81034503970415e-06
"ZBTB7C",6.31028458781673e-11,-0.759705803031913,0.25,0.312,1.95347479985042e-06
"SNTB1",6.77342389815316e-11,-0.587388307740228,0.319,0.375,2.09684883615127e-06
"DLGAP4",7.80477338114413e-11,-0.62664405687082,0.415,0.43,2.41612369560079e-06
"PALM",1.44630480388527e-10,-0.49567668332533,0.565,0.539,4.47732578138762e-06
"PKHD1L1",1.96088412997707e-10,-0.546573907196508,0.48,0.478,6.07030900117003e-06
"OSMR-AS1",2.17894516408646e-10,-0.554861033533399,0.268,0.325,6.74536054446246e-06
"RUFY3",2.52491488556681e-10,-0.421784309381977,0.693,0.624,7.81637901124916e-06
"SPRED1",2.98757565131941e-10,-0.52374467581765,0.355,0.394,9.2486379437895e-06
"STAT3",3.08526732640051e-10,-0.446675478265089,0.679,0.627,9.55106206233806e-06
"RUNX1",3.10895395930845e-10,-0.791540410686752,0.351,0.38,9.62438877183117e-06
"PTPN12",3.54330621321801e-10,-0.462399311545376,0.632,0.581,1.0969013044259e-05
"CUX1",6.46444406288162e-10,-0.321523069000797,0.888,0.789,2.00119794854626e-05
"FAM114A1",7.04922781321926e-10,-0.557133220376655,0.413,0.425,2.18222945413829e-05
"ARHGAP24",7.12477452024103e-10,-0.411058527685241,0.869,0.797,2.20561644823102e-05
"DYNC1H1",7.7201234129295e-10,-0.42505115557881,0.636,0.586,2.38991860494059e-05
"SPAG9",8.54531745920125e-10,-0.352436206659206,0.733,0.661,2.64537392584493e-05
"MT-ND4",8.60926100036106e-10,-0.464678866963402,0.501,0.506,2.66516892788177e-05
"MCL1",9.18550790361457e-10,-0.540700788084906,0.337,0.377,2.84355768172196e-05
"NCOA3",1.16622631526932e-09,-0.524448874521124,0.445,0.458,3.61028680417925e-05
"SEPTIN7",1.53687709609461e-09,-0.518393212334177,0.481,0.466,4.75771042638008e-05
"MAGI3",1.67363065155483e-09,-0.495644303724063,0.6,0.562,5.18105840801827e-05
"MYO1D",1.70842673310162e-09,-0.661042795979333,0.259,0.31,5.28877663766269e-05
"ZC3HAV1",1.76728515318524e-09,-0.573455964387573,0.277,0.322,5.47098464871555e-05
"AL445426.1",1.77337064362145e-09,-0.483453252517166,0.419,0.458,5.48982350145892e-05
"ZHX3",2.19030112378968e-09,-0.554759146904904,0.394,0.411,6.78051518891572e-05
"RPLP1",2.23262704946375e-09,-0.529719062713002,0.411,0.431,6.91154355702494e-05
"DSTN",2.8192225625777e-09,-0.646282761457205,0.395,0.406,8.72746728697179e-05
"CD47",3.74665626569921e-09,-0.519161365143726,0.259,0.306,0.000115985238017251
"TNRC6C",4.08257509875663e-09,-0.424710989219345,0.706,0.621,0.000126384277332209
"AC020916.1",4.67157772189567e-09,-0.780220480352224,0.355,0.389,0.000144618031536724
"HIVEP1",5.19381936378698e-09,-0.568921934270642,0.422,0.424,0.000160785066044754
"MT-ND3",6.45690756034267e-09,-0.436830634112514,0.605,0.565,0.000199886487345528
"JDP2",9.01614453367524e-09,-0.623999995119359,0.271,0.322,0.000279112786328984
"GLS",9.05723929629829e-09,-0.39892708766034,0.697,0.619,0.000280384956895506
"EPB41L3",1.61952189780977e-08,-0.523116745485493,0.621,0.581,0.000501355393904971
"EVI5",1.73810600288475e-08,-0.407097703564338,0.632,0.592,0.000538065475313031
"GNA12",3.35965832597565e-08,-0.553274609907529,0.456,0.444,0.00104004942797228
"FAM168A",3.87377910185155e-08,-0.554423595600621,0.365,0.391,0.00119920579656018
"RPL13",4.41633631814053e-08,-0.508721043624813,0.584,0.537,0.00136716523400676
"TMSB4X",4.62762831390477e-08,-0.463834609114876,0.465,0.462,0.0014325748971355
"MT-ND5",5.8102151170187e-08,-0.491595243782634,0.413,0.42,0.00179866829377548
"SIPA1L3",5.91851374967571e-08,-0.56932119691743,0.493,0.476,0.00183219430148711
"CDC42BPB",9.49064213662918e-08,-0.443734005590153,0.61,0.544,0.0029380180862363
"IL1R1",9.50297840266762e-08,-0.531922792511455,0.271,0.311,0.00294183702411381
"RNF115",1.14297770217145e-07,-0.483154740897858,0.557,0.511,0.00353831607261214
"FUT8",1.19849487918932e-07,-0.511813083181143,0.512,0.496,0.00371018059750639
"RPS6KA3",1.62939830890664e-07,-0.490325669370843,0.434,0.434,0.0050441283448823
"PACS1",1.7329953540108e-07,-0.444660988924067,0.625,0.575,0.00536483371741125
"ARHGEF12",1.74671412817394e-07,-0.413618908131931,0.655,0.587,0.00540730292658808
"RASSF8",1.7920416229465e-07,-0.498552393332476,0.419,0.427,0.00554762325215548
"AEBP2",2.34872118856824e-07,-0.552269189790445,0.522,0.484,0.0072709361834507
"ASAP2",2.76699723478628e-07,-0.324523685217087,0.757,0.677,0.00856579333972788
"NFE2L2",2.77699435687915e-07,-0.432256402614571,0.608,0.552,0.0085967414305908
"MIRLET7BHG",4.1398892854122e-07,-0.403586419003212,0.677,0.606,0.0128158552608506
"CERS4",5.09429101423179e-07,-0.496941975801537,0.38,0.393,0.0157703966927573
"AP2A2",7.86967536032189e-07,-0.486684367639666,0.451,0.441,0.0243621540129485
"TRIM2",8.78654090084201e-07,-0.504436769045075,0.343,0.362,0.0272004946667366
"MT-ND2",8.88914044835612e-07,-0.466654463252951,0.477,0.464,0.027518112085976
"CEP126",1.11472112672977e-06,-0.46711577922651,0.269,0.303,0.0345084219201736
"ATXN10",1.33459195592023e-06,-0.466536980000771,0.61,0.55,0.0413149631794224
"ABL1",1.34798621144562e-06,-0.421041937384711,0.779,0.674,0.041729609147722
"WDFY3",1.35474339069257e-06,-0.318009812885317,0.751,0.661,0.04193879114567
"DENND5A",1.78613968258222e-06,-0.488511628372115,0.434,0.429,0.0552935261536976
"LIFR",1.87452242982793e-06,-0.69065780341341,0.403,0.396,0.0580295908601832
"EVA1C",1.96212563153972e-06,-0.519894863271766,0.361,0.375,0.0607415231755751
"LHFPL2",1.98676206253258e-06,-0.537762437465955,0.343,0.36,0.0615041931698211
"ROBO1",2.05033414749783e-06,-0.46556653808737,0.672,0.606,0.0634721942040904
"SGCD",2.19398696409103e-06,-0.43407206445955,0.636,0.576,0.0679192544473662
"AHR",2.36528890625366e-06,-0.491564477676377,0.319,0.339,0.0732222486708947
"ANKRD36C",2.83616197357335e-06,-0.461633545637548,0.352,0.367,0.0877990662159102
"TSC22D1",3.68448424827826e-06,-0.50461233123303,0.284,0.314,0.11406057887395
"LRCH3",5.67152854348479e-06,-0.402685949811681,0.677,0.572,0.175573509120659
"EGFR",5.86085553875456e-06,-0.391292161237738,0.775,0.699,0.181434504913225
"MANBA",6.25868298297188e-06,-0.506736425249585,0.316,0.327,0.19375004910386
"CCDC57",7.2418146966348e-06,-0.479625425207589,0.323,0.339,0.224184857563723
"MT-ND1",7.70244720639972e-06,-0.459287590912042,0.424,0.418,0.238444658168516
"ACKR3",7.73759140768959e-06,-0.604152744048667,0.388,0.389,0.239532617207847
"PKD2",7.76893467760657e-06,-0.344277231374958,0.648,0.578,0.240502910814667
"SH3RF1",9.21399016855779e-06,-0.492830368272156,0.458,0.446,0.285237493648043
"SLC16A1-AS1",1.02578157505342e-05,-0.479893033341804,0.509,0.48,0.317551202189286
"CMIP",1.090285086357e-05,-0.485560125419085,0.434,0.422,0.337519554183536
"AGO2",1.10210686508108e-05,-0.481905481218305,0.444,0.424,0.341179222223151
"SORBS2",1.45003817067219e-05,-0.493633044965907,0.352,0.36,0.448888316494991
"FUS",1.45068500314236e-05,-0.378096393648736,0.695,0.587,0.449088556422781
"MYH9",1.68016676174245e-05,-0.427238110185633,0.379,0.382,0.520129224432611
"IGF2R",2.1224443333479e-05,-0.433328922160425,0.489,0.453,0.657045092274509
"CD99",2.30142941621546e-05,-0.442861176336563,0.485,0.453,0.71245350437782
"DYNC2H1",3.70524554669308e-05,-0.425344812861432,0.54,0.499,1
"UBTD2",3.81042533602078e-05,-0.458206150098574,0.335,0.348,1
"ABI2",3.82786268412922e-05,-0.429434467930219,0.309,0.326,1
"ACTG1",3.95777528532876e-05,-0.388808454246296,0.302,0.326,1
"MT-ATP6",4.18088895980054e-05,-0.433696525541746,0.501,0.464,1
"NAV3",4.51090258574544e-05,-0.333801886956606,0.589,0.578,1
"ADAM10",4.88016513550407e-05,-0.483299731033342,0.439,0.415,1
"PTBP2",5.22406750809525e-05,-0.381821648221769,0.676,0.571,1
"JUND",5.49861810233641e-05,-0.39529353030675,0.568,0.512,1
"CPE",5.73029061929092e-05,-0.463613073571556,0.375,0.376,1
"RAP1B",5.92308170129346e-05,-0.326780465062501,0.759,0.648,1
"BACH1",6.22859359616332e-05,-0.479546292064091,0.292,0.307,1
"MAST2",6.37445638651369e-05,-0.493284451229468,0.341,0.343,1
"PHLDB1",7.99271965332528e-05,-0.359284098243397,0.674,0.592,1
"KIF1B",9.59582957005949e-05,-0.322462577933441,0.677,0.591,1
"LARGE1",0.000105308349273421,-0.430582339348497,0.6,0.533,1
"ZNF846",0.000110766284877276,-0.43602355166472,0.36,0.361,1
"TULP3",0.000117506409924593,-0.474930777951643,0.397,0.383,1
"STK24",0.000145161088015664,-0.464406349328123,0.427,0.404,1
"RPS28",0.000148066813692271,-0.424043802797811,0.301,0.317,1
"PLD1",0.000160762664887628,-0.397504689922829,0.682,0.609,1
"IRAK3",0.000185338859579977,-0.449497949061119,0.382,0.369,1
"MAPK1",0.000259903665897333,-0.43083791917265,0.552,0.488,1
"DLEU2",0.000270455807731064,-0.424023282858853,0.645,0.576,1
"ZSWIM6",0.000305888623990291,-0.405698687354492,0.626,0.563,1
"TRAF3IP2-AS1",0.000347680155897663,-0.464074109304642,0.547,0.498,1
"SLC39A8",0.000498547207986672,-0.429858831344521,0.337,0.341,1
"ERBIN",0.000510226538938437,-0.345631165369938,0.669,0.567,1
"PLCL2",0.000554281952326788,-0.382847672543615,0.312,0.322,1
"AP000561.1",0.000568072969886597,-0.470425421825184,0.355,0.349,1
