"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF611",2.70509533226147e-05,0.381532993938309,0.312,0.188,0.837416362008183
"ENAH",2.73840720783588e-05,0.349567053457235,0.561,0.4,0.847728719329753
"EIF1",2.78863273404042e-05,0.315939840203407,0.543,0.388,0.863277035476894
"NFKB1",2.81574937898351e-05,0.569476109108242,0.486,0.369,0.871671535251926
"MAN1C1",2.85250364654655e-05,0.307195110904037,0.428,0.275,0.883049553861416
"ETF1",2.85933962679967e-05,-0.447953575680732,0.497,0.636,0.885165768268374
"VMP1",2.86965360793875e-05,0.414494904712678,0.665,0.581,0.888358667409598
"LRP1B",3.00063983234503e-05,-1.30213826363114,0.22,0.341,0.92890807289905
"SLC39A9",3.05155748603106e-05,0.302321628299039,0.306,0.181,0.944670650950634
"TENT5A",3.08898618967534e-05,0.392711834111641,0.37,0.231,0.956257454737794
"SNX14",3.08934183739096e-05,0.425937307747337,0.543,0.413,0.956367552601119
"SSBP3",3.22433803509776e-05,-0.323183462141543,0.37,0.556,0.998158325525212
"STX12",3.31446924723289e-05,0.475532523168043,0.566,0.443,1
"FMNL2",3.33932153479451e-05,-0.395374404136675,0.572,0.698,1
"NFIL3",3.35850893298093e-05,-0.401174002436034,0.451,0.598,1
"NOD1",3.38713072169811e-05,0.354963456099438,0.376,0.24,1
"ACSL4",3.42025888633592e-05,0.339793555791142,0.382,0.245,1
"RPS6",3.48867363927106e-05,0.310110000238855,0.364,0.227,1
"ATXN10",3.54629502830686e-05,0.344300008136885,0.653,0.505,1
"PRKD3",3.62552589342592e-05,0.307596331084028,0.364,0.229,1
"ITGB1BP1",3.68784140118237e-05,-0.42194734684186,0.289,0.442,1
"CSNK1G1",3.70560843123765e-05,0.366407953985975,0.561,0.437,1
"SPG11",3.7109915656786e-05,0.478792511773801,0.561,0.449,1
"TTC7B",3.8730985923728e-05,-0.426702819147034,0.382,0.531,1
"MICAL3",3.94303799592957e-05,-0.429582563953431,0.434,0.579,1
"USP54",4.11042786745217e-05,0.441523065025817,0.364,0.236,1
"PRKCE",4.20066483941124e-05,0.4289679917113,0.728,0.678,1
"SEPTIN10",4.39813586359071e-05,0.406370321567039,0.347,0.221,1
"BABAM2",4.51460008561462e-05,0.422068820310339,0.613,0.514,1
"EPB41L2",4.58481650415369e-05,-0.335116987217078,0.803,0.881,1
"MATN2",4.63725184128221e-05,-0.342197019545239,0.225,0.389,1
"KLHL15",4.66078382490829e-05,0.565052659438721,0.364,0.244,1
"ATL2",4.70214895408433e-05,-0.455479258010993,0.358,0.51,1
"ATF7IP",4.73125171776702e-05,-0.412408938713036,0.486,0.601,1
"TXLNA",4.74438748156109e-05,0.313466332365662,0.324,0.199,1
"SLC25A42",4.76086061223667e-05,-0.382442594820609,0.156,0.309,1
"ACTR2",4.9261063573922e-05,0.361205614182735,0.416,0.277,1
"ATXN2",4.92986624840349e-05,-0.327308490476353,0.705,0.775,1
