"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-CYB",0.0182223692170724,0.360441004633952,0.328,0.2,1
"ZNF263",0.0186328601112778,0.300756041301037,0.313,0.193,1
"TENM3-AS1",0.019157494933256,0.31661515277775,0.343,0.218,1
"LSM14A",0.0212747236795597,0.300145724370784,0.776,0.608,1
"SMIM41",0.0246277053605148,-0.343210516534408,0.313,0.173,1
"SLC25A42",0.0280353521444996,0.31617073830992,0.433,0.295,1
"PLXDC2",0.0352525678120741,-0.380769937849937,0.761,0.548,1
"ABI3BP",0.0377519629864734,-0.455467937010319,0.612,0.366,1
"ANK2",0.0409949716125978,-0.389272567518047,0.672,0.443,1
"PAPPA",0.0604033990981318,-0.377547486403721,0.313,0.189,1
"ARHGAP6",0.0607730116629077,-0.336524788804127,0.358,0.217,1
"GFPT2",0.0789105791394324,-0.676387961551959,0.448,0.288,1
"TANC2",0.0789356193360544,-0.495305898212426,0.224,0.3,1
"FBLN5",0.0889616094316494,-0.301402353053643,0.433,0.275,1
"MT-ND2",0.089003258198554,0.358463768676393,0.403,0.29,1
"EFEMP1",0.105328041486844,-0.391197369674347,0.418,0.464,1
"FN1",0.138780213030078,-0.523737198787497,0.343,0.224,1
"PDLIM1",0.140266972221991,-0.301205007835989,0.328,0.21,1
"GAS7",0.155437970404402,-0.759816510825943,0.597,0.394,1
"DENND2A",0.156056376673436,-0.42433635144796,0.642,0.429,1
"ATF6",0.156859324480148,-0.327509763446365,0.343,0.401,1
"MEG8",0.164993074341946,-0.701917464500021,0.403,0.267,1
"TC2N",0.166400480377873,-0.345079128009448,0.463,0.304,1
"RNF13",0.172545284086841,-0.437709958015579,0.328,0.347,1
"LPAR1",0.177997132538636,-0.598509024589632,0.478,0.306,1
"AXL",0.183986428859979,-0.357479032962549,0.448,0.306,1
"NOX4",0.185940186722754,-0.37096380962186,0.463,0.316,1
"PHIP",0.191211383149038,-0.40615557015318,0.522,0.522,1
"DCN",0.202123618379797,-0.312114006455483,0.507,0.362,1
"COL1A2",0.205379479649222,-0.442665058979772,0.522,0.342,1
"SEMA3C",0.215496766740647,-0.402274450081514,0.687,0.499,1
"SLIT2",0.217241824793901,-0.328036834242958,0.716,0.589,1
"SMURF2",0.247867372093269,-0.586850955382741,0.522,0.492,1
"ANTXR1",0.259335869599799,-0.379093711606914,0.418,0.297,1
"RNF24",0.260442821879909,-0.309997705303913,0.343,0.237,1
"ADH1B",0.267810737017525,-0.317777959056272,0.761,0.695,1
"FBN1",0.27090292854499,-0.669457863153455,0.836,0.831,1
"FRMD4B",0.28243048930114,-0.332768850290091,0.433,0.315,1
"MRC2",0.310135716870983,-0.33922152286949,0.373,0.262,1
"MT-CO1",0.322547828904552,0.372497945320742,0.537,0.459,1
"EBF2",0.340377230976544,-0.348890139393535,0.866,0.677,1
"DOCK4",0.340856939758564,-0.554997480636465,0.701,0.522,1
"PCSK6",0.360389880060318,-0.724119148848121,0.388,0.393,1
"ARL15",0.396384535172708,-0.360489556805571,0.701,0.624,1
"ZNF385D",0.403787409837246,-0.624886843202665,0.463,0.344,1
"COL6A3",0.43881507617067,-0.615430645044298,0.537,0.38,1
"RFX2",0.458224990304609,-0.360659214207028,0.582,0.448,1
"UAP1",0.460619692923818,-0.372807676798052,0.522,0.386,1
"SDK1",0.461104989372247,-0.650909737452699,0.597,0.445,1
"FAM126A",0.477520033520786,-0.39977455607111,0.328,0.319,1
"GRK5",0.484303271528304,-0.738495442211312,0.388,0.287,1
"PCSK5",0.491307542931224,-0.376281432845033,0.806,0.752,1
"MIR99AHG",0.491874633211101,-0.408836241426484,1,0.956,1
"SYNE1",0.491957976097313,-0.381802986331497,0.866,0.754,1
"LDB2",0.493170287897404,-0.40318601962744,0.731,0.595,1
"CHSY3",0.496949426208201,-0.300534159403263,0.358,0.271,1
"SKIL",0.502057058242728,-0.454062531770071,0.373,0.355,1
"ZNF331",0.503564582742667,-0.39255036081114,0.358,0.276,1
