"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF423",1.54767524984663e-21,0.651259028472805,0.567,0.505,4.79113827095021e-17
"TPM4",1.77477871876853e-21,1.03689188184915,0.417,0.333,5.49418247969173e-17
"PDLIM1",1.85911314416466e-21,0.70164527666797,0.3,0.192,5.75525656039053e-17
"SGO1-AS1",2.75282187739456e-21,-0.305196607828291,0.167,0.326,8.52191068585033e-17
"DPYSL2",5.26278185955175e-21,0.696229341093834,0.498,0.443,1.62919938026143e-16
"PLEKHA2",6.15147589362227e-21,0.554660638673095,0.419,0.306,1.90431239238865e-16
"MT-CO2",6.80554483915834e-21,0.485947518733312,0.688,0.719,2.10679251585825e-16
"MAGI2",7.30357761832546e-21,-0.30650191910522,0.805,0.912,2.26096852330501e-16
"PLD1",8.39337380580235e-21,0.675803786400097,0.628,0.643,2.59833672906223e-16
"ADAMTSL4-AS1",1.0721548384947e-20,0.652669266091963,0.631,0.625,3.31906973352805e-16
"ST5",1.0969785670807e-20,0.562331332782536,0.328,0.207,3.39591655011172e-16
"MRTFA",2.00452294229742e-20,0.501288168202075,0.676,0.692,6.20540167247011e-16
"ROR1",2.24903940270584e-20,0.577688414834701,0.623,0.602,6.96235127895646e-16
"OSMR",2.30676012462567e-20,0.791413826445978,0.338,0.24,7.14103731780367e-16
"PMP22",4.45247801436665e-20,0.613895962755557,0.473,0.407,1.37835361890748e-15
"ROR2",4.84944620598525e-20,0.658915610906902,0.379,0.271,1.50124306198685e-15
"GABBR1",5.88089597641517e-20,0.647016265668067,0.304,0.206,1.82054896741884e-15
"FGD5",8.21843012366455e-20,0.485769994845971,0.338,0.218,2.54417941338284e-15
"PTGIS",1.32182034752026e-19,0.319571562458117,0.564,0.435,4.09195924981846e-15
"SPRED2",1.76751804023428e-19,0.669419125370238,0.391,0.299,5.47170559715325e-15
"LMNA",2.92301544520676e-19,1.11921942512972,0.582,0.604,9.04877891372657e-15
"ANK2",3.28179001263131e-19,0.766313120816245,0.426,0.347,1.01594373421028e-14
"MARCH3",4.85263618517854e-19,0.790724378177417,0.463,0.397,1.50223058384572e-14
"MYO1D",4.94642696062445e-19,0.813078238084117,0.343,0.255,1.53126539420051e-14
