"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LHFPL2",0.00621067991794506,-0.354512699766664,0.354,0.371,1
"SLC38A2",0.0070251824792004,-0.355966670665082,0.404,0.409,1
"SOD2",0.0148168650425723,-0.407540988527736,0.306,0.32,1
"NBEA",0.0151331957773474,-0.360375604720039,0.344,0.346,1
"ANKS1B",0.0168771857914705,-0.313853138674627,0.359,0.368,1
"ENOSF1",0.0184404338538122,-0.317561774887125,0.469,0.447,1
"EDA",0.0217394299926148,-0.306514557718672,0.324,0.345,1
"MSC-AS1",0.0230926319959786,-0.301164335395442,0.393,0.391,1
"OSMR",0.0246779165724577,-0.479403487784131,0.359,0.355,1
"DDX3X",0.0279220669354356,-0.373828587907778,0.375,0.373,1
"PTPRD",0.0294004159104377,-0.344188719951533,0.488,0.481,1
"SVIL",0.0302858227300237,-0.413762276567315,0.662,0.616,1
"PLCL1",0.037197329869558,-0.359728245983395,0.311,0.318,1
"PDE10A",0.0383823493899264,-0.306925689390041,0.585,0.468,1
"RAD51B",0.0524819720138142,-0.390530270267468,0.606,0.573,1
"ERRFI1",0.0541078372504185,-0.336156791814094,0.297,0.304,1
"MMP2",0.0957105407222862,-0.337191332255005,0.404,0.387,1
"ADAMTSL3",0.10120831378973,-0.426239035908859,0.659,0.607,1
"LEPR",0.113490179434463,-0.439780728742349,0.365,0.353,1
"CAB39L",0.176653077324465,-0.416264503520731,0.364,0.349,1
"TSC22D2",0.546417129853598,-0.400353276810064,0.394,0.356,1
