"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AK4",1.86132089004501e-33,-0.313584060938989,0.117,0.376,5.76209107931233e-29
"CCDC50",3.33641876009462e-33,-0.431411854107746,0.249,0.614,1.03285515556249e-28
"CHRDL1",3.39463322107805e-33,-0.417958764174242,0.154,0.446,1.05087660624913e-28
"LINC00174",5.06171449363761e-33,-0.358954036778795,0.199,0.53,1.5669549557954e-28
"PPP1R12B",5.87653751376179e-33,-0.603986003495159,0.501,0.838,1.81919971813524e-28
"COL6A3",5.92451231236901e-33,1.2343264788351,0.713,0.641,1.83405127654007e-28
"AC078881.1",7.08917809381228e-33,-0.359369468425319,0.095,0.327,2.19459686250147e-28
"APCDD1",1.1886414937078e-32,-0.311293056241296,0.096,0.33,3.67967747207122e-28
"FIGN",1.26399958103139e-32,-0.595613196282751,0.541,0.857,3.91296350299886e-28
"RAD23B",3.02377989052755e-32,-0.410303246799893,0.293,0.686,9.36071540710613e-28
"LDB2",5.69609185830483e-32,1.22735279105519,0.707,0.651,1.76333915657543e-27
"TXLNG",6.04230525413077e-32,-0.407012111087301,0.211,0.541,1.87051643752126e-27
"EPB41L1",6.42337919998983e-32,-0.388498753321194,0.125,0.381,1.98848549894085e-27
"TANC1",7.41151431094485e-32,-0.344675207990287,0.201,0.53,2.2943824852392e-27
"BLCAP",8.80517679220852e-32,-0.322556375488173,0.223,0.576,2.72581857956399e-27
"ECHDC1",9.28471833235107e-32,-0.450838815577795,0.246,0.608,2.87427025414592e-27
"KCND2",1.0765310361129e-31,1.32705659382732,0.759,0.703,3.3326171284947e-27
"OSBPL1A",1.30651847343143e-31,-0.465739305427078,0.304,0.684,4.04458923820169e-27
"LPGAT1",1.41099644614529e-31,-0.35507235208927,0.243,0.603,4.36802169833196e-27
"MSH3",1.41457547525419e-31,-0.44701331435774,0.298,0.678,4.37910129874438e-27
"HIBCH",1.4207047109273e-31,-0.537915518560053,0.381,0.765,4.39807557361764e-27
"UNC13B",1.55099130223654e-31,-0.351979990117513,0.205,0.535,4.80140377433364e-27
"AGMO",1.73511986384401e-31,-0.311662832010406,0.109,0.351,5.3714105625019e-27
"TEAD1",1.9303458576348e-31,-0.670043979710773,0.624,0.886,5.97577167148005e-27
"SLIT2",2.06335324263903e-31,1.34787957055727,0.801,0.781,6.38752263323764e-27
"TMEM120B",2.15937243110822e-31,-0.318905573647867,0.184,0.497,6.68476923498173e-27
"BAG4",2.26553082311932e-31,-0.346670566871722,0.105,0.341,7.01340376913049e-27
"FHL1",2.43800759461973e-31,-0.559508227826816,0.331,0.703,7.54734011066429e-27
"TAPT1-AS1",2.50265160095971e-31,-0.400119294577917,0.239,0.586,7.74745856109096e-27
"ENTPD1-AS1",3.04783988924996e-31,-0.371165650904778,0.276,0.649,9.43519794515111e-27
"URGCP",3.77073956061569e-31,-0.33271781439558,0.245,0.614,1.1673078457798e-26
"RNF217-AS1",7.38104856790075e-31,-0.350772284699286,0.091,0.308,2.28495120516504e-26
"ITGB1",1.05461212479774e-30,-0.543188886610844,0.346,0.708,3.26476275473636e-26
"LMO4",1.27480892186315e-30,-0.334302221475426,0.242,0.605,3.94642597941176e-26
"HLCS",1.43917007725862e-30,-0.366526289759101,0.273,0.643,4.45523880816951e-26
"BMPER",1.68648322573073e-30,1.49607824008057,0.707,0.678,5.22084612189462e-26
"EYA2",2.20585564397318e-30,-0.474922726493246,0.353,0.732,6.82866731704776e-26
"ECM2",2.42757082741001e-30,-0.378799244286147,0.235,0.576,7.51503101041318e-26
"SIPA1L1",2.95719753340544e-30,-0.434042433841082,0.268,0.616,9.15459640416323e-26
"AC008269.1",3.27773787432349e-30,-0.322833827459646,0.116,0.357,1.01468931375432e-25
"BNIP3L",3.71191508270657e-30,-0.435470467839118,0.339,0.727,1.14909755215347e-25
"LINC01619",4.43783776962469e-30,-0.430874522806889,0.225,0.549,1.37382143834271e-25
"TRPS1",5.44337171295471e-30,-0.587228636553514,0.697,0.922,1.68510458117939e-25
"PHLDB2",6.26913185059877e-30,-0.858904443705127,0.474,0.808,1.94073514698986e-25
"LPIN1",9.65522156468724e-30,-0.401523967823445,0.216,0.546,2.98896693978023e-25
"DCN",1.0552236941612e-29,1.03892238213437,0.722,0.665,3.26665599001482e-25
"COL15A1",1.8070723180456e-29,1.58165379655607,0.685,0.641,5.59415377497377e-25
"CRADD",2.06055454278094e-29,-0.436546217047635,0.359,0.741,6.37885869808696e-25
"CLMP",3.69486583446718e-29,-0.624274025714496,0.559,0.87,1.143819616376e-24
"ADIRF",3.94028055387573e-29,-0.301435638780291,0.202,0.524,1.21979265106331e-24
"LPAR1",3.94729436667784e-29,1.19747290982858,0.69,0.668,1.22196391709246e-24
"AL365295.1",3.97730378319718e-29,-0.519726635190054,0.42,0.792,1.23125393216435e-24
"LIMCH1",5.13711888917031e-29,-0.588621583708047,0.332,0.692,1.59029789452045e-24
"PRICKLE1",5.88944370832954e-29,1.43125445555122,0.68,0.603,1.82319508878758e-24
"PATJ",6.10029879542947e-29,-0.376318610503695,0.277,0.646,1.8884694981011e-24
"UVRAG",7.05668724919776e-29,-0.588865295079276,0.512,0.838,2.18453867173415e-24
"SMURF1",7.8301728323673e-29,-0.486036973787312,0.37,0.759,2.42398660371594e-24
"PDGFRA",8.92375784933642e-29,1.12726161910141,0.649,0.53,2.76252771741908e-24
"DOCK8",9.90603579440135e-29,-0.317047678792599,0.241,0.592,3.06661150087283e-24
"GTF2I",1.48622134959535e-28,-0.508619745483934,0.459,0.835,4.60089543194233e-24
"USP33",1.92306835998675e-28,-0.518208281512608,0.453,0.805,5.953242722011e-24
"TBC1D2B",1.9966520050511e-28,-0.621740586169452,0.423,0.765,6.18103561203669e-24
"ACTN1",3.08838140206225e-28,-0.339150990343861,0.101,0.319,9.56070230636411e-24
"AKAP13",4.15034865706137e-28,0.818998769844498,0.81,0.881,1.28482343376649e-23
"PHLPP1",5.06553864050549e-28,-0.480081360005228,0.342,0.711,1.56813879694128e-23
"LGR4",5.42323207416352e-28,-0.510844951388218,0.372,0.738,1.6788699531988e-23
"ITSN1",7.59320477681333e-28,-0.76114814515139,0.67,0.897,2.3506284027581e-23
"ZC3H6",1.29617002468427e-27,-0.320364733601949,0.215,0.532,4.01255354541509e-23
"KCTD20",1.56769360255905e-27,-0.419528297403154,0.249,0.578,4.85310908544206e-23
"CCDC3",2.41661754863771e-27,-0.710279451999109,0.099,0.303,7.48112294531776e-23
"ABI3BP",3.0243502269385e-27,1.15989292060092,0.684,0.638,9.36248099753353e-23
"DPH6-DT",3.36721881059543e-27,-0.316336953894269,0.12,0.351,1.04238992719603e-22
"PLEKHA5",3.38734483796424e-27,0.876431178307569,0.8,0.83,1.04862034148859e-22
"DECR1",4.13042065612181e-27,-0.408137788446156,0.261,0.595,1.27865432251563e-22
"SAT1",5.83375843091083e-27,-0.492822283510156,0.344,0.716,1.80595659745707e-22
"ADH1B",8.72927726013327e-27,-0.735316981483073,0.605,0.862,2.70232236141946e-22
"CHCHD3",9.52013205696048e-27,-0.424132999088984,0.36,0.738,2.94714728087325e-22
"PBRM1",1.10410578507504e-26,-0.428360728934443,0.421,0.797,3.4179802788568e-22
"PCDH9",1.22277787064466e-26,-0.601759929147154,0.782,0.93,3.78535345415468e-22
"USP40",1.25345392038221e-26,-0.400290737294725,0.356,0.727,3.8803173013272e-22
"CELF2",2.3465513544376e-26,-0.5155800029338,0.917,0.976,7.26421902793248e-22
"PPARA",2.94874413531487e-26,-0.313238657208055,0.262,0.614,9.12842721969423e-22
"RHOBTB3",3.31634970222112e-26,-0.560102808719793,0.694,0.903,1.02664237731659e-21
"ZRANB2-AS2",4.21264231243545e-26,-0.306381484041519,0.102,0.311,1.30410768066064e-21
"RBPMS",5.01801006868853e-26,-0.596776399911656,0.79,0.943,1.55342537696391e-21
"TNXB",9.72536588193538e-26,0.90828709845883,0.806,0.841,3.01068151607074e-21
"ZEB1",1.0869332613338e-25,0.799841702206136,0.843,0.895,3.36481929711104e-21
"COL4A2",1.60212102125455e-25,-0.625476915869176,0.614,0.865,4.9596860454977e-21
"SGK3",2.76547434007422e-25,-0.457162304187017,0.385,0.751,8.56107891456776e-21
"UST",2.87427126623137e-25,1.24683139480738,0.663,0.584,8.89788155887246e-21
"THRAP3",4.94206477913875e-25,-0.413736173121533,0.41,0.784,1.52991499367798e-20
"VCL",7.69221636603342e-25,-0.314913619634791,0.296,0.651,2.38127942043296e-20
"C3",8.4479652264071e-25,1.00576111140026,0.765,0.759,2.61523659513885e-20
"PDK4",1.88537433418945e-24,-0.614290428968639,0.482,0.789,5.83655332635028e-20
"EBF2",2.10037556917374e-24,0.740012836140435,0.888,0.9,6.50213264949115e-20
"ELL2",2.45940519234903e-24,-0.414420231440385,0.347,0.711,7.6135806539549e-20
"C6",2.68123614134697e-24,-0.404617032566789,0.245,0.559,8.3003027227678e-20
"PKN2",2.90501306118358e-24,-0.441597930925109,0.474,0.827,8.99304893350602e-20
"RREB1",5.31532716587838e-24,-0.477030642730954,0.448,0.814,1.64546583074097e-19
"GAS7",6.51032924258419e-24,0.97403775242309,0.73,0.692,2.01540262362679e-19
"USP24",6.96684712596679e-24,-0.368045018757461,0.377,0.751,2.15672686478554e-19
"VWA8",7.96912325414122e-24,-0.332243741876507,0.369,0.749,2.4670014857845e-19
"CERT1",1.07715770879093e-23,-0.307153319182088,0.328,0.686,3.33455711910408e-19
"GPAT3",1.25009974297845e-23,-0.982885225749315,0.132,0.338,3.86993377433838e-19
"FAM214A",1.33234005767342e-23,-0.43686049104383,0.463,0.816,4.12452511653961e-19
"SIL1",1.88766463709021e-23,-0.376405698657841,0.402,0.765,5.84364341704017e-19
"PTPRS",2.00289500965587e-23,-0.530881316690666,0.804,0.93,6.20036208139168e-19
"EHBP1",2.00634165598841e-23,-0.494246519338118,0.837,0.946,6.21103186444333e-19
"PTPRM",3.17569165944423e-23,-0.482319893503447,0.64,0.889,9.8309886701415e-19
"ZNF248",3.57177527295198e-23,-0.353539024644359,0.248,0.546,1.10571447124775e-18
"PCCA",7.23920678803985e-23,-0.470553660697418,0.613,0.873,2.2410412453735e-18
"SGO1-AS1",8.51566074122275e-23,-0.362435239239549,0.139,0.359,2.63619309566033e-18
"MEIS2",9.24950076763702e-23,0.785012763047372,0.784,0.803,2.86336795263739e-18
"SHPRH",1.0364415708076e-22,-0.325536110381828,0.35,0.719,3.20851217074909e-18
"PLCL1",3.00536057241025e-22,-0.421351818306365,0.318,0.63,9.30369472401041e-18
"IGF1R",5.10275294427528e-22,0.922121839214824,0.716,0.724,1.5796592289593e-17
"FAM107B",1.26740012106076e-21,-0.349388544022331,0.363,0.711,3.92349055476779e-17
"ATF7",1.64730835983777e-21,-0.397776843327056,0.48,0.808,5.09957248954978e-17
"DCAF8",1.85932886896945e-21,-0.301376500295788,0.276,0.605,5.75592437966873e-17
"ZNF385D",2.44664665057059e-21,1.44182205520871,0.572,0.465,7.57408403617139e-17
"PPM1B",2.59813694066923e-21,-0.36318148919556,0.349,0.697,8.04305252722972e-17
"FOS",2.63984927531152e-21,0.819897287568776,0.748,0.77,8.17218140158188e-17
