"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"ABCA10.1","ABCA10",0,0,3.10069922667657,"1"
"KAZN.1","KAZN",0,0,2.86605751164383,"1"
"FBLN1.1","FBLN1",0,0,2.74208634364705,"1"
"LAMA2.1","LAMA2",0,0,2.70171863574127,"1"
"NEGR1.1","NEGR1",0,0,2.59416660126666,"1"
"ABCA9.1","ABCA9",0,0,2.57632668434566,"1"
"BMPER.1","BMPER",0,0,2.43216355942488,"1"
"KCND2.1","KCND2",0,0,2.35321608460233,"1"
"ABCA6.1","ABCA6",0,0,2.298836725315,"1"
"PRICKLE1.1","PRICKLE1",0,0,2.29047670919854,"1"
"ABCA8.1","ABCA8",0,0,2.26580013306369,"1"
"PID1.1","PID1",0,0,2.25772193243589,"1"
"DCLK1.1","DCLK1",0,0,2.20918308157715,"1"
"COL15A1.1","COL15A1",0,0,2.20796359195919,"1"
"C7.1","C7",0,0,2.09621094697862,"1"
"BOC.1","BOC",0,0,2.0141945648466,"1"
"ADAMTSL3.1","ADAMTSL3",0,0,1.9990787813419,"1"
"TSHZ2.1","TSHZ2",0,0,1.94300374516855,"1"
"COL6A3.1","COL6A3",0,0,1.93330780216676,"1"
"PDGFRA.1","PDGFRA",0,0,1.91489045981981,"1"
"UST.1","UST",0,0,1.81706126027774,"1"
"LRFN5","LRFN5",0,0,1.71518215916245,"1"
"MEG3.1","MEG3",0,0,1.6843603633922,"1"
"EBF2.1","EBF2",0,0,1.63106190267843,"1"
"RIPOR3","RIPOR3",0,0,1.61475224066481,"1"
"MIR99AHG.1","MIR99AHG",0,0,1.61271472038845,"1"
"NAV1.1","NAV1",0,0,1.6084430749109,"1"
"SLIT2.1","SLIT2",0,0,1.60397659164571,"1"
"NOX4","NOX4",0,0,1.60015735065454,"1"
"FGF7","FGF7",0,0,1.59910973914923,"1"
"KIAA1755","KIAA1755",0,0,1.58446281953077,"1"
"SNED1.1","SNED1",0,0,1.57194361707979,"1"
"FBLN5","FBLN5",0,0,1.56351546022884,"1"
"BICC1.1","BICC1",0,0,1.54420987109171,"1"
"EBF3","EBF3",0,0,1.53839846850825,"1"
"LHFPL6.1","LHFPL6",0,0,1.52370054467149,"1"
"RUNX1T1.1","RUNX1T1",0,0,1.52321946580579,"1"
"ADGRB3.1","ADGRB3",0,0,1.50540887244325,"1"
"DCN.1","DCN",0,0,1.49556083619379,"1"
"PTPRD","PTPRD",0,0,1.4842156826634,"1"
"PRRX1","PRRX1",0,0,1.48372702887053,"1"
"LPAR1.1","LPAR1",0,0,1.43754001480576,"1"
"COL1A2.1","COL1A2",0,0,1.43187387585767,"1"
"PODN","PODN",0,0,1.40873190892104,"1"
"SETBP1","SETBP1",0,0,1.39365255703367,"1"
"TNXB.1","TNXB",0,0,1.37085051759328,"1"
"MEG8.1","MEG8",0,0,1.35382225892032,"1"
"GSN.1","GSN",0,0,1.35022342128685,"1"
"MRC2.1","MRC2",0,0,1.34608287287239,"1"
"PLEKHA5.1","PLEKHA5",0,0,1.32148804686886,"1"
"MMP2","MMP2",0,0,1.31788830568753,"1"
"CACNA1C.1","CACNA1C",0,0,1.28544438120331,"1"
"FBXL7.1","FBXL7",0,0,1.21167668316325,"1"
"LSP1","LSP1",0,0,1.19700489203931,"1"
"AMPH","AMPH",0,0,1.16360301330563,"1"
"VIT","VIT",0,0,1.13659398950931,"1"
"ZEB1.1","ZEB1",0,0,1.04945534099346,"1"
"RORA.1","RORA",0,0,1.0105647909345,"1"
"PRKG1.1","PRKG1",0,0,0.963329859177064,"1"
"FBN1.1","FBN1",0,0,0.840673433346941,"1"
"COBLL1","COBLL1",0,0,-1.1728987040687,"1"
"EPB41.1","EPB41",0,0,-1.18970294057493,"1"
"PDGFC","PDGFC",0,0,-1.28331143597442,"1"
"FRMD4A","FRMD4A",0,0,-1.31338043526289,"1"
"MAST4.1","MAST4",0,0,-1.34312105968245,"1"
"MAGI1","MAGI1",0,0,-1.53760090336315,"1"
"PDE4D.1","PDE4D",0,0,-1.5754758675308,"1"
"AQP7.1","AQP7",0,0,-2.01127766326835,"1"
"FAM49B.1","FAM49B",3.06173028726177e-305,9.47819845027628e-301,-1.05916196221413,"1"
"SCARA5","SCARA5",1.12003710229099e-301,3.46729885756222e-297,1.1970743512928,"1"
"ZNF385D.1","ZNF385D",1.1275282542896e-299,3.49048921680431e-295,1.44178677981866,"1"
"CD36.1","CD36",9.78543017932958e-299,3.02927562061506e-294,-1.46170836294174,"1"
"SPATA6.1","SPATA6",1.67906175909045e-293,5.1978714876163e-289,1.21650518088661,"1"
"LAMC1","LAMC1",1.85842595452572e-292,5.75312922742526e-288,1.24808646806745,"1"
"CYP1B1-AS1","CYP1B1-AS1",2.60249131124127e-292,8.05653235220961e-288,1.22368909198635,"1"
"CRIM1.1","CRIM1",4.1959574994586e-286,1.2989425631074e-281,-1.45818134823743,"1"
"SYNPO2","SYNPO2",1.7201661841565e-284,5.32511845629328e-280,1.25826393417463,"1"
"THBS2","THBS2",2.95238937527295e-284,9.13971178903249e-280,1.32422596857516,"1"
"PTPRF.1","PTPRF",8.52727150788811e-281,2.63978744069692e-276,-1.05621484130349,"1"
