"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"AQP71","AQP7",8.09712583718496e-71,2.50662724541735e-66,1.00291465099775,"9"
"TRHDE-AS11","TRHDE-AS1",5.34211950549579e-66,1.65375993531633e-61,0.804215791676887,"9"
"LVRN1","LVRN",8.20375386500636e-61,2.53963608399002e-56,1.00174515959505,"9"
"TMEM132C1","TMEM132C",2.8364602031315e-60,8.78082985083418e-56,0.872515008701118,"9"
"KLB1","KLB",9.79154272650307e-59,3.03116788184355e-54,0.693318418460782,"9"
"GPD11","GPD1",1.60087089120124e-58,4.95581601789168e-54,0.720174192761183,"9"
"GYG21","GYG2",5.45834584919965e-58,1.68974012453674e-53,0.736969810710772,"9"
"PFKFB11","PFKFB1",8.04943367732439e-57,2.49186318348931e-52,0.603054751876332,"9"
"KCNIP21","KCNIP2",2.4219556560521e-56,7.49764812444048e-52,0.719706374899042,"9"
"MGST11","MGST1",3.38549297693761e-55,1.04804706087057e-50,0.826423951182777,"9"
"GHR1","GHR",7.04127498963127e-55,2.17976749854015e-50,0.760858021348752,"9"
"KAZN2","KAZN",1.00906130658948e-54,3.12375108680905e-50,0.358155080318299,"9"
"TLN21","TLN2",6.39386689350885e-54,1.97934937422353e-49,0.815076914973778,"9"
"EBF13","EBF1",2.32777838419927e-53,7.20610354396567e-49,0.679860741212376,"9"
"PDE3B1","PDE3B",3.79003332551324e-53,1.17328061657914e-48,0.865804840612652,"9"
"PLAAT31","PLAAT3",3.82275379599029e-53,1.18340989262471e-48,0.790881550960907,"9"
"SOX52","SOX5",2.1330552061389e-52,6.6032990016442e-48,0.686251465893862,"9"
"CIDEA1","CIDEA",2.24820700529563e-52,6.95977442629368e-48,0.737823301743799,"9"
"PLIN51","PLIN5",3.15148567533934e-52,9.756054205148e-48,0.719119390836847,"9"
"ADIPOQ1","ADIPOQ",4.55084043037891e-52,1.4088036720324e-47,0.750408291048738,"9"
"PLIN41","PLIN4",5.27251527111466e-52,1.63221255247896e-47,0.774467156888301,"9"
"MLXIPL1","MLXIPL",1.55413434936936e-51,4.81113370534273e-47,0.744240107507425,"9"
"SLC19A31","SLC19A3",9.58031989045777e-51,2.96577962848901e-46,0.838531393926154,"9"
"PTGER31","PTGER3",1.305789095384e-50,4.04233130258024e-46,0.74738019732699,"9"
"PLIN11","PLIN1",1.72522377819397e-50,5.34077525015508e-46,0.717058210529332,"9"
"PNPLA21","PNPLA2",4.28133383441802e-50,1.32537251512079e-45,0.721845177352907,"9"
"AC093334.11","AC093334.1",9.05463002409465e-50,2.80304181655898e-45,0.489443211952233,"9"
"ACVR1C1","ACVR1C",1.51031179270682e-49,4.6754722166825e-45,0.797467374021204,"9"
"SORBS11","SORBS1",7.27449498035261e-49,2.25196541106776e-44,0.762251343386694,"9"
"TBL1Y1","TBL1Y",1.19210536410691e-48,3.69040057566575e-44,0.579730578046216,"9"
