"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"SKAP1","SKAP1",0,0,3.52926432519668,"11"
"BCL11B","BCL11B",0,0,3.28731060492315,"11"
"THEMIS","THEMIS",0,0,2.76040515090546,"11"
"CARD11","CARD11",3.7718360268768e-299,1.16764727884025e-294,2.71824311905278,"11"
"RUNX3","RUNX3",6.1643661476435e-295,1.908302828326e-290,1.85945552892145,"11"
"ITK","ITK",8.05693061518309e-295,2.49418401054223e-290,2.02436383390751,"11"
"SCML4","SCML4",5.3939563819578e-278,1.66980707716268e-273,1.7792070913645,"11"
"LCK","LCK",1.36415850428283e-277,4.22302548170834e-273,2.05092278395693,"11"
"ITGAL","ITGAL",2.17683466249102e-265,6.73882706467344e-261,2.41275435132955,"11"
"SAMD3","SAMD3",1.62201524145762e-262,5.02127258298036e-258,2.37351793301752,"11"
"GRAP2","GRAP2",1.04395736611902e-201,3.23177881829465e-197,1.91618522041206,"11"
"CD247","CD247",2.20640783872463e-201,6.83037674633983e-197,2.93962723744097,"11"
"ITGA4","ITGA4",1.8646783428044e-198,5.77248474581957e-194,2.14094887701888,"11"
"SLFN12L","SLFN12L",1.73052226129439e-193,5.35717776428905e-189,2.22993763539508,"11"
"MYBL1","MYBL1",1.88653668967641e-190,5.84015163023126e-186,1.96747893465298,"11"
"RHOH","RHOH",1.58043939365375e-189,4.89256623093392e-185,1.88198462375218,"11"
"PRKCQ","PRKCQ",4.68763095761195e-177,1.45114991554793e-172,2.14826877558035,"11"
"PTPRC.1","PTPRC",7.99195566369201e-177,2.47406971480914e-172,2.82324624416729,"11"
"TOX.1","TOX",2.81414635605732e-144,8.71175287444666e-140,2.41345107581072,"11"
"RASGRP1","RASGRP1",6.22801839157521e-144,1.92800765347994e-139,1.44507859665203,"11"
"IKZF3","IKZF3",5.26718607054848e-142,1.63056279185969e-137,1.77322454016207,"11"
"LINC01934","LINC01934",8.623729191701e-142,2.66964784587488e-137,1.82100771655355,"11"
"PRKCB.1","PRKCB",1.38105289398116e-128,4.27532544389749e-124,2.32028903435313,"11"
"CAMK4","CAMK4",2.75203696536337e-128,8.51948083367538e-124,1.64589428848659,"11"
"PTPN22","PTPN22",5.66710591471174e-127,1.75436597801731e-122,1.71061197212337,"11"
"CCDC88C.1","CCDC88C",6.54879148694849e-125,2.02730938061464e-120,2.04503906586836,"11"
"ARHGAP15.2","ARHGAP15",2.22038158888145e-122,6.8736352847003e-118,2.77338143090077,"11"
"IKZF1.1","IKZF1",3.81204172314221e-115,1.18009375623313e-110,2.14479619785644,"11"
"RIPOR2.2","RIPOR2",1.20335084964801e-106,3.72521322525534e-102,2.4031362748408,"11"
"STAT4.1","STAT4",3.0359181982202e-105,9.39829196623027e-101,2.00030068839581,"11"
"BIN2","BIN2",7.20506380341155e-99,2.23047160162211e-94,1.45964611753403,"11"
"SIDT1","SIDT1",3.1148609203674e-96,9.64267495118137e-92,1.22179781971146,"11"
"MYO1F.1","MYO1F",2.10069681155224e-89,6.50312711952226e-85,1.93948468418511,"11"
"PIK3R5.1","PIK3R5",1.5865170318677e-87,4.91138077555283e-83,1.68125263295148,"11"
"AOAH.1","AOAH",3.24948292210568e-87,1.00594242819626e-82,2.52347649324099,"11"
"ZNF831.1","ZNF831",5.31405201206345e-84,1.64507108137448e-79,1.46899185518943,"11"
"DOCK10.1","DOCK10",6.00719883155555e-83,1.85964854228465e-78,2.00079105922593,"11"
"ADGRE5.1","ADGRE5",2.28678281998163e-81,7.07919357581713e-77,2.40100523211017,"11"
"P2RY8","P2RY8",9.22713179771455e-80,2.85644319061849e-75,1.95509954474384,"11"
"FYB1.1","FYB1",1.90981507451326e-76,5.9122145261707e-72,1.70667543599401,"11"
"ATP2A3.1","ATP2A3",2.33048383996729e-75,7.21447882338673e-71,1.49032144556786,"11"
"CYFIP2","CYFIP2",4.22534713686801e-71,1.30804071316023e-66,1.38413908907193,"11"
"ANKRD44.7","ANKRD44",2.42893861047495e-70,7.51926525644731e-66,2.05422246119329,"11"
"SEMA4D.1","SEMA4D",7.53331569304921e-68,2.33208853909724e-63,1.85811442068247,"11"
"GPRIN3","GPRIN3",8.56523925860677e-66,2.6515411172869e-61,1.43141762623522,"11"
"CHST11.6","CHST11",1.12162046462305e-64,3.47220047233358e-60,2.03614707430736,"11"
"PDE7A.4","PDE7A",3.71826314613163e-62,1.15106272214797e-57,2.0868399871728,"11"
"PREX1.2","PREX1",2.22699213665946e-61,6.8940995574567e-57,1.74294571681185,"11"
"STK10.9","STK10",1.76672203477642e-60,5.46924140305736e-56,1.8371445823934,"11"
"TC2N.2","TC2N",1.77006463747907e-60,5.47958909824395e-56,1.81395035268345,"11"
"NEAT1.9","NEAT1",1.55202779595222e-58,4.80461244792929e-54,-1.34739317769054,"11"
"CDC42SE2.8","CDC42SE2",1.17649679788088e-56,3.64208113719985e-52,1.970844496232,"11"
"CCND3.7","CCND3",2.44610027862918e-56,7.57239263255234e-52,1.97088545294617,"11"
"INPP4B.2","INPP4B",1.48987881353406e-55,4.61221784305738e-51,1.78350833632026,"11"
"PIP4K2A.4","PIP4K2A",1.68196163374948e-55,5.20684862959827e-51,1.97660754580347,"11"
"ANK3.2","ANK3",4.92701755996254e-55,1.5252568260376e-50,2.05602741607511,"11"
"DOCK2.1","DOCK2",8.60077718992008e-53,2.66254259468356e-48,1.6347644066933,"11"
"IQGAP2.1","IQGAP2",4.27013696080215e-51,1.32190629895552e-46,1.47239084217524,"11"
"PITPNC1.8","PITPNC1",4.54642535337492e-49,1.40743689664427e-44,1.50049939883788,"11"
"ETS1.7","ETS1",2.99096127463855e-48,9.25911881789855e-44,1.67915014488566,"11"
"STK17A","STK17A",3.40859284138098e-47,1.05519808590631e-42,1.65651623254219,"11"
"AKNA.1","AKNA",8.90018671055059e-46,2.75523079998515e-41,1.75214245088349,"11"
"TNIK","TNIK",6.52734569972884e-45,2.02067040826506e-40,1.52604479877481,"11"
"CLEC2D","CLEC2D",8.3294928097718e-44,2.57856108912106e-39,1.55834045025355,"11"
"PBX4","PBX4",4.54069909532333e-42,1.40566421893924e-37,1.34471825271795,"11"
"TGFB1.2","TGFB1",5.64753187242243e-42,1.74830644174581e-37,1.66111095516833,"11"
"PARP8.10","PARP8",2.29868655004634e-41,7.11604395297846e-37,1.75119804324943,"11"
"PRKCH.8","PRKCH",1.17919065933739e-40,3.65042052411075e-36,1.21794489637062,"11"
"INPP5D.5","INPP5D",1.95666051890348e-40,6.05723396836952e-36,1.43039514800232,"11"
"PPP1R16B.3","PPP1R16B",7.89460494049479e-40,2.44393285142897e-35,1.45099445086947,"11"
"RUNX1.7","RUNX1",4.84391632743952e-39,1.49953117748545e-34,1.46388700694931,"11"
