"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"RBFOX1","RBFOX1",0,0,3.57808608373611,"2"
"KCNT2","KCNT2",0,0,2.8757636579805,"2"
"EZR","EZR",0,0,2.8270948692101,"2"
"AP000561.1","AP000561.1",0,0,2.78389946921221,"2"
"PKHD1L1","PKHD1L1",0,0,2.72342360887114,"2"
"SLC4A4","SLC4A4",0,0,2.66549786781708,"2"
"SLC39A8","SLC39A8",0,0,2.60812170461591,"2"
"TPM1","TPM1",0,0,2.53304306807179,"2"
"NEBL","NEBL",0,0,2.42356899171756,"2"
"ARHGAP44","ARHGAP44",0,0,2.35647803354781,"2"
"AC018742.1","AC018742.1",0,0,2.33693632927028,"2"
"SULF1","SULF1",0,0,2.3053228099044,"2"
"AC245041.2","AC245041.2",0,0,2.24690368486472,"2"
"DAPK1","DAPK1",0,0,2.23342492962426,"2"
"CACNB2","CACNB2",0,0,2.18051173997388,"2"
"LSAMP","LSAMP",0,0,2.17593058440981,"2"
"AC098617.1","AC098617.1",0,0,2.15305914225428,"2"
"AC027288.3","AC027288.3",0,0,2.14659881803523,"2"
"BICDL1","BICDL1",0,0,2.13668543639377,"2"
"LRP2","LRP2",0,0,2.11906474364978,"2"
"ADGRG6","ADGRG6",0,0,2.10069253402623,"2"
"LINC02006","LINC02006",0,0,2.09325060479601,"2"
"DLGAP1","DLGAP1",0,0,2.08991378326543,"2"
"SEMA3C","SEMA3C",0,0,2.08659198903773,"2"
"GRIP1","GRIP1",0,0,2.08586360424776,"2"
"PRG4","PRG4",0,0,2.08090999233338,"2"
"SORBS2","SORBS2",0,0,2.07424333410112,"2"
"HAS1","HAS1",0,0,2.05444157536709,"2"
"CFH","CFH",0,0,2.05395614571922,"2"
"FAM153CP","FAM153CP",0,0,2.04726376873782,"2"
"ROR2","ROR2",0,0,2.04403410007718,"2"
"FLRT2","FLRT2",0,0,2.03628805156829,"2"
"C31","C3",0,0,2.03441067469571,"2"
"RERG","RERG",0,0,2.03096359618332,"2"
"BNC1","BNC1",0,0,2.0294153848555,"2"
"BNC2","BNC2",0,0,2.01975265034813,"2"
"MTHFD1L","MTHFD1L",0,0,2.0139162962253,"2"
"ITGB8","ITGB8",0,0,1.99841868323392,"2"
"MCTP2","MCTP2",0,0,1.9750321695289,"2"
"DPP4","DPP4",0,0,1.97368650428148,"2"
"CDON1","CDON",0,0,1.97294105156761,"2"
"AC092691.1","AC092691.1",0,0,1.93405323462376,"2"
"NTNG1","NTNG1",0,0,1.92110207336663,"2"
"VIPR2","VIPR2",0,0,1.9179654418136,"2"
"SLC7A2","SLC7A2",0,0,1.91399681450635,"2"
"SOX6","SOX6",0,0,1.89522232630857,"2"
