"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"VWF1","VWF",0,0,3.5883298978154,"5"
"PIK3R31","PIK3R3",0,0,3.0461361379893,"5"
"ANO21","ANO2",0,0,3.0325622873152,"5"
"BTNL91","BTNL9",0,0,2.99422224045027,"5"
"ADGRL41","ADGRL4",0,0,2.9527876656027,"5"
"FLT11","FLT1",0,0,2.7811542443844,"5"
"LDB21","LDB2",0,0,2.77694201086398,"5"
"KIAA12171","KIAA1217",0,0,2.7537137575544,"5"
"SHANK31","SHANK3",0,0,2.65081632599873,"5"
"DACH11","DACH1",0,0,2.61590435791124,"5"
"MCF2L1","MCF2L",0,0,2.60784674210296,"5"
"ABLIM31","ABLIM3",0,0,2.56453640507363,"5"
"EMCN1","EMCN",0,0,2.45851099871316,"5"
"CDH131","CDH13",0,0,2.44328310747485,"5"
"CYYR1","CYYR1",0,0,2.405432086998,"5"
"RBP71","RBP7",0,0,2.4048318996375,"5"
"CCSER11","CCSER1",0,0,2.40475318926274,"5"
"PITPNC11","PITPNC1",0,0,2.38832792750661,"5"
"PKP41","PKP4",0,0,2.34592589867842,"5"
"ST6GALNAC31","ST6GALNAC3",0,0,2.3397412543953,"5"
"NOSTRIN","NOSTRIN",0,0,2.30129095203186,"5"
"PECAM12","PECAM1",0,0,2.22957407241492,"5"
"MCTP11","MCTP1",0,0,2.17132396368465,"5"
"FLI11","FLI1",0,0,2.13378914126275,"5"
"PPP1R16B1","PPP1R16B",0,0,2.07805278209916,"5"
"EPAS1","EPAS1",0,0,2.07327481101999,"5"
"MAGI11","MAGI1",0,0,2.07255545844132,"5"
"MYH9","MYH9",0,0,2.07017125796933,"5"
"NOTCH4","NOTCH4",0,0,2.05996610848145,"5"
"DNM3","DNM3",0,0,2.04137014615858,"5"
"DIPK2B","DIPK2B",0,0,2.03992141822081,"5"
"SLCO2A1","SLCO2A1",0,0,2.03986181831949,"5"
"ERG","ERG",0,0,2.03394444713145,"5"
"A2M1","A2M",0,0,2.0251537981959,"5"
"SEC14L1","SEC14L1",0,0,2.01262420869022,"5"
"RASGRF2","RASGRF2",0,0,1.96881181999332,"5"
"NR5A2","NR5A2",0,0,1.95627289710337,"5"
"PTPRB","PTPRB",0,0,1.93584697450743,"5"
"ITGA61","ITGA6",0,0,1.93428872036302,"5"
"LNX1","LNX1",0,0,1.90683149855045,"5"
"MYO10","MYO10",0,0,1.89723815199742,"5"
"RASIP1","RASIP1",0,0,1.8871612859965,"5"
"PLVAP","PLVAP",0,0,1.88240641827878,"5"
"PLEKHG1","PLEKHG1",0,0,1.87137999710708,"5"
"NEURL1B","NEURL1B",0,0,1.86058061440169,"5"
"GFOD1","GFOD1",0,0,1.85994394397628,"5"
"PREX2","PREX2",0,0,1.83178794927745,"5"
"ADGRF51","ADGRF5",0,0,1.82390042148171,"5"
"TCF41","TCF4",0,0,1.80616316099192,"5"
"ETS11","ETS1",0,0,1.80587560388697,"5"
"ABLIM11","ABLIM1",0,0,1.78949036718674,"5"
"FAM241A","FAM241A",0,0,1.78477748032089,"5"
"CCDC178","CCDC178",0,0,1.77944221570713,"5"
"PTPRM","PTPRM",0,0,1.75580172336024,"5"
"RASAL2","RASAL2",0,0,1.70416826080226,"5"
"KALRN","KALRN",0,0,1.70199055049238,"5"
"HIF3A","HIF3A",0,0,1.70141911924723,"5"
"MECOM","MECOM",0,0,1.68533061384588,"5"
"RNF220","RNF220",0,0,1.68499445328181,"5"
"EGFL71","EGFL7",0,0,1.682069294684,"5"
"SYNE22","SYNE2",0,0,1.67434628572835,"5"
"CMIP1","CMIP",0,0,1.6657819400795,"5"
"ELMO11","ELMO1",0,0,1.65053086982447,"5"
"TPO","TPO",0,0,1.63536023011132,"5"
"ARHGAP31","ARHGAP31",0,0,1.61399206515678,"5"
"LAMA31","LAMA3",0,0,1.59143913046572,"5"
