"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"F13A1.1","F13A1",0,0,3.61934620232045,"3"
"RBPJ.3","RBPJ",0,0,3.42141148359678,"3"
"LGMN.1","LGMN",0,0,3.33192494249964,"3"
"MAMDC2.2","MAMDC2",0,0,3.02601211575349,"3"
"TTN","TTN",0,0,2.88294772129683,"3"
"MRC1","MRC1",0,0,2.84575071886684,"3"
"MTSS1.3","MTSS1",0,0,2.81471620185321,"3"
"IQGAP2","IQGAP2",0,0,2.78214723073987,"3"
"FRMD4B.2","FRMD4B",0,0,2.71980045909666,"3"
"RBM47.2","RBM47",0,0,2.70310373362759,"3"
"KCNMA1","KCNMA1",0,0,2.52994084474607,"3"
"SRGN","SRGN",0,0,2.52961488812408,"3"
"HRH1.2","HRH1",0,0,2.51735969563864,"3"
"CD163L1","CD163L1",0,0,2.51554205748099,"3"
"CTSB","CTSB",0,0,2.4417473914721,"3"
"CD83","CD83",0,0,2.36199584547186,"3"
"LYVE1","LYVE1",0,0,2.34925699318172,"3"
"FMN1","FMN1",0,0,2.31366199408736,"3"
"SCN9A","SCN9A",0,0,2.28769727428943,"3"
"COLEC12.2","COLEC12",0,0,2.24078962624545,"3"
"DOCK2","DOCK2",0,0,2.23038712758502,"3"
"SIGLEC1","SIGLEC1",0,0,2.20128645336859,"3"
"MYO5A.3","MYO5A",0,0,2.12524063813871,"3"
"ADAP2","ADAP2",0,0,2.04564702185377,"3"
"WWP1.3","WWP1",0,0,2.04331802077662,"3"
"SLC9A9.3","SLC9A9",0,0,2.04173853223587,"3"
"SYK","SYK",0,0,2.03393114547561,"3"
"PDE4D.3","PDE4D",0,0,1.99699657937737,"3"
"RGL1.2","RGL1",0,0,1.98565758955122,"3"
"AP2A2.3","AP2A2",0,0,1.97999790819397,"3"
"CMKLR1","CMKLR1",0,0,1.97766134302305,"3"
"SPRED1.2","SPRED1",0,0,1.95141569250641,"3"
"CCDC141","CCDC141",0,0,1.93932409323925,"3"
"CTSC","CTSC",0,0,1.93627872555542,"3"
"TBXAS1","TBXAS1",0,0,1.9215184756338,"3"
"RYR1","RYR1",0,0,1.92081948352592,"3"
"FOXO3.3","FOXO3",0,0,1.9099769989507,"3"
"CD163","CD163",0,0,1.89754601403459,"3"
"FCGRT.3","FCGRT",0,0,1.89716097020197,"3"
"SELENOP.3","SELENOP",0,0,1.89361764385125,"3"
"TBC1D14.3","TBC1D14",0,0,1.88916314082691,"3"
"VAV1","VAV1",0,0,1.8595115606572,"3"
"ME1.3","ME1",0,0,1.85317372744322,"3"
"DIP2B.3","DIP2B",0,0,1.84808788959742,"3"
"TGFBI","TGFBI",0,0,1.84106390926221,"3"
"LDLRAD4.3","LDLRAD4",0,0,1.84029257080225,"3"
"MAN1A1.1","MAN1A1",0,0,1.836947108884,"3"
"HDAC9.3","HDAC9",0,0,1.83099712947672,"3"
"SH2B3","SH2B3",0,0,1.83035443222906,"3"
"MS4A4E","MS4A4E",0,0,1.82806174190025,"3"
"AL162414.1","AL162414.1",0,0,1.8277917342464,"3"
"PDE4B.2","PDE4B",0,0,1.80514757596855,"3"
"PTPRJ.2","PTPRJ",0,0,1.78985194331278,"3"
"C20orf194.2","C20orf194",0,0,1.77141200365461,"3"
"CSF1R","CSF1R",0,0,1.76661495576408,"3"
"DNM1.3","DNM1",0,0,1.75378519305603,"3"
"C5AR1","C5AR1",0,0,1.73841858203948,"3"
"ATG7.2","ATG7",0,0,1.73688840796516,"3"
"P2RY14","P2RY14",0,0,1.72890959235501,"3"
"RPH3AL.3","RPH3AL",0,0,1.72640704999208,"3"
"PDGFC.2","PDGFC",0,0,1.7168385455059,"3"
"MS4A6A","MS4A6A",0,0,1.71050175934305,"3"
"ZEB2.1","ZEB2",0,0,1.68754812144607,"3"
"SLCO2B1","SLCO2B1",0,0,1.68648094450259,"3"
"CYTH1.3","CYTH1",0,0,1.68478341346242,"3"
"ATP8B4","ATP8B4",0,0,1.68314540328674,"3"
"MAF.1","MAF",0,0,1.68049833555366,"3"
"NPL","NPL",0,0,1.67453502538534,"3"
"RASGEF1B","RASGEF1B",0,0,1.66308797355342,"3"
"MFHAS1","MFHAS1",0,0,1.65958102121507,"3"
"PIK3AP1","PIK3AP1",0,0,1.64725126013315,"3"
"GFRA2","GFRA2",0,0,1.64358708605285,"3"
"FPR3","FPR3",0,0,1.63345557528829,"3"
"RUNX1.2","RUNX1",0,0,1.62901439101116,"3"
"STAB1","STAB1",0,0,1.62141263547136,"3"
"MYO1F","MYO1F",0,0,1.60250748019891,"3"
"CD74","CD74",0,0,1.58730777852281,"3"
"PIK3R5","PIK3R5",0,0,1.5799272830443,"3"
"MSR1","MSR1",0,0,1.57823328988735,"3"
"MGAT5.3","MGAT5",0,0,1.57615387415018,"3"
"SMAP2","SMAP2",0,0,1.52303639175932,"3"
"CTSZ","CTSZ",0,0,1.51763112287488,"3"
"CYBB","CYBB",0,0,1.5141275647577,"3"
"RIN3.2","RIN3",0,0,1.50880339201722,"3"
"TNS3.1","TNS3",0,0,1.50859215486338,"3"
"SLC8A1.2","SLC8A1",0,0,1.50286404172067,"3"
"FYB1","FYB1",0,0,1.50087479894715,"3"
"LINC01374","LINC01374",0,0,1.48993997505878,"3"
"LYN.2","LYN",0,0,1.48966044232003,"3"
"SAMHD1.3","SAMHD1",0,0,1.48580012241927,"3"
"ADGRE5","ADGRE5",0,0,1.48110095682214,"3"
"LCP2","LCP2",0,0,1.47901836649634,"3"
"BMP2K.3","BMP2K",0,0,1.46925938995083,"3"
"HCK","HCK",0,0,1.4671192023177,"3"
"FAM20A.1","FAM20A",0,0,1.4600940824442,"3"
"NAV2.3","NAV2",0,0,1.45846671256663,"3"
"INPP5D.1","INPP5D",0,0,1.45720201367191,"3"
"DAB2","DAB2",0,0,1.45651966754708,"3"
"RCN3","RCN3",0,0,1.44829929365206,"3"
"EPB41L1.2","EPB41L1",0,0,1.44640639920816,"3"
"MS4A4A","MS4A4A",0,0,1.43922249324339,"3"
"RAPH1.2","RAPH1",0,0,1.43801310318954,"3"
"TET3.2","TET3",0,0,1.43259294027108,"3"
"AOAH","AOAH",0,0,1.42358587317207,"3"
"DISC1.2","DISC1",0,0,1.42089149911714,"3"
"PTPRC","PTPRC",0,0,1.41654793014332,"3"
"SNX6.3","SNX6",0,0,1.411760831339,"3"
"NCKAP1L","NCKAP1L",0,0,1.41133775380087,"3"
"C22orf34","C22orf34",0,0,1.41124593564855,"3"
"BCAT1","BCAT1",0,0,1.39959637315053,"3"
"SNX29.2","SNX29",0,0,1.39660239356068,"3"
"PLEK","PLEK",0,0,1.39109784294019,"3"
"SPI1","SPI1",0,0,1.39104555433556,"3"
"CAMK1D.3","CAMK1D",0,0,1.38381395785182,"3"
"TNFRSF1B","TNFRSF1B",0,0,1.36422731203179,"3"
"THEMIS2","THEMIS2",0,0,1.3638487973869,"3"
"CD86","CD86",0,0,1.36035324278086,"3"
"ARID3A","ARID3A",0,0,1.35901323657299,"3"
"RCSD1","RCSD1",0,0,1.35664601311492,"3"
"IL10RA","IL10RA",0,0,1.35384652389668,"3"
"ZNF710","ZNF710",0,0,1.34025293638507,"3"
"PLEKHG5","PLEKHG5",0,0,1.33898425644894,"3"
"CYTH4","CYTH4",0,0,1.3368403093568,"3"
"AL035446.2","AL035446.2",0,0,1.33095193943726,"3"
"KCNQ1","KCNQ1",0,0,1.32541086938693,"3"
"PIGX","PIGX",0,0,1.30091332264259,"3"
"PLXND1","PLXND1",0,0,1.28575786906456,"3"
"ITSN1.3","ITSN1",0,0,1.27674771191963,"3"
"ARHGAP22","ARHGAP22",0,0,1.27409786676128,"3"
"GRAMD1B","GRAMD1B",0,0,1.26775111788062,"3"
"ZSWIM6.2","ZSWIM6",0,0,1.25802776452639,"3"
"KHDRBS2","KHDRBS2",0,0,1.25512220251718,"3"
"SLC2A9","SLC2A9",0,0,1.24693696975933,"3"
"TTYH3","TTYH3",0,0,1.23674811984527,"3"
"GAS7.3","GAS7",0,0,1.22410056232813,"3"
"LILRB5","LILRB5",0,0,1.20895290749529,"3"
"CD4","CD4",0,0,1.20649026695415,"3"
"OSBPL3","OSBPL3",0,0,1.20080088793956,"3"
"ZFHX3.2","ZFHX3",0,0,1.19658454377528,"3"
"TLR4","TLR4",0,0,1.18056504101927,"3"
"WDFY4","WDFY4",0,0,1.17045750674337,"3"
"FNBP1.2","FNBP1",0,0,1.16853748731728,"3"
"TRIM14","TRIM14",0,0,1.1684372950363,"3"
"MERTK","MERTK",0,0,1.16411138360865,"3"
"ADCY7","ADCY7",0,0,1.15509430675479,"3"
"SAMSN1","SAMSN1",0,0,1.1286376536038,"3"
"FGD2","FGD2",0,0,1.12081654493237,"3"
"IKZF1","IKZF1",0,0,1.11425526698011,"3"
"PREX1","PREX1",0,0,1.1110979659332,"3"
"CTSS","CTSS",0,0,1.10435040258111,"3"
"KYNU","KYNU",0,0,1.07518950371031,"3"
"ARHGAP30","ARHGAP30",0,0,1.06332856002692,"3"
"ELMO1.3","ELMO1",0,0,1.05277349147564,"3"
"PLEKHO1","PLEKHO1",0,0,1.03938023730749,"3"
"FLI1.3","FLI1",0,0,0.950580031064119,"3"
"FGD3","FGD3",0,0,0.919338828443811,"3"
"NFIB.2","NFIB",0,0,-1.18528544469856,"3"
"MAST4.3","MAST4",0,0,-1.20804022646816,"3"
"PBX1.1","PBX1",0,0,-1.26182036416545,"3"
"EBF1.3","EBF1",0,0,-1.28006123726939,"3"
"RBMS3.2","RBMS3",0,0,-1.28443311782426,"3"
"LAMA4.3","LAMA4",0,0,-1.28953862579453,"3"
"SPTBN1.2","SPTBN1",0,0,-1.31435822453548,"3"
"RBPMS.2","RBPMS",0,0,-1.42353132957144,"3"
"TMEM106A","TMEM106A",5.35036163859233e-306,1.65631145245903e-301,0.951288461592715,"3"
"TEAD1.3","TEAD1",1.08274985939729e-304,3.35186873973619e-300,-1.13255144350723,"3"
"AC009226.1","AC009226.1",2.11085256755951e-303,6.53456629339397e-299,1.05587863225511,"3"
"RAB31.3","RAB31",1.27770538229306e-302,3.95539255196464e-298,1.54963174563759,"3"
"NFKBID","NFKBID",4.19345295936064e-302,1.29816723262927e-297,1.4348865681836,"3"
"GRK3.3","GRK3",5.50229961146349e-302,1.70334689072075e-297,1.16262186442535,"3"
"DLC1.3","DLC1",6.26227514956248e-302,1.93861251805006e-297,-1.39033390698508,"3"
"PARD3.1","PARD3",6.84427633747265e-302,2.11878262579141e-297,-1.09081726841159,"3"
"ZFPM2.3","ZFPM2",5.01134441876092e-301,1.55136189171582e-296,-1.12102326826036,"3"
"MALAT1.2","MALAT1",1.22174099810606e-300,3.78214360783693e-296,-0.582064115216163,"3"
"TCF7L2.1","TCF7L2",3.27107011853099e-297,1.01262517659364e-292,-0.983845204899178,"3"
"MYO9B.2","MYO9B",1.99314140348283e-294,6.17016784276181e-290,1.21463345640015,"3"
"STK17B","STK17B",4.31389215217573e-293,1.33545159354904e-288,1.22838125867422,"3"
"STARD13.1","STARD13",1.69375088182506e-292,5.24334460486584e-288,1.21635960047974,"3"
"GNG2","GNG2",2.37926802429242e-292,7.36550002280205e-288,1.2489706789681,"3"
"SH3D19.2","SH3D19",5.68031656177698e-291,1.7584555980293e-286,-1.10142777652203,"3"
"FCHSD2.3","FCHSD2",6.24921133779327e-291,1.93456835384066e-286,1.16544408914872,"3"
"EMB.3","EMB",2.42797260137929e-290,7.51627478208986e-286,1.24615840392378,"3"
"ABCA1.3","ABCA1",3.15721283280022e-289,9.77378376649963e-285,1.18025103875783,"3"
"RORA.3","RORA",1.52446913674798e-287,4.71929910663073e-283,-1.07133207654345,"3"
"TNFAIP2","TNFAIP2",1.9969673175409e-286,6.18201172491135e-282,1.20134236498902,"3"
"EMILIN2","EMILIN2",9.63351648153456e-286,2.98224769718865e-281,1.25382462562036,"3"
"DTNA.3","DTNA",1.34899416788984e-285,4.17608124553657e-281,1.28416492456651,"3"
"CSF2RA","CSF2RA",4.25964502216319e-285,1.31865830951106e-280,1.05190579599774,"3"
"PRKCB","PRKCB",1.21776532881058e-284,3.76983612839893e-280,1.18771986110775,"3"
"PTPRS.2","PTPRS",2.36548086000865e-283,7.32281909832877e-279,-1.3081704441936,"3"
"RNASET2","RNASET2",3.26255626974197e-283,1.00998954442402e-278,1.06180355010057,"3"
"MANBA.1","MANBA",1.22629403959587e-282,3.79623845837693e-278,1.25293009174548,"3"
"DOCK8.2","DOCK8",2.40528514497477e-280,7.4460412232984e-276,1.1759536930325,"3"
"MIR646HG","MIR646HG",1.09098929693785e-279,3.3773755665305e-275,1.38475668039343,"3"
"ABLIM1.3","ABLIM1",3.56120179765188e-277,1.10244124049909e-272,-1.28440685033567,"3"
"MEF2C.3","MEF2C",9.90798295374328e-276,3.06721428299031e-271,1.13682292147868,"3"
"CIITA","CIITA",4.24481709182713e-274,1.31406802711693e-269,1.01539566956021,"3"
"FBXL7.3","FBXL7",8.65980951187991e-269,2.68081723059266e-264,-1.34289975426436,"3"
"CPVL","CPVL",3.00810447404915e-268,9.31218902031396e-264,1.00591580542333,"3"
"DLEU2.2","DLEU2",2.71668264708758e-267,8.41003447058902e-263,1.0170184408284,"3"
"RNF135","RNF135",5.08111388675427e-266,1.57296042592252e-261,1.07271635420469,"3"
"TEC","TEC",5.637096116812e-260,1.74507584488149e-255,0.9622862729126,"3"
"STON2","STON2",1.8131923936885e-258,5.6130996931415e-254,0.874426000289854,"3"
"APBB2.3","APBB2",1.33069906702195e-256,4.11944510177986e-252,-1.1129017061579,"3"
"FGF13.2","FGF13",9.18457611797017e-254,2.84326922884003e-249,1.52279781753392,"3"
"MAGI2.2","MAGI2",2.60483047759111e-253,8.0637737094788e-249,-1.09949851389112,"3"
"ECHDC2.2","ECHDC2",1.13615114558183e-251,3.51718310137767e-247,-1.01832610515659,"3"
"GSAP.1","GSAP",7.80359052079469e-249,2.41575751752241e-244,1.20415531227108,"3"
"AP1B1","AP1B1",3.16315889733449e-247,9.79219099847837e-243,1.07784459084158,"3"
"SGMS1.2","SGMS1",2.86436871369065e-246,8.86722622697215e-242,1.2031524558443,"3"
"VAV3","VAV3",2.78439308318324e-245,8.61964566761036e-241,0.898741487012422,"3"
"CAPZB.3","CAPZB",4.67585949649731e-244,1.44750582433067e-239,1.13445295043596,"3"
"PEAK1.2","PEAK1",1.38392993979909e-243,4.28423191463604e-239,1.0692372430289,"3"
"PALM2-AKAP2.3","PALM2-AKAP2",9.50370346381943e-243,2.94206148129458e-238,-1.20871928850831,"3"
"ARHGAP18.3","ARHGAP18",3.8622460807465e-241,1.19563551921669e-236,1.13184851777846,"3"
"ASAP1.3","ASAP1",4.84561348833327e-241,1.50005656758333e-236,0.937893566530062,"3"
"GHR.3","GHR",3.76555539328584e-240,1.1657029830995e-235,-1.17240313553614,"3"
"TSHZ2.3","TSHZ2",5.32835543130456e-239,1.64949899086895e-234,-1.43798859441351,"3"
"SCARB1.3","SCARB1",5.76614715082111e-238,1.78502617347969e-233,1.09049149449408,"3"
"CMTM7","CMTM7",7.76568774648772e-238,2.4040239556802e-233,1.00447818872744,"3"
"HSPG2.2","HSPG2",8.81101401842421e-238,2.72762560968358e-233,-1.11704355066021,"3"
"ARHGAP26.2","ARHGAP26",3.12911919644329e-237,9.68681429642949e-233,1.09884098085841,"3"
"PLCL2.1","PLCL2",1.52898812460406e-236,4.73328853733678e-232,1.10791826055627,"3"
"ACACB.3","ACACB",1.70243623723235e-236,5.27023185960018e-232,-1.50091344571795,"3"
"SLIT3.3","SLIT3",7.16079387457317e-235,2.21676695975162e-230,-1.42351464991207,"3"
"EDA.1","EDA",3.39195714902699e-234,1.05004817462429e-229,1.25594827584197,"3"
"B3GNT2","B3GNT2",1.26609533076666e-232,3.91945131545434e-228,1.09326878602008,"3"
"ARHGAP25","ARHGAP25",5.87136791792258e-232,1.81759936635129e-227,0.964080948971512,"3"
"MAGI1.1","MAGI1",1.10006570933988e-228,3.40547341640345e-224,-1.3107310527536,"3"
"COL4A2.2","COL4A2",1.82289405926762e-227,5.64313313927478e-223,-1.27399366806494,"3"
"MAPK10.2","MAPK10",2.48239755485744e-224,7.68475811057217e-220,-1.04823954358997,"3"
"ITPR2.2","ITPR2",4.22871791286924e-223,1.30908420428693e-218,0.876071374067887,"3"
"PDZD2.3","PDZD2",6.13696109793949e-223,1.89981904708913e-218,-1.16512389297542,"3"
"CHST11.1","CHST11",1.86098022469467e-222,5.76103648158728e-218,1.09728779705358,"3"
"PLEKHO2","PLEKHO2",3.02687760281406e-222,9.37030499503148e-218,1.09393702594894,"3"
"EFNA5.1","EFNA5",5.92877894946807e-219,1.83537209938683e-214,-1.09520740209572,"3"
"YAP1.1","YAP1",3.70102549509881e-218,1.14572646251774e-213,-0.954848708535532,"3"
"LINC02798","LINC02798",3.99506954258878e-216,1.23675367829921e-211,1.0760068480328,"3"
"MARCH1.1","MARCH1",9.3800563134626e-216,2.90378403295862e-211,0.950997098472705,"3"
"PTPRG.2","PTPRG",3.09654871947695e-212,9.58598587088479e-208,-0.998962046519904,"3"
"PIK3CD.1","PIK3CD",1.42946288107898e-211,4.42518824095621e-207,1.10182424995656,"3"
"ZBTB16.2","ZBTB16",3.26838451993043e-209,1.01179379583486e-204,-1.21520076189577,"3"
"TPCN1.2","TPCN1",2.62427876161843e-208,8.12397976234219e-204,1.1404208916592,"3"
"SLC43A2","SLC43A2",1.98571398374672e-207,6.14717477948472e-203,1.04663589240415,"3"
"RBFOX2.1","RBFOX2",2.81502785530133e-207,8.71448173165633e-203,-0.850510525591119,"3"
"RNF130.2","RNF130",4.7328423071303e-207,1.46514599301833e-202,1.01131425884478,"3"
"ZNF521.1","ZNF521",6.92088648958188e-207,2.14249883057986e-202,-1.02865854506641,"3"
"MKNK1.1","MKNK1",1.06421644440694e-206,3.29449484695057e-202,1.05215858911042,"3"
"ZEB1.3","ZEB1",3.417532896046e-206,1.05796565862896e-201,-1.03614093303996,"3"
"GPR137B","GPR137B",7.2582698202525e-206,2.24694258825557e-201,0.919233491842,"3"
"RNF213.1","RNF213",1.59665759080213e-205,4.94277290384616e-201,0.963311105752179,"3"
"PARP8.3","PARP8",7.37009325224561e-205,2.28155976809767e-200,1.02765951541879,"3"
"RUNX1T1.3","RUNX1T1",9.65265799197394e-205,2.98817333457537e-200,-1.17941595131275,"3"
"COL4A1.2","COL4A1",6.95877514667777e-204,2.15422802215704e-199,-1.31616803151845,"3"
"MCTP1.3","MCTP1",1.89152799961735e-202,5.85560322841543e-198,0.703433666941859,"3"
"LAMC1.2","LAMC1",6.10791282420757e-202,1.89082657298994e-197,-1.05639192060158,"3"
"KALRN.3","KALRN",1.91269610966201e-200,5.92113334668069e-196,-1.41182588927963,"3"
"CALD1.3","CALD1",7.09882753250581e-200,2.19758403923782e-195,-1.11115213756457,"3"
"GRB2.2","GRB2",1.75275455073083e-198,5.42600226269744e-194,1.02131062762654,"3"
"PAG1","PAG1",5.37771928321223e-198,1.66478055850401e-193,0.85526901760508,"3"
"CPM.3","CPM",1.05773892408785e-197,3.27444238729876e-193,1.21775200407243,"3"
"ABR.1","ABR",2.748839615403e-196,8.50958279740307e-192,1.0159639429869,"3"
"KANK1.3","KANK1",3.26948867616552e-196,1.01213560948056e-191,-0.958628357965907,"3"
"PRICKLE2.3","PRICKLE2",5.05286982012721e-196,1.56421691021678e-191,-0.930939534792944,"3"
"PARD3B.1","PARD3B",8.31231461168324e-196,2.57324323433878e-191,-0.819490399134845,"3"
"CEP112.1","CEP112",9.48541490591972e-195,2.93639989242557e-190,-0.933825809923235,"3"
"DMXL2","DMXL2",1.11802445938989e-194,3.4610683189333e-190,1.11374833617465,"3"
"AKAP13.3","AKAP13",1.79522205129535e-194,5.55746890419501e-190,0.900656424613226,"3"
"PLCB1.1","PLCB1",6.02814147910597e-194,1.86613175768684e-189,-1.07529763834785,"3"
