"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"VWF","VWF",2.05231187427028e-206,6.3533418691785e-202,0.446717345091114,"4"
"ANO2","ANO2",3.69982410730329e-173,1.14535454889788e-168,0.320837226361204,"4"
"PIK3R3","PIK3R3",2.09527981269781e-155,6.48635771616861e-151,0.321225687025577,"4"
"FLT1","FLT1",1.83723291695827e-144,5.6875219410277e-140,0.337237654783454,"4"
"EGFL7","EGFL7",1.44116897114433e-132,4.46142678397149e-128,0.369558806424887,"4"
"BTNL9.1","BTNL9",5.48875594900859e-128,1.69915417913459e-123,0.438734925340952,"4"
"CDH13","CDH13",1.66838342582015e-127,5.16481457131144e-123,0.330296317366969,"4"
"KIAA1217.4","KIAA1217",3.37030585874552e-127,1.04334558469185e-122,0.519655753700606,"4"
"PITPNC1.3","PITPNC1",6.24875157956609e-112,1.93442602648628e-107,0.380046588674801,"4"
"CCSER1.3","CCSER1",7.81182104506742e-112,2.41830544092152e-107,0.300150513381692,"4"
"DACH1","DACH1",1.11360492052173e-110,3.44738675245912e-106,0.348648417585904,"4"
"PLCG2.3","PLCG2",4.84788407367666e-106,1.50075947268808e-101,0.50678763073885,"4"
"ST6GAL1.4","ST6GAL1",3.75899834544667e-91,1.16367311779993e-86,0.315321748296589,"4"
"RIPOR2.1","RIPOR2",2.70936818057237e-85,8.38739107659789e-81,0.314579713442496,"4"
"PVT1.4","PVT1",9.1895528559564e-85,2.84480987761842e-80,0.355367000428987,"4"
"CCND3.2","CCND3",1.33234179399939e-84,4.1245304916839e-80,0.314875210015154,"4"
"CADM2","CADM2",7.74470944203402e-79,2.39752970197047e-74,0.520728693973194,"4"
"SYNE2.4","SYNE2",8.87023192778069e-78,2.74595769788307e-73,0.324432637507617,"4"
"SLC44A2.2","SLC44A2",4.22361773337235e-72,1.30750534172008e-67,0.331244597445165,"4"
"RPL39.1","RPL39",2.24641958631373e-50,6.95424111335142e-46,0.31804958382253,"4"
"RBFOX1.3","RBFOX1",4.36267063395124e-47,1.35055194815229e-42,0.400758420036887,"4"
"B2M.3","B2M",5.12391652425016e-45,1.58621083841212e-40,0.314892278949313,"4"
"RPL13.2","RPL13",2.39784746405772e-44,7.42301639448348e-40,0.360680099808365,"4"
"MT-ND3.2","MT-ND3",7.66761043190667e-44,2.37366216140535e-39,0.337823590021076,"4"
"RPLP2","RPLP2",1.28010417773299e-43,3.96281850300801e-39,0.354684050083197,"4"
"EZR.3","EZR",2.59964912401194e-42,8.04773379320377e-38,0.355786223658358,"4"
"SNHG25","SNHG25",3.33689771813205e-38,1.03300342660214e-33,0.313179179474655,"4"
"MT-CO3.2","MT-CO3",3.17366535611352e-28,9.82471584292062e-24,0.323003603029939,"4"
"LENG8.1","LENG8",1.88734291824737e-26,5.84264747201838e-22,0.313795756823005,"4"
"RBPJ.4","RBPJ",1.1699986903659e-19,3.62196494576571e-15,-0.343563328968563,"4"
"COL15A1.4","COL15A1",5.1652252465968e-14,1.59899877958897e-09,-0.31949766490484,"4"
"KAZN.4","KAZN",8.38030842163985e-14,2.59429207808705e-09,-0.564263589247337,"4"
"PRICKLE1.4","PRICKLE1",2.23153711902134e-13,6.90816945935436e-09,-0.341719263012024,"4"
"MAMDC2.3","MAMDC2",1.32130647071185e-11,4.09036844138268e-07,-0.370626076503003,"4"
"CACNA1C.2","CACNA1C",8.23152336084717e-11,2.54823268681746e-06,-0.375345208368194,"4"
"CNTN4.1","CNTN4",5.72120844423526e-09,0.000177111449808191,-0.353020487943693,"4"
"PRKG1.3","PRKG1",2.3932888740948e-08,0.000740890436753527,-0.34025197421433,"4"
"EBF1.4","EBF1",7.77227380679922e-08,0.00240606280237084,-0.354648697189742,"4"
"MIR99AHG.4","MIR99AHG",1.03769796176388e-07,0.00321240158023243,-0.395248730433805,"4"
"GAS7.4","GAS7",5.25885603347808e-07,0.0162798406228381,-0.382999405921701,"4"
"FBLN1.4","FBLN1",1.3822817616882e-06,0.0427912964965815,-0.548683501281635,"4"
"ADAMTSL3.3","ADAMTSL3",1.61413796620751e-06,0.049968869019886,-0.412686610237163,"4"
"BMPER.4","BMPER",3.69374837725903e-06,0.114347368514808,-0.428694924478931,"4"
"LAMA2.4","LAMA2",4.71825254353623e-06,0.146062943990251,-0.545253205521783,"4"
"ABCA10.4","ABCA10",7.21450581666484e-06,0.223339456566493,-0.623071741648022,"4"
"UST.3","UST",1.084388342595e-05,0.335694099217133,-0.331325157968974,"4"
"PDGFRA.2","PDGFRA",1.7653249866982e-05,0.546491656132161,-0.316566791187518,"4"
"ABCA9.3","ABCA9",1.89806924097747e-05,0.587585294929396,-0.5594956547081,"4"
"NEGR1.4","NEGR1",2.73440794124767e-05,0.846490666372043,-0.545123131717157,"4"
"BOC.3","BOC",4.39355467463172e-05,1,-0.300465502657806,"4"
"SDK1.4","SDK1",0.000353281810061536,1,-0.462639207872083,"4"
"EBF3.3","EBF3",0.00129924375241348,1,-0.315188891778782,"4"
"MEG3.2","MEG3",0.00520582152008981,1,-0.551001796493797,"4"
"MEG8.2","MEG8",0.0086693481115061,1,-0.49782599654458,"4"
"DCLK1.4","DCLK1",0.00931662576836862,1,-0.561268434272935,"4"
