"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"CFD","CFD",0,0,491.604369948888,"6"
"GSN","GSN",0,0,425.099698452921,"6"
"COL3A1","COL3A1",0,0,376.18878865119,"6"
"DCN","DCN",0,0,354.548363140116,"6"
"KCND2","KCND2",0,0,279.056720707574,"6"
"FBN1","FBN1",0,0,273.757440849939,"6"
"FBLN1","FBLN1",0,0,254.774360066612,"6"
"COL1A1","COL1A1",0,0,252.701585029293,"6"
"IGFBP5","IGFBP5",0,0,248.778715135801,"6"
"COL1A2","COL1A2",0,0,244.336042415794,"6"
"LAMA2","LAMA2",0,0,240.574487290792,"6"
"IGFBP6","IGFBP6",0,0,227.742337071234,"6"
"TRIO.6","TRIO",0,0,200.17999376797,"6"
"NOX4","NOX4",0,0,185.743288744762,"6"
"ABCA6","ABCA6",0,0,152.570853638576,"6"
"FSTL1","FSTL1",0,0,149.311315283026,"6"
"NEGR1","NEGR1",0,0,148.24279426126,"6"
"APOD","APOD",0,0,148.241719174421,"6"
"RORA.3","RORA",0,0,141.47153003486,"6"
"DCLK1","DCLK1",0,0,141.029497529448,"6"
"ABCA10","ABCA10",0,0,138.14408277002,"6"
"MFAP5","MFAP5",0,0,134.853468443241,"6"
"KAZN","KAZN",0,0,122.274395639128,"6"
"COL6A2","COL6A2",0,0,115.06089630397,"6"
"CCDC80","CCDC80",0,0,113.42127495015,"6"
"CREB5","CREB5",0,0,106.404816107215,"6"
"SEMA3C","SEMA3C",0,0,102.076730984548,"6"
"TNXB","TNXB",0,0,102.013198090926,"6"
"PARD3B.6","PARD3B",0,0,100.181133404769,"6"
"DENND2A","DENND2A",0,0,97.810380478833,"6"
"SDK1.1","SDK1",0,0,97.7486458618842,"6"
"EBF2","EBF2",0,0,96.1142168105048,"6"
"COL6A1","COL6A1",0,0,94.8616255955885,"6"
"FBXL7","FBXL7",0,0,91.9778656983253,"6"
"LUM","LUM",0,0,89.3019366896019,"6"
"DPYSL3","DPYSL3",0,0,88.5299344236507,"6"
"PLXDC2","PLXDC2",0,0,83.3313836529546,"6"
"KCNB2","KCNB2",0,0,83.3082817913324,"6"
"ANXA2","ANXA2",0,0,83.2983645672604,"6"
"GFPT2","GFPT2",0,0,79.43440877848,"6"
"BICC1","BICC1",0,0,78.3871115702879,"6"
"SVEP1","SVEP1",0,0,77.480818549126,"6"
"COL6A3","COL6A3",0,0,74.6640768774172,"6"
"DDR2","DDR2",0,0,70.0309986623225,"6"
"UAP1","UAP1",0,0,64.6367566493832,"6"
"PCSK6","PCSK6",0,0,62.2350872323003,"6"
"C3","C3",0,0,61.4048618969591,"6"
"COL15A1","COL15A1",0,0,61.2314978611267,"6"
"FBLN2","FBLN2",0,0,59.9662704833297,"6"
"PI16","PI16",0,0,59.1471444364619,"6"
"ABCA9","ABCA9",0,0,58.3582798059969,"6"
"ABCA8","ABCA8",0,0,57.5982142016211,"6"
"C1S","C1S",0,0,57.4036907352528,"6"
"WISP2","WISP2",0,0,56.0784649936372,"6"
"ADAMTSL3","ADAMTSL3",0,0,53.0250351429265,"6"
"ANK2","ANK2",0,0,52.9982525258156,"6"
"PROCR","PROCR",0,0,51.0581708292562,"6"
"LTBP4","LTBP4",0,0,48.2517937622778,"6"
"EPB41L3","EPB41L3",0,0,47.2542534926425,"6"
"CFH","CFH",0,0,47.2410573086908,"6"
"GUCY1A2","GUCY1A2",0,0,47.1736591876276,"6"
"TIMP2","TIMP2",0,0,47.0712856756881,"6"
"COL12A1","COL12A1",0,0,47.0593720359606,"6"
"PRSS23","PRSS23",0,0,46.6634164140816,"6"
"ACKR3","ACKR3",0,0,46.2127477954111,"6"
"C1R","C1R",0,0,44.5135267178342,"6"
"SH3PXD2B","SH3PXD2B",0,0,44.3314655931382,"6"
"SRPX2","SRPX2",0,0,42.5019924262478,"6"
"PODN","PODN",0,0,41.975311446815,"6"
"FGFR1","FGFR1",0,0,41.4690980685411,"6"
"AGAP1","AGAP1",0,0,40.0395325191522,"6"
"MEDAG","MEDAG",0,0,39.8923641521464,"6"
"MMP2","MMP2",0,0,39.8288563032175,"6"
"ANTXR1","ANTXR1",0,0,38.5981490206847,"6"
"SDC2","SDC2",0,0,38.5980841079547,"6"
"GLI3","GLI3",0,0,38.560927794334,"6"
"ADAMTS2","ADAMTS2",0,0,38.1554502173203,"6"
"PRICKLE1","PRICKLE1",0,0,37.215620891507,"6"
"KLF4","KLF4",0,0,37.1612648835455,"6"
"GAS7","GAS7",0,0,37.1554541479208,"6"
"AC119674.2","AC119674.2",0,0,37.143530151431,"6"
"FRMD6","FRMD6",0,0,37.073664746948,"6"
"ADGRD1","ADGRD1",0,0,36.9898985144241,"6"
"NHSL1","NHSL1",0,0,36.6962782395096,"6"
"HTRA3","HTRA3",0,0,35.9698641878354,"6"
"PLAC9","PLAC9",0,0,35.9243372025892,"6"
"KLHL13","KLHL13",0,0,35.7071036640441,"6"
"EGFR","EGFR",0,0,32.6434499899008,"6"
"TWIST2","TWIST2",0,0,31.1998333811248,"6"
"NID1","NID1",0,0,31.1375919773683,"6"
"SOBP","SOBP",0,0,30.9390603423165,"6"
"DPT","DPT",0,0,30.0194872552368,"6"
"AXL","AXL",0,0,28.5548485439898,"6"
"MFAP4","MFAP4",0,0,28.5007003419945,"6"
"ARHGAP20","ARHGAP20",0,0,28.4585383949367,"6"
"SERPING1","SERPING1",0,0,28.3306988389211,"6"
"NNMT","NNMT",0,0,28.3032437636691,"6"
"SCARA5","SCARA5",0,0,28.1627695516294,"6"
"SLIT2","SLIT2",0,0,28.0472888952456,"6"
"CDON","CDON",0,0,27.7505606612469,"6"
"ITGA11","ITGA11",0,0,27.4885230056379,"6"
"FMO2","FMO2",0,0,27.378383088549,"6"
"ASAP2","ASAP2",0,0,26.8415241256293,"6"
"ERRFI1","ERRFI1",0,0,25.5840132198843,"6"
"SLIT3","SLIT3",0,0,25.5006879313448,"6"
"PDE10A","PDE10A",0,0,25.0799535015342,"6"
"SPARC","SPARC",0,0,24.3610964214362,"6"
"COL14A1","COL14A1",0,0,23.7017814363839,"6"
"PCOLCE","PCOLCE",0,0,22.9314561542407,"6"
"CAB39L","CAB39L",0,0,21.2858070912209,"6"
"RBMS3","RBMS3",0,0,21.2821681771636,"6"
"ISLR","ISLR",0,0,20.1156138439297,"6"
"APBB2","APBB2",0,0,19.867312149681,"6"
"PID1","PID1",0,0,19.8395331550757,"6"
"CD34","CD34",0,0,18.5301992516966,"6"
"GPX3","GPX3",0,0,18.4615704594283,"6"
