"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"NBEAL1.2","NBEAL1",1.58818268540767e-258,2.91923859404784e-254,-76.5785755457122,"2"
"RBFOX2.2","RBFOX2",4.56454020355864e-240,8.39008134816114e-236,-33.0887549475252,"2"
"MECOM.2","MECOM",1.73718078865182e-197,3.19311200762091e-193,-399.78571897142,"2"
"DAPK1.2","DAPK1",4.08082704740207e-189,7.50096819582975e-185,-94.933722994228,"2"
"MT-ATP6.2","MT-ATP6",1.97267786659402e-178,3.62597918658646e-174,-276.765738289714,"2"
"MT-ND1.2","MT-ND1",1.497674791615e-172,2.75287603446752e-168,-107.968452364734,"2"
"MT-CO1.2","MT-CO1",2.83845129582903e-165,5.21735732686333e-161,-361.884746923777,"2"
"MT-CYB.2","MT-CYB",8.21362183425435e-163,1.50974582935429e-158,-146.923185809369,"2"
"MT-CO2.2","MT-CO2",1.20132324325788e-158,2.20815225343231e-154,-389.295952678695,"2"
"MT-CO3.2","MT-CO3",1.08476583017381e-153,1.99390807244247e-149,-341.68701632936,"2"
"PLEKHA7.2","PLEKHA7",6.39349744710439e-149,1.17518876575226e-144,-50.4067941112474,"2"
"MT-ND4.2","MT-ND4",8.52892792730211e-149,1.5677022423174e-144,-187.120678001242,"2"
"MT-RNR2.2","MT-RNR2",2.56948314395531e-146,4.72296696690425e-142,-Inf,"2"
"MT-ND2.2","MT-ND2",1.12427487206405e-144,2.06652964234093e-140,-66.1322635195644,"2"
"MT-ND3.2","MT-ND3",2.05850817628378e-144,3.78374387882721e-140,-201.928715775236,"2"
"TRIO.2","TRIO",3.1657166933393e-134,5.81890385402698e-130,-308.505025996424,"2"
"MAMDC2.2","MAMDC2",9.13061158885669e-128,1.67829771614775e-123,-117.88681061056,"2"
"LRMDA.2","LRMDA",1.63507128039827e-127,3.00542452050006e-123,-217.289541195366,"2"
"ARMC9.2","ARMC9",7.14898374087805e-124,1.31405470141079e-119,-52.3285942511636,"2"
"TXNRD1.2","TXNRD1",4.36211835126867e-122,8.01800974146694e-118,-87.7835013651203,"2"
"RPS15A.2","RPS15A",2.95876728287822e-114,5.43851014265845e-110,-72.164665260043,"2"
"MT-RNR1.2","MT-RNR1",5.82445068570908e-114,1.07059228054019e-109,-243.583753545935,"2"
"TCF4.2","TCF4",1.45080908099913e-113,2.6667321717845e-109,-146.900120846382,"2"
"PDE3A.2","PDE3A",2.9606759294958e-113,5.44201842600622e-109,-76.218409544636,"2"
"AMBRA1.2","AMBRA1",2.06320760886359e-112,3.79238190585217e-108,-70.5156134716823,"2"
"RPS13.2","RPS13",3.20143945275017e-111,5.88456585810009e-107,-66.3597271365124,"2"
"RPL7.2","RPL7",1.46853232473789e-109,2.69930926610071e-105,-41.4393655423643,"2"
"STEAP1B.2","STEAP1B",5.68374998661024e-109,1.04473008503883e-104,-47.5709347680522,"2"
"TTC28.2","TTC28",3.65064723482424e-108,6.71025468233043e-104,-74.0760813097797,"2"
"RPL38.2","RPL38",7.52829268103028e-106,1.38377547770018e-101,-39.4985997378795,"2"
"EBF1.2","EBF1",9.55270034799188e-106,1.75588185096439e-101,-524.629931215004,"2"
"RPL27.2","RPL27",1.22406252969336e-105,2.24994933582937e-101,-40.7008387390296,"2"
"ZNF90.2","ZNF90",1.2968947693984e-103,2.3838222756312e-99,-25.2617027530856,"2"
"ZMYM4.2","ZMYM4",1.75226839300135e-103,3.22084453317578e-99,-20.6105202256543,"2"
"TCF7L2.2","TCF7L2",3.19198144649362e-103,5.86718109679992e-99,-154.269006648279,"2"
"RPL23.2","RPL23",1.89116323586138e-102,3.47614714383681e-98,-24.2800855710618,"2"
"RPL37.2","RPL37",7.37974381303742e-102,1.35647071027441e-97,-80.9120268821477,"2"
"PARD3B.2","PARD3B",5.96150128979794e-101,1.09578355207776e-96,-183.725669183326,"2"
"RPL35.2","RPL35",1.6150053177149e-100,2.96854127449175e-96,-52.4400034249797,"2"
"RPS14.2","RPS14",1.893391756506e-100,3.48024338763368e-96,-91.5715211782799,"2"
"TPT1.2","TPT1",2.30898098553289e-100,4.24413794950801e-96,-209.877710467252,"2"
"RPS20.2","RPS20",1.07255272575926e-99,1.9714591652181e-95,-40.3558791755423,"2"
"FAU.2","FAU",8.4993923452926e-99,1.56227330698823e-94,-42.649484842878,"2"
"BAIAP2L1.2","BAIAP2L1",9.20115873482611e-99,1.69126498704839e-94,-96.8300841394066,"2"
"RPL35A.2","RPL35A",4.12446635833675e-98,7.58118161325878e-94,-135.012295187175,"2"
"NACA.2","NACA",6.8867228161359e-98,1.26584852083394e-93,-39.0777327662273,"2"
