"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"MPRIP.2","MPRIP",7.38243449148124e-06,0.135696528387917,-0.315709476876602,"3"
"DGLUCY.2","DGLUCY",7.42553870110079e-06,0.136488826864934,-1.81529858539243,"3"
"GPHN.2","GPHN",7.65459060358853e-06,0.140699029884561,-55.9781487533678,"3"
"NUP205.1","NUP205",7.87634339023064e-06,0.144775067855829,-0.384283650049986,"3"
"SEL1L.3","SEL1L",7.88313494690311e-06,0.144899903459026,-47.6112137579604,"3"
"PPIL4.3","PPIL4",8.00071134285667e-06,0.147061075193049,-1.08385974961751,"3"
"KLHL2","KLHL2",8.04932120859503e-06,0.147954573135185,-8.27100230013269,"3"
"UBE2G2.3","UBE2G2",8.32474897178094e-06,0.153017210850306,-0.900595519544913,"3"
"TYW1.1","TYW1",8.40301553976963e-06,0.154455828636506,-1.14831967243621,"3"
"BRD1.2","BRD1",8.44626158026163e-06,0.155250734106789,0.427895529173667,"3"
"LARS.3","LARS",8.54914833686724e-06,0.157141895579957,-1.6009164048645,"3"
"UBE2N.3","UBE2N",9.27833918241315e-06,0.170545152511936,-6.65665777880017,"3"
"PSMA3.1","PSMA3",9.38590420088685e-06,0.172522305116501,0.338270842518392,"3"
"XPO1.2","XPO1",9.43944883723634e-06,0.173506509077241,-4.65414651583045,"3"
"AHCTF1.2","AHCTF1",9.70978163807706e-06,0.178475496289494,-4.49294678733016,"3"
"PTER.1","PTER",9.99700985277699e-06,0.183755038103894,0.559753526680872,"3"
"MTDH.3","MTDH",1.00374638784378e-05,0.184498623549565,-9.26987502751676,"3"
"PTEN.2","PTEN",1.01965665985848e-05,0.187423090648587,-139.654524862292,"3"
"GTF2B.1","GTF2B",1.02065518231259e-05,0.187606629060877,-1.37592493351536,"3"
"NT5C2.3","NT5C2",1.02102830044325e-05,0.187675211904474,-18.1904314117667,"3"
"TMOD3.2","TMOD3",1.02874394447806e-05,0.189093424434512,-16.3746939161882,"3"
"ZNF33B.2","ZNF33B",1.05286622487416e-05,0.19352734079412,-2.38109746766117,"3"
"HNRNPM.3","HNRNPM",1.06504580681856e-05,0.195766069751319,-4.6779382494282,"3"
"LRP4.3","LRP4",1.09709477481589e-05,0.201656990558908,-3.43552592405108,"3"
"WASHC4.3","WASHC4",1.11055378326599e-05,0.204130890902122,-9.93900417679897,"3"
"COA1.1","COA1",1.12945487408208e-05,0.207605100405028,-38.6510816527375,"3"
"RHBDD1.2","RHBDD1",1.13762816322304e-05,0.209107432682026,-6.60101384111539,"3"
"CREBBP.3","CREBBP",1.14025745087831e-05,0.209590722045943,-5.30584507480359,"3"
"GAK.3","GAK",1.15698477123194e-05,0.212665370800143,-2.08228519673623,"3"
"MED4.3","MED4",1.19125233973495e-05,0.218964092566682,-2.10019795116871,"3"
"SLC27A6.3","SLC27A6",1.21175442420091e-05,0.22273258071237,-46.9506161356056,"3"
"VRK2.2","VRK2",1.25909949320282e-05,0.231435077845611,-9.44096308030175,"3"
"TANK.1","TANK",1.28058800618878e-05,0.23538488141756,-57.3398889147389,"3"
"IQCB1.1","IQCB1",1.33997223552298e-05,0.246300296611478,-5.92766575589664,"3"
"MICU1.2","MICU1",1.43300437141197e-05,0.263400533509235,-6.13634292768412,"3"
"LASP1.3","LASP1",1.46301203787514e-05,0.26891624268183,-11.7696303258304,"3"
"DENND5A.2","DENND5A",1.4900012659895e-05,0.273877132701529,-36.156159940964,"3"
"GSPT1.2","GSPT1",1.49036412923012e-05,0.273943830593788,-0.579746627999119,"3"
"ACAP2.2","ACAP2",1.51720319932864e-05,0.278877120068597,-42.0426350282651,"3"
"PPP4R3B.1","PPP4R3B",1.55141248186952e-05,0.285165128292436,-2.63370296993291,"3"
"REEP5.1","REEP5",1.55918209458281e-05,0.286593260805266,-3.34298826392489,"3"
"NSMAF.1","NSMAF",1.60574885479307e-05,0.295152696999515,-13.1685978234256,"3"
"SMC5.2","SMC5",1.62063324517753e-05,0.297888596796083,-30.7833108531881,"3"
"PIGL.1","PIGL",1.63279877875479e-05,0.300124743522918,-1.2229464009892,"3"
"BRD7.2","BRD7",1.75284318863554e-05,0.322190106503098,-11.9788743838766,"3"
"EIF4E.1","EIF4E",1.7654866221926e-05,0.324514096025221,1.28533706611433,"3"
"RAB1A.3","RAB1A",1.80122702088322e-05,0.331083538708545,-14.9423902989946,"3"
"INVS.2","INVS",1.83300179026317e-05,0.336924059068274,-3.2869365289284,"3"
"DHRS3.3","DHRS3",1.84682623355901e-05,0.339465129990481,-44.2400023120439,"3"
"HDAC7.3","HDAC7",1.87605056427233e-05,0.344836854218898,-1.52413275119585,"3"
"PBX3.3","PBX3",1.89815855059608e-05,0.348900523185066,-220.44544557468,"3"
"MTR.2","MTR",1.94493192322423e-05,0.357497936807845,-2.82890209643544,"3"
"GOLGA8A.2","GOLGA8A",1.9483751800048e-05,0.358130841836682,-0.527119587379102,"3"
"MFHAS1.2","MFHAS1",2.02720944791277e-05,0.372621368620846,-19.4013751426117,"3"
"ZC3H13.3","ZC3H13",2.0380916994975e-05,0.374621635284636,-0.355837402811924,"3"
"C6orf62.3","C6orf62",2.09748894145629e-05,0.385539442329081,-15.9218153684398,"3"
"ABHD3.2","ABHD3",2.15492199719879e-05,0.39609621230511,-16.8311932568776,"3"
"MYO5A.1","MYO5A",2.18042278926723e-05,0.400783512895209,-57.80358789547,"3"
"IPO7.2","IPO7",2.19553409303227e-05,0.403561121640262,-2.33525706729296,"3"
"IFNGR2.2","IFNGR2",2.2178028513332e-05,0.407654342103556,-16.3724131962714,"3"
"TRA2B.3","TRA2B",2.22110292215485e-05,0.408260928121284,-3.70896768372385,"3"
"R3HDM2.1","R3HDM2",2.22369498075636e-05,0.408737374412826,-7.11680733034811,"3"
"TMEM87B.1","TMEM87B",2.29062088505847e-05,0.421039024882597,-10.2640053906402,"3"
"SIL1.2","SIL1",2.29236721355072e-05,0.421360017522757,-26.6871643082312,"3"
"ACACA.2","ACACA",2.38405321537531e-05,0.438212821518137,-11.9847272475499,"3"
"ARID4A.2","ARID4A",2.39148839178639e-05,0.439579481294257,-19.56100654147,"3"
"SAT1.2","SAT1",2.39496408376848e-05,0.440218348237484,-126.651341307201,"3"
"RNF4.2","RNF4",2.40400123718575e-05,0.441879467407112,-0.323456205370296,"3"
"FOXJ3.1","FOXJ3",2.46231957315921e-05,0.452598960742394,-5.21724751058089,"3"
"BRWD1.1","BRWD1",2.47108576347387e-05,0.454210274184132,-32.145563702551,"3"
"TERF2IP.3","TERF2IP",2.55816682662501e-05,0.470216644401944,-3.80641116757543,"3"
"FAF1.2","FAF1",2.57995313937701e-05,0.474221186548889,-23.2759964972789,"3"
"UBE2G1.1","UBE2G1",2.58311921769866e-05,0.474803143405191,-0.965155730101235,"3"
"HABP4.1","HABP4",2.58563345573856e-05,0.475265285499304,2.08513995798638,"3"
"USP32.3","USP32",2.59312921720126e-05,0.476643081413764,-12.2901132109931,"3"
"ITSN2.2","ITSN2",2.60392930290019e-05,0.478628245166084,-59.8033433228438,"3"
"NRF1.2","NRF1",2.66903105221361e-05,0.490594597707384,-3.716729700885,"3"
"GABPB1.1","GABPB1",2.68906515187453e-05,0.494277065566057,-9.38568468347708,"3"
"SEC23A.3","SEC23A",2.69629709446734e-05,0.495606368934042,-1.66482981642088,"3"
"BMT2.1","BMT2",2.72712485097587e-05,0.501272818857875,-2.4257482895588,"3"
"CD58","CD58",2.73922103148179e-05,0.503496217796667,-35.1331174231433,"3"
"POLR2A","POLR2A",2.752670091004e-05,0.505968289427445,-0.688390078495403,"3"
"ARID1A.3","ARID1A",2.91735297521963e-05,0.53623865037512,-10.7132095038022,"3"
"TMEM41B.1","TMEM41B",2.98906985885898e-05,0.54942093075687,-1.7370206960853,"3"
"AKAP8L.2","AKAP8L",3.05783248655062e-05,0.56206018935287,-0.407567436511218,"3"
"MAPK1IP1L.3","MAPK1IP1L",3.06195974266074e-05,0.56281882029847,-0.677793036945954,"3"
"EIF5.3","EIF5",3.0877986452365e-05,0.56756826898092,-2.09639981229888,"3"
"CSTF3.2","CSTF3",3.11529545818558e-05,0.572622458169091,-1.12352018731797,"3"
"SRPK2.1","SRPK2",3.119789849695e-05,0.573448572272438,-12.7071111316838,"3"
"ZNF609.3","ZNF609",3.12574774360529e-05,0.574543692752089,-41.7744954232437,"3"
"SUN1.3","SUN1",3.14109820328308e-05,0.577365260745463,-1.32381420700143,"3"
"SLC30A5","SLC30A5",3.16943554661405e-05,0.582573947823128,-0.337013005355093,"3"
"PAN3.1","PAN3",3.2358547729449e-05,0.594782465815002,-59.9795098941096,"3"
"EPSTI1.1","EPSTI1",3.25262964691962e-05,0.597865855400296,-321.502171999705,"3"
"ACVR2A.3","ACVR2A",3.25611393427054e-05,0.598506302258268,-23.2899540023197,"3"
"HIPK2.3","HIPK2",3.30975460232023e-05,0.608365993452482,-37.1867417190367,"3"
"RFX3.1","RFX3",3.31598046738456e-05,0.609510369709957,-17.7331039513583,"3"
"DYNC1H1.3","DYNC1H1",3.32214579836341e-05,0.610643619197179,-31.9432894751871,"3"
"RNF145.2","RNF145",3.34456292790156e-05,0.614764111777585,-68.1869665700964,"3"
"ACTN4.2","ACTN4",3.4102636230348e-05,0.626840556550027,-22.6269143417628,"3"
"GNPTAB.2","GNPTAB",3.41494170161839e-05,0.627700434174476,-6.24123940509964,"3"
"FAM177A1.1","FAM177A1",3.45024914128108e-05,0.634190294658875,11.737516324964,"3"
"AC124312.1.2","AC124312.1",3.6319087062243e-05,0.66758113929109,-0.727938443883361,"3"
"GPATCH2L.3","GPATCH2L",3.67921222167841e-05,0.676275998466708,-7.56763110491238,"3"
"CREBRF.2","CREBRF",3.70965896447176e-05,0.681872414259554,-9.77014174212728,"3"
"PHF14.3","PHF14",3.75624055250313e-05,0.6904345759556,-10.0018848707196,"3"
"PPP6R3.2","PPP6R3",3.83513510093917e-05,0.704936182903629,-9.25462585489275,"3"
"CHIC1.1","CHIC1",3.92534620068821e-05,0.7215178851485,-0.653963622678636,"3"
"AKAP10.1","AKAP10",3.95113925532764e-05,0.726258906521773,-5.23708621514671,"3"
"PELI1.1","PELI1",3.98561928255832e-05,0.732596680327045,-38.6744789595452,"3"
"KIAA1109","KIAA1109",4.26428035993534e-05,0.783817372959714,0.493736570158172,"3"
"DAP3.2","DAP3",4.3197991741969e-05,0.794022286209133,-2.38165017169931,"3"
"IKBKB.1","IKBKB",4.32109933921211e-05,0.794261269540578,-0.736149390591279,"3"
"TTC19.1","TTC19",4.55502529537003e-05,0.837259199541965,-4.07171368085126,"3"
"PHF3.2","PHF3",4.72227495385318e-05,0.868001359267753,-15.1136910884289,"3"
"SKI.2","SKI",4.72479543661711e-05,0.868464649204591,-1.1748643583405,"3"
"IGF2R.3","IGF2R",4.93638462845346e-05,0.907356858556031,-31.7040673221356,"3"
"KPNA1.2","KPNA1",5.002287951093e-05,0.919470548290405,-3.59590584218502,"3"
"FAM208A.1","FAM208A",5.01182101494303e-05,0.921222820756679,-1.32948898800605,"3"
"PTPRA.3","PTPRA",5.07373937101245e-05,0.932604033785799,-22.1248376091522,"3"
"ZRANB2.1","ZRANB2",5.26360775750456e-05,0.967503741906914,-6.28295590888366,"3"
"ZNF277.1","ZNF277",5.31252555657166e-05,0.976495322553436,-6.05541214962035,"3"
"CAPRIN1.2","CAPRIN1",5.36470995863028e-05,0.986087337495832,-0.732315964886034,"3"
"RC3H2.1","RC3H2",5.57381149246153e-05,1,-10.2351088862104,"3"
"DDX46.3","DDX46",5.59241190492196e-05,1,-1.07803491271302,"3"
"LPAR6.1","LPAR6",5.59721857640281e-05,1,-1.46077856200372,"3"
"OCIAD1.3","OCIAD1",5.82257571508211e-05,1,-0.795084620445998,"3"
"ZCCHC6.1","ZCCHC6",5.87479363639046e-05,1,-5.0195025486169,"3"
"LRPPRC.2","LRPPRC",5.95282767721465e-05,1,-6.24584968255177,"3"
"ZNF507.1","ZNF507",6.09880485170255e-05,1,-0.506916265908795,"3"
"YTHDC1.2","YTHDC1",6.29285620341926e-05,1,-1.29362998759954,"3"
"DENND4A.2","DENND4A",6.42432932085846e-05,1,-15.6081204528896,"3"
"KIAA0319L.1","KIAA0319L",6.57087562404084e-05,1,-2.32765392606402,"3"
"CLINT1.3","CLINT1",6.77216453983628e-05,1,-1.78441725680877,"3"
"PAPD5.2","PAPD5",6.86738781384655e-05,1,-2.53008479891534,"3"
"MAP3K4.2","MAP3K4",7.17433531983609e-05,1,4.59544773949309,"3"
"B4GALT1.3","B4GALT1",7.22642978382086e-05,1,-29.9338438189803,"3"
"ZBTB7A.1","ZBTB7A",7.89076225749881e-05,1,-0.584011549600488,"3"
"KCMF1.2","KCMF1",7.9140236581825e-05,1,0.723451819331666,"3"
"ERGIC2","ERGIC2",8.21711852286996e-05,1,1.01580784181766,"3"
"CWC27.2","CWC27",8.23503668483501e-05,1,-25.5032049273755,"3"
"ITGB1.1","ITGB1",8.32363129073895e-05,1,-41.6027343805045,"3"
"RANBP9.2","RANBP9",8.4944088135647e-05,1,-10.8580265583368,"3"
"ARL17B.2","ARL17B",8.60072593213668e-05,1,-8.37331520115839,"3"
"NBDY.2","NBDY",8.85870309322043e-05,1,1.00326091028339,"3"
"ZMYM2.2","ZMYM2",9.07173954018015e-05,1,-9.64928423888722,"3"
"SLC20A1.2","SLC20A1",9.14283744242832e-05,1,-71.0830562852606,"3"
"KIDINS220.3","KIDINS220",9.24289000872965e-05,1,-9.05611897775628,"3"
"KIAA1468.2","KIAA1468",9.37966349444335e-05,1,-2.43291246124621,"3"
