"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"IGHM","IGHM",0,0,131.739560278937,"11"
"BANK1.1","BANK1",0,0,109.165468950493,"11"
"OSBPL10.2","OSBPL10",0,0,58.6702338051122,"11"
"FCRL5","FCRL5",0,0,55.8868065800802,"11"
"CD79A","CD79A",0,0,54.2047326723138,"11"
"VPREB3","VPREB3",0,0,48.7741869263901,"11"
"PLCG2.4","PLCG2",0,0,47.1295821922088,"11"
"FCRL1","FCRL1",0,0,45.728351399928,"11"
"MS4A1","MS4A1",0,0,44.2198054842155,"11"
"GNG7.1","GNG7",0,0,43.2926876806166,"11"
"RALGPS2.1","RALGPS2",0,0,43.2745228620733,"11"
"BCL11A","BCL11A",0,0,34.0943441549027,"11"
"CD22","CD22",0,0,33.1811665229684,"11"
"KCNH8","KCNH8",0,0,32.8684449254133,"11"
"BLK","BLK",0,0,31.4332147025784,"11"
"CD79B","CD79B",0,0,29.4257297310266,"11"
"SWAP70.4","SWAP70",0,0,28.3745433997281,"11"
"BLNK","BLNK",0,0,23.963002747759,"11"
"POU2AF1","POU2AF1",0,0,21.4686899871627,"11"
"C1orf186","C1orf186",0,0,17.9348767382723,"11"
"TNFRSF13C","TNFRSF13C",0,0,17.0203127390832,"11"
"KLHL14","KLHL14",0,0,16.5766469160384,"11"
"CLECL1","CLECL1",0,0,16.2111410060966,"11"
"PAX5","PAX5",0,0,15.3983558266219,"11"
"FCRL2","FCRL2",0,0,14.2470984067844,"11"
"HVCN1","HVCN1",0,0,12.5773751534021,"11"
"ADGRG5","ADGRG5",0,0,11.0887650229736,"11"
"RUBCNL.1","RUBCNL",0,0,11.0582892820936,"11"
"FAM129C","FAM129C",0,0,9.90780918479074,"11"
"STAP1","STAP1",0,0,9.89842628353272,"11"
"TNFRSF13B","TNFRSF13B",0,0,8.55298755290338,"11"
"MEF2C.3","MEF2C",0,0,7.18636446632834,"11"
"LY86","LY86",0,0,6.79649365418402,"11"
"CLEC17A","CLEC17A",0,0,6.66103782880504,"11"
"COL4A3","COL4A3",0,0,5.62803298645017,"11"
"ABCB4","ABCB4",0,0,5.58005755591075,"11"
"DOK3","DOK3",0,0,4.62402305100166,"11"
"TLR10","TLR10",0,0,4.26889973359901,"11"
"CNR2","CNR2",0,0,4.15527955729611,"11"
"UGT8","UGT8",0,0,3.85040360815204,"11"
"LYN.2","LYN",0,0,3.84890779837319,"11"
"BTK","BTK",0,0,3.74320588895883,"11"
"CD19","CD19",0,0,2.7399858238472,"11"
"SCIMP","SCIMP",0,0,2.23877261699182,"11"
"HLA-DOA","HLA-DOA",0,0,2.19035089736898,"11"
"CPNE5","CPNE5",0,0,2.06360328360417,"11"
"CBFA2T3","CBFA2T3",0,0,1.68820082729831,"11"
"LAT2","LAT2",0,0,1.50951193899182,"11"
"SETBP1.5","SETBP1",0,0,1.37067840786411,"11"
"LILRB1","LILRB1",0,0,1.03918917555066,"11"
"AIM2","AIM2",0,0,0.734341018651531,"11"
"ALOX5.1","ALOX5",0,0,-0.383149700865964,"11"
"MARCH1.1","MARCH1",0,0,-2.96631690488465,"11"
"HLA-DMB","HLA-DMB",0,0,-3.09934738306686,"11"
"FGD2.1","FGD2",0,0,-5.5490839292724,"11"
"SYK.1","SYK",0,0,-6.35394242495497,"11"
"PIK3AP1.1","PIK3AP1",0,0,-12.044925495447,"11"
"CIITA.1","CIITA",0,0,-13.9707246669628,"11"
"IRF8.1","IRF8",0,0,-22.9293389223391,"11"
"ADAM28","ADAM28",0,0,-24.9789548064147,"11"
"CDK14.2","CDK14",0,0,-47.9905485964824,"11"
"ARHGAP24.4","ARHGAP24",0,0,-53.6756324515755,"11"
"CR1.1","CR1",0,0,-56.674150021976,"11"
"HLA-DQA1","HLA-DQA1",0,0,-57.6558272780055,"11"
"KYNU.1","KYNU",0,0,-59.6165116800348,"11"
"HLA-DRB1.2","HLA-DRB1",0,0,-66.8152973096465,"11"
