"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"ESRRG.1","ESRRG",0,0,504.061541212399,"16"
"DNAH11","DNAH11",0,0,273.226279140188,"16"
"FRMPD4.1","FRMPD4",0,0,196.572265874202,"16"
"CHGA","CHGA",0,0,188.107755621428,"16"
"RAPGEF5.4","RAPGEF5",0,0,173.680781117278,"16"
"SPOCK3","SPOCK3",0,0,170.69624089264,"16"
"C8orf34.1","C8orf34",0,0,141.842768943394,"16"
"MAPK4","MAPK4",0,0,115.369458845446,"16"
"KCNJ16","KCNJ16",0,0,114.530308533116,"16"
"GRM7","GRM7",0,0,105.87038573779,"16"
"CNTN4.3","CNTN4",0,0,104.427693770028,"16"
"LRFN5.1","LRFN5",0,0,99.4673166364184,"16"
"LRP2","LRP2",0,0,84.223165084442,"16"
"PTPRD.2","PTPRD",0,0,84.1173775672343,"16"
"EPHA7","EPHA7",0,0,70.4446003153938,"16"
"ERBB4.1","ERBB4",0,0,69.8067654693642,"16"
"PEX5L","PEX5L",0,0,67.1004419700362,"16"
"SYCP2L","SYCP2L",0,0,59.7083808714215,"16"
"CASR","CASR",0,0,56.8225073418564,"16"
"OPCML","OPCML",0,0,49.5537142543557,"16"
"SGK1.1","SGK1",0,0,46.5360363977378,"16"
"GCNT1","GCNT1",0,0,40.9782399718942,"16"
"PRLR","PRLR",0,0,40.5517657886347,"16"
"SLC7A2","SLC7A2",0,0,39.3231970858103,"16"
"GCM2","GCM2",0,0,33.937334765457,"16"
"VDR","VDR",0,0,32.9671742219767,"16"
"TTC29","TTC29",0,0,25.1893539442492,"16"
"CDH2","CDH2",0,0,20.7119244568615,"16"
"STK33.1","STK33",0,0,20.227933594889,"16"
"KIAA1549L","KIAA1549L",0,0,18.0182971668986,"16"
"CD109.1","CD109",0,0,16.8281343275792,"16"
"KCNJ3","KCNJ3",0,0,15.6953888303317,"16"
"ROR2","ROR2",0,0,14.9880005488306,"16"
"SYT12","SYT12",0,0,12.2726550639631,"16"
"AL024498.2","AL024498.2",0,0,11.9193505409965,"16"
"RASAL1","RASAL1",0,0,11.1394972895418,"16"
"TMC3","TMC3",0,0,9.93410793731006,"16"
"PTN","PTN",0,0,8.30920330576511,"16"
"PPM1H","PPM1H",0,0,6.7272680061118,"16"
"PAX1","PAX1",0,0,6.63153830981799,"16"
"LYPD6B","LYPD6B",0,0,6.6021671926487,"16"
"MYBPC2","MYBPC2",0,0,4.33929844151733,"16"
"RIMBP2","RIMBP2",0,0,3.45856600030243,"16"
"SLC15A1","SLC15A1",0,0,2.29447627326669,"16"
"RGL3.1","RGL3",0,0,2.19594592903043,"16"
"GRHL2","GRHL2",0,0,1.61294046883462,"16"
"KIAA1211.1","KIAA1211",0,0,-1.86598322047299,"16"
"PTCH2.1","PTCH2",0,0,-6.58117301826075,"16"
"FAM160A1","FAM160A1",0,0,-8.54746678058532,"16"
"FAM189A1.2","FAM189A1",0,0,-9.39546935015733,"16"
"CACNB2.1","CACNB2",0,0,-12.2437366000259,"16"
"SHROOM3.1","SHROOM3",0,0,-38.3208427462038,"16"
"COBL.1","COBL",0,0,-46.0437946169195,"16"
"ANO5","ANO5",2.6025253883711e-307,4.78370191636491e-303,6.29869540712598,"16"
"MAP7","MAP7",5.98470490929765e-306,1.100048609378e-301,7.75519854326386,"16"
"CDH1.1","CDH1",1.09577673131203e-301,2.01414720982463e-297,-30.5261793128305,"16"
"ROR1.3","ROR1",5.36920227258547e-300,9.86913069723936e-296,43.7588349511279,"16"
"CADM1.1","CADM1",3.61667425735929e-296,6.64780895245212e-292,-116.300898005422,"16"
"SYK.2","SYK",1.1737841320367e-293,2.15753261309667e-289,-9.3225496802797,"16"
"DACH1.1","DACH1",1.23674834757096e-284,2.27326713767018e-280,-80.2332683437432,"16"
"RNF180.3","RNF180",1.11515000307344e-279,2.04975722064929e-275,31.8586304824183,"16"
"ATP1B1","ATP1B1",2.73815770234612e-279,5.03300767268239e-275,6.4829912853234,"16"
"RNF217.8","RNF217",1.04597635118354e-275,1.92260913111046e-271,93.1349175487132,"16"
"SLC7A8.1","SLC7A8",1.9548363609803e-266,3.59318471511788e-262,4.85368565989111,"16"
"PTH","PTH",1.79415395262133e-260,3.29783438031327e-256,Inf,"16"
"KCNC3","KCNC3",1.0886359035862e-256,2.00102165438179e-252,1.66274632754504,"16"
"CA8","CA8",4.20837786545498e-254,7.73541935449279e-250,50.9601495944937,"16"
"COL4A5.2","COL4A5",1.25704482184528e-252,2.3105740870338e-248,-7.64560691345616,"16"
"NALCN","NALCN",1.11146588136046e-251,2.04298543652865e-247,-21.1408149091043,"16"
"RBM47.4","RBM47",1.00567069043963e-250,1.84852329609709e-246,-90.332871098431,"16"
"RIMS1","RIMS1",3.62601934559736e-249,6.66498615914251e-245,9.0556882803589,"16"
"PALLD.5","PALLD",5.26352194651403e-249,9.67487968988745e-245,-124.765410229089,"16"
"LRRN2","LRRN2",8.9954740534183e-244,1.65345808575882e-239,1.17856237366871,"16"
"HS6ST3.1","HS6ST3",1.12575372645544e-242,2.06924792459774e-238,-16.4833833087269,"16"
"L3MBTL4.5","L3MBTL4",5.44863947838032e-239,1.00151442252109e-234,-231.709671101093,"16"
"PRKG1.5","PRKG1",1.63309252723928e-236,3.00178737431852e-232,-126.40938599516,"16"
"PIK3C2G.1","PIK3C2G",3.51797865184121e-234,6.46639655994933e-230,-36.8955822653303,"16"
"DLG5.3","DLG5",4.12431147613196e-234,7.58089692427816e-230,20.1989744586848,"16"
"TMEM178B.1","TMEM178B",7.57676099741508e-233,1.39268443893487e-228,-178.335468507092,"16"
"MARC2.2","MARC2",1.69965299535857e-231,3.12413217076859e-227,19.517065767353,"16"
"KIAA1217.8","KIAA1217",9.63205274502666e-230,1.77046761506335e-225,-133.613238474893,"16"
"DPY19L2.1","DPY19L2",1.04834681861329e-229,1.92696628729308e-225,-2.54459777089885,"16"
"STXBP6.2","STXBP6",1.06695722355363e-221,1.96117407261393e-217,-18.6412134745376,"16"
"MYO3B","MYO3B",4.66160574856672e-221,8.56849752644048e-217,-0.729444673817488,"16"
"KL","KL",2.83463813559547e-213,5.21034835703804e-209,6.63544554484579,"16"
"SLIT3.5","SLIT3",2.93422126734843e-211,5.39339211151315e-207,-34.137332399493,"16"
"MCC.7","MCC",1.8408442626111e-209,3.38365583910547e-205,147.710861735079,"16"
"LIMCH1.6","LIMCH1",2.22581535784546e-206,4.09127120925575e-202,-263.428792303822,"16"
"LRRC4C.1","LRRC4C",1.09090291037964e-205,2.00518863956881e-201,11.543800435232,"16"
"DPF3","DPF3",1.64615943936697e-203,3.02580566550042e-199,9.82951822818217,"16"
"ACTR3C","ACTR3C",4.37052293255246e-203,8.03345820232467e-199,109.977834149529,"16"
"STOX2.4","STOX2",2.57769007570489e-201,4.73805212815315e-197,-91.7679581717465,"16"
"EYA1.2","EYA1",7.19910544680389e-198,1.32326757217702e-193,-10.4615205601038,"16"
"ABO","ABO",4.49179576756451e-196,8.25636980036032e-192,1.55245400212571,"16"
"FAM110B.3","FAM110B",7.58131703722382e-192,1.39352188461211e-187,17.1519813733578,"16"
"MBOAT2.1","MBOAT2",1.32779211086957e-190,2.44061467898936e-186,-19.6274670047597,"16"
"ENAH.5","ENAH",2.86674394951007e-190,5.26936205359446e-186,-42.2352679213694,"16"
"PRKAA2.2","PRKAA2",2.91379023330196e-189,5.35583782783233e-185,-0.659962421341246,"16"
"NEBL","NEBL",3.75918990932636e-189,6.90976697233277e-185,-85.9387622444303,"16"
"FGFR2","FGFR2",9.42526944533284e-189,1.73245877674663e-184,12.8335551199296,"16"
"DNAH14","DNAH14",2.04101578473497e-188,3.75159111392135e-184,-2.19131196725697,"16"
"ARFGEF3","ARFGEF3",1.57412890243632e-187,2.8934063355682e-183,4.68335920530745,"16"
"FRMD3","FRMD3",2.36849795250307e-186,4.3535360864959e-182,11.8939773204217,"16"
"ROBO2.2","ROBO2",3.30695631996272e-186,6.07851641172348e-182,-185.550256707851,"16"
"ADGRG2.1","ADGRG2",8.44820117328606e-186,1.55286385766171e-181,-21.682846413145,"16"
"PLA2G4A.3","PLA2G4A",1.40087563713244e-183,2.57494950861314e-179,-5.21314364434177,"16"
"PRKD1.6","PRKD1",4.68177134620208e-183,8.60556391145405e-179,3.24877967189506,"16"
"PCLO.1","PCLO",7.447805709594e-177,1.36898116748047e-172,-4.13994481084283,"16"
"KANSL1L.11","KANSL1L",4.63873229589565e-175,8.5264538330858e-171,391.344588673213,"16"
"ACSL3.10","ACSL3",1.23723522077245e-171,2.27416205930184e-167,45.7237610226415,"16"
"CDS1","CDS1",3.5272214350657e-171,6.48338571979427e-167,8.98750663367726,"16"
"ENPP1.1","ENPP1",5.08631466327651e-170,9.34915498256855e-166,-23.9685984541073,"16"
"PPP1R9A.3","PPP1R9A",5.52843869032384e-169,1.01618231566843e-164,-48.5643017717828,"16"
"KIF13B.9","KIF13B",1.03830382639285e-165,1.9085062632927e-161,105.870506307811,"16"
"TUSC3.2","TUSC3",1.11439422276674e-164,2.04836802086754e-160,-43.0321455962921,"16"
