"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"CACNA2D3.1","CACNA2D3",0,0,263.6935682789,"14"
"LSAMP","LSAMP",0,0,217.527401339099,"14"
"CDH18","CDH18",0,0,217.527401337899,"14"
"SEMA5A","SEMA5A",0,0,133.8212839986,"14"
"TMEM178B","TMEM178B",0,0,128.080308803984,"14"
"FBN2","FBN2",0,0,113.65335614947,"14"
"LPAR1.2","LPAR1",0,0,112.277250291717,"14"
"OSMR.3","OSMR",0,0,100.484826189081,"14"
"GRID2","GRID2",0,0,92.1629852696275,"14"
"ABCC3","ABCC3",0,0,81.3921446576118,"14"
"GRIN2B","GRIN2B",0,0,77.5134678784841,"14"
"PLEKHH2.2","PLEKHH2",0,0,74.4156791307548,"14"
"ROBO1.3","ROBO1",0,0,73.2578972502031,"14"
"SLC22A3.2","SLC22A3",0,0,73.2578970923164,"14"
"TNFSF11","TNFSF11",0,0,67.5875571674778,"14"
"EBF3.3","EBF3",0,0,66.04441045743,"14"
"SORCS1","SORCS1",0,0,60.2190140040815,"14"
"HS3ST3A1","HS3ST3A1",0,0,58.8311248418772,"14"
"SLC26A7","SLC26A7",0,0,54.5028672921394,"14"
"DEPTOR","DEPTOR",0,0,51.6143681205811,"14"
"MUSK","MUSK",0,0,49.8198319162988,"14"
"NOL4","NOL4",0,0,48.3685433950757,"14"
"PLD5","PLD5",0,0,45.7489818304789,"14"
"C7","C7",0,0,42.9613165793061,"14"
"PLA2R1.3","PLA2R1",0,0,42.4735323965114,"14"
"EPHA3","EPHA3",0,0,41.5185847818806,"14"
"ST6GALNAC5","ST6GALNAC5",0,0,39.0342222588748,"14"
"OCA2","OCA2",0,0,38.8079218658615,"14"
"PRRX1.1","PRRX1",0,0,38.6319000937731,"14"
"ANKRD29.1","ANKRD29",0,0,37.3159972963199,"14"
"COL4A4.1","COL4A4",0,0,36.6233907000329,"14"
"EXOC3L4","EXOC3L4",0,0,36.2850068450512,"14"
"GRIA4","GRIA4",0,0,35.7820584998931,"14"
