"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"SKAP1.4","SKAP1",4.4494854742533e-205,8.17859925022499e-201,5.9707298779888,"4"
"BCL11B.4","BCL11B",9.55507942867574e-181,1.75631914978489e-176,-10.163251435648,"4"
"PTPRC.4","PTPRC",1.03002707052435e-172,1.8932927583308e-168,-54.2474279554594,"4"
"CAMK4.4","CAMK4",1.79123422681818e-170,3.2924676323145e-166,-9.71581598989532,"4"
"CD247.4","CD247",2.09131895842331e-169,3.84405337747789e-165,-17.00008373313,"4"
"ANKRD44.4","ANKRD44",5.45880211235077e-168,1.00338241627119e-163,3.08509730978345,"4"
"FYB1.4","FYB1",1.61039288575867e-160,2.96006316331301e-156,-142.373664457655,"4"
"LEF1.4","LEF1",2.15435738116088e-151,3.95992430231181e-147,-28.5298912171196,"4"
"ARHGAP15.4","ARHGAP15",1.13308355263908e-147,2.08272087810589e-143,-2.50366962277374,"4"
"RHOH.4","RHOH",2.1536319529838e-143,3.95859089277953e-139,-64.9563335787047,"4"
"TNIK.3","TNIK",2.43646297774298e-141,4.47846259938937e-137,-15.6555118386103,"4"
"INPP4B.4","INPP4B",1.00559309614739e-138,1.84838067002851e-134,-31.3563104089887,"4"
"PRKCH.4","PRKCH",3.73047227008708e-133,6.85698107964707e-129,-198.209678502404,"4"
"IKZF1.4","IKZF1",4.79026952861956e-133,8.80499442055562e-129,-35.6305128627488,"4"
"CCND3.4","CCND3",7.6505049760266e-133,1.40623931964345e-128,-29.9119466892027,"4"
"ITK.4","ITK",7.90992127015851e-133,1.45392262866784e-128,11.5548464768726,"4"
"RIPOR2.4","RIPOR2",9.53777201768626e-130,1.75313787457091e-125,-45.1289250370274,"4"
"PDE7A.4","PDE7A",7.88073432832522e-129,1.44855777688946e-124,-39.8132706786473,"4"
"ETS1.4","ETS1",4.89247610322929e-126,8.99286032534577e-122,-15.472734864828,"4"
"RUNX1.4","RUNX1",6.69756703471532e-125,1.23107979665102e-120,-54.1046388287607,"4"
"CLEC2D.4","CLEC2D",3.08295564385691e-123,5.66678076897339e-119,-12.1585509767801,"4"
"CD96.4","CD96",9.99106735498285e-121,1.8364580905194e-116,-56.5861127860738,"4"
"TRIO.4","TRIO",3.37028017725765e-120,6.19491199381729e-116,-324.753960908116,"4"
"OXNAD1.4","OXNAD1",2.32353652080688e-118,4.27089247889513e-114,-2.53481340266859,"4"
"GRAP2.4","GRAP2",3.4843452762359e-118,6.40457505224921e-114,-5.8638385797442,"4"
"SEPT6.4","SEPT6",3.94546169611108e-117,7.25215314362177e-113,-22.7659023431578,"4"
"FYN.4","FYN",6.24892884324224e-116,1.14861561067636e-111,-47.2258903787241,"4"
"PRKCQ.4","PRKCQ",8.87483485957581e-114,1.63128339553863e-109,-14.8070717669082,"4"
"SLC38A1.4","SLC38A1",9.33149381748484e-114,1.71522187859189e-109,-6.26022970606413,"4"
"ITPKB.4","ITPKB",1.79966171631168e-113,3.3079582007525e-109,-14.3792372765847,"4"
"LRMDA.4","LRMDA",6.2583041737064e-113,1.15033889016897e-108,-210.411079714796,"4"
"CDC42SE2.4","CDC42SE2",4.04548426199996e-110,7.43600462198212e-106,-44.3350356736417,"4"
"KLF12.4","KLF12",9.62647957306513e-110,1.7694432103251e-105,-25.5818893931212,"4"
"PAG1.4","PAG1",1.15435883943723e-109,2.12182698276957e-105,-48.4846459781575,"4"
"PARD3B.4","PARD3B",4.01768451309264e-109,7.38490590351557e-105,-177.065225968605,"4"
"FOXP1.4","FOXP1",2.30332592621753e-108,4.23374338498045e-104,7.59592610625074,"4"
"DOCK10.4","DOCK10",4.40735210045252e-108,8.10115389584178e-104,-182.324448096641,"4"
"MBNL1.4","MBNL1",2.22473288439825e-107,4.08928151481243e-103,-187.167308144495,"4"
"TNFAIP8.4","TNFAIP8",4.080019892772e-106,7.49948456490421e-102,-16.9307328397812,"4"
"CEP85L.4","CEP85L",1.44358012907069e-105,2.65344463524483e-101,-20.0716152583962,"4"
"TCF7.4","TCF7",2.37155288960208e-104,4.35915136637758e-100,-2.76569634627074,"4"
"EBF1.4","EBF1",3.9419038871882e-104,7.24561353504062e-100,-520.418569939387,"4"
"SEMA4D.4","SEMA4D",6.53499337903437e-104,1.20119713300031e-99,11.0513271386544,"4"
"CD28.4","CD28",5.20487056377482e-102,9.56707258327451e-98,-1.25592477224884,"4"
"KIAA1551.4","KIAA1551",1.5762971821607e-101,2.89739185052958e-97,-8.13087539972488,"4"
"STK4.4","STK4",2.15813985420181e-100,3.96687686600834e-96,-73.4710494515873,"4"
"RASGRP1.4","RASGRP1",2.97677946726711e-100,5.47161833878368e-96,-6.83044957054624,"4"
"EVL.4","EVL",1.06043773822171e-99,1.94919060662533e-95,-4.96728887460881,"4"
