"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"RHOJ.2","RHOJ",0,0,149.600357862923,"12"
"FLRT2.2","FLRT2",0,0,127.656851685867,"12"
"PLSCR4.4","PLSCR4",0,0,105.203922828456,"12"
"PDE1A.2","PDE1A",0,0,102.169149040337,"12"
"NRG3","NRG3",0,0,98.9277806446921,"12"
"ST6GALNAC3.2","ST6GALNAC3",0,0,97.5450808655985,"12"
"SEMA3D","SEMA3D",0,0,95.875518713242,"12"
"PPFIBP1.3","PPFIBP1",0,0,92.1974233207132,"12"
"NRP2.2","NRP2",0,0,89.0084944746127,"12"
"SNCAIP.1","SNCAIP",0,0,84.2108961876651,"12"
"STAB2","STAB2",0,0,80.1692311459912,"12"
"PROX1","PROX1",0,0,71.158634978452,"12"
"MMRN1","MMRN1",0,0,63.0262900496139,"12"
"GUCY1A3.1","GUCY1A3",0,0,60.151043909592,"12"
"PTPN14.3","PTPN14",0,0,47.1688215190746,"12"
"GPM6A","GPM6A",0,0,44.1015411297252,"12"
"BACE2.1","BACE2",0,0,43.1859007003331,"12"
"ITGA9.3","ITGA9",0,0,39.9458902361008,"12"
"EFEMP1.3","EFEMP1",0,0,38.510618461518,"12"
"TFPI.3","TFPI",0,0,37.0014047127678,"12"
"ZDHHC14.4","ZDHHC14",0,0,34.1861082500797,"12"
"VWF.1","VWF",0,0,34.1861049887322,"12"
"ZNF521.4","ZNF521",0,0,33.6603617333364,"12"
"PTPRE.2","PTPRE",0,0,32.7527380919072,"12"
"LDB2.2","LDB2",0,0,32.7434132091707,"12"
"KLHL4","KLHL4",0,0,31.3708383723813,"12"
"RASSF9.1","RASSF9",0,0,30.8553337024117,"12"
"PPP1R9A.1","PPP1R9A",0,0,29.8470247785261,"12"
"LYPD6","LYPD6",0,0,27.0412911668647,"12"
"DOCK5.1","DOCK5",0,0,26.971224793497,"12"
"PKHD1L1","PKHD1L1",0,0,25.0874270677426,"12"
"NTN1","NTN1",0,0,24.0871371597454,"12"
"STXBP6.1","STXBP6",0,0,24.0712786308374,"12"
"FOXP2.3","FOXP2",0,0,21.6396874581851,"12"
"PGM5.2","PGM5",0,0,19.9864445952232,"12"
"EGFL7.1","EGFL7",0,0,18.0684382508412,"12"
"OSBPL6","OSBPL6",0,0,17.5742159263883,"12"
"KALRN.3","KALRN",0,0,15.6371457671344,"12"
"PCLO","PCLO",0,0,15.6270739291376,"12"
