"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"ITGA8.1","ITGA8",0,0,139.025497476685,"15"
"RYR2","RYR2",0,0,51.9515593923318,"15"
"ACTG2","ACTG2",0,0,46.8922100392053,"15"
"ARHGAP6.4","ARHGAP6",0,0,43.8076157456565,"15"
"MYOCD","MYOCD",0,0,41.1336756707911,"15"
"FHL5","FHL5",0,0,35.6991177344695,"15"
"COL4A5.1","COL4A5",0,0,18.3660594092457,"15"
"COL4A6","COL4A6",0,0,16.7558232694261,"15"
"NOTCH3","NOTCH3",0,0,14.4885344314387,"15"
"EDNRA","EDNRA",0,0,13.5491411311889,"15"
"TBX2","TBX2",0,0,10.8226340612629,"15"
"CDH6","CDH6",0,0,9.32517585407252,"15"
"MRVI1","MRVI1",0,0,8.19492843410995,"15"
"CNN1","CNN1",0,0,8.13225670525851,"15"
"LDB3","LDB3",0,0,5.64337353330078,"15"
"WNK2","WNK2",0,0,5.60528317598353,"15"
"SPEG","SPEG",0,0,5.44178791231917,"15"
"CASQ2","CASQ2",0,0,4.64132922266137,"15"
"JPH2","JPH2",0,0,2.25653726192017,"15"
"DGKG","DGKG",0,0,-0.4229547779303,"15"
"LMOD1.2","LMOD1",0,0,-2.33240797201693,"15"
"NPNT","NPNT",0,0,-5.77506515826002,"15"
"DTNA.3","DTNA",0,0,-7.72599931822405,"15"
"MYLK.1","MYLK",0,0,-11.8305555815957,"15"
"EDIL3","EDIL3",0,0,-12.4273413859477,"15"
"SGIP1.1","SGIP1",0,0,-24.9092044203651,"15"
"PDZRN4","PDZRN4",0,0,-71.6080033215191,"15"
"PRKG1.4","PRKG1",8.57736264845629e-300,1.57660502841275e-295,117.394759622029,"15"
"SMTN","SMTN",4.88804167434531e-297,8.98470940161412e-293,3.82719448104164,"15"
"NFASC","NFASC",4.31881457462702e-295,7.93841306962192e-291,-6.64545688470144,"15"
"CACNA1C.2","CACNA1C",1.51044401990248e-289,2.77634715298274e-285,28.390899631966,"15"
"MYL9.1","MYL9",5.66475052082422e-288,1.0412377932327e-283,58.234575186965,"15"
"PARM1.1","PARM1",9.58071580081904e-286,1.76103137134855e-281,7.72923994043806,"15"
"PRUNE2","PRUNE2",2.77310784389209e-285,5.09724952785805e-281,-2.3586166928534,"15"
"TPM1.2","TPM1",2.65122564761901e-274,4.8732178628885e-270,-81.1162693334258,"15"
"GRIN2A","GRIN2A",1.22342750126963e-271,2.24878209008371e-267,7.94331888738305,"15"
"RGS6","RGS6",1.28118609527875e-256,2.35494816173187e-252,-84.7704448824228,"15"
"CAP2.1","CAP2",6.75858138719281e-253,1.24229484477991e-248,5.62758336275768,"15"
"KCNAB1.1","KCNAB1",3.84380490497835e-252,7.06529779584071e-248,-29.7436375043458,"15"
"PPFIA2.1","PPFIA2",2.92681645181863e-249,5.37978132008783e-245,6.20121891835483,"15"
"KCNMA1.1","KCNMA1",2.54211437249332e-247,4.67266042807998e-243,-34.1931257395454,"15"
"IGFBP7.4","IGFBP7",8.32824265844767e-246,1.53081428304927e-241,-142.300010909953,"15"
"REEP1","REEP1",6.46410469781084e-244,1.18816708450461e-239,2.20042337804121,"15"
