"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"ALDH1L1","ALDH1L1",0,0,-3.66902578913516,"8"
"PXDN.1","PXDN",0,0,-8.51868540335828,"8"
"ADCY5","ADCY5",0,0,-8.55460060162167,"8"
"GPD1","GPD1",0,0,-8.56359314501106,"8"
"MLXIPL","MLXIPL",0,0,-9.51453703298256,"8"
"ATP9A.1","ATP9A",0,0,-11.3173750321525,"8"
"SORT1","SORT1",0,0,-11.9251633014551,"8"
"PTPRF","PTPRF",0,0,-12.3703161291975,"8"
"KLB","KLB",0,0,-14.94409856427,"8"
"KCNIP2","KCNIP2",0,0,-15.6831005484576,"8"
"CIDEA","CIDEA",0,0,-16.2600236984807,"8"
"PALM2-AKAP2","PALM2-AKAP2",0,0,-16.5199812593755,"8"
"GABRE.1","GABRE",0,0,-16.831736039402,"8"
"PLIN4","PLIN4",0,0,-17.895360981996,"8"
"TBL1Y","TBL1Y",0,0,-19.2924803201582,"8"
"AL845331.2","AL845331.2",0,0,-20.9001299057605,"8"
"MARC1","MARC1",0,0,-21.0285467032301,"8"
"PLA2G16","PLA2G16",0,0,-21.1736330089611,"8"
"SLC1A3.1","SLC1A3",0,0,-23.8654951220248,"8"
"SOX6","SOX6",0,0,-24.904653343588,"8"
"EPB41L4B","EPB41L4B",0,0,-25.8699696930827,"8"
"TNS1.2","TNS1",0,0,-27.2737816776494,"8"
"MAOA","MAOA",0,0,-31.5132772343003,"8"
"PRICKLE2.1","PRICKLE2",0,0,-31.9829841662428,"8"
"ADIPOQ","ADIPOQ",0,0,-34.9698025838913,"8"
"YAP1.1","YAP1",0,0,-35.746278896157,"8"
"ACSS2","ACSS2",0,0,-35.8913301305334,"8"
"PFKFB1","PFKFB1",0,0,-36.7380077198378,"8"
"ALPK3","ALPK3",0,0,-37.5176010355337,"8"
"PLIN5","PLIN5",0,0,-37.6319749940342,"8"
"NHS.1","NHS",0,0,-38.2078332930329,"8"
"THSD7B","THSD7B",0,0,-38.4707697128019,"8"
"ADAMTS12.1","ADAMTS12",0,0,-39.4650652448291,"8"
"LVRN.1","LVRN",0,0,-40.3710678677025,"8"
"PECR","PECR",0,0,-41.2169897879264,"8"
"ADRA1A","ADRA1A",0,0,-45.6203642094231,"8"
"PTPRS.1","PTPRS",0,0,-46.2170918788738,"8"
"ABHD5","ABHD5",0,0,-49.1243512102021,"8"
"ITIH5.1","ITIH5",0,0,-49.2243304691806,"8"
"GYG2","GYG2",0,0,-49.2940601210641,"8"
"EYA1","EYA1",0,0,-49.5857042931657,"8"
"GNAI1","GNAI1",0,0,-50.142397654965,"8"
"FGF2.1","FGF2",0,0,-50.8351168075371,"8"
"PRKAR2B","PRKAR2B",0,0,-51.7074568589843,"8"
"THRB.2","THRB",0,0,-54.5084112381461,"8"
"LDLRAD3","LDLRAD3",0,0,-55.2665276957971,"8"
"FIGN.1","FIGN",0,0,-55.7017143087646,"8"
"LGR4.1","LGR4",0,0,-56.2088421383272,"8"
"PALMD","PALMD",0,0,-57.0933506701425,"8"
"TLN2.1","TLN2",0,0,-57.6106539103823,"8"
"GPAM","GPAM",0,0,-58.0498896570906,"8"
"ACSL1.1","ACSL1",0,0,-60.4160951222498,"8"
"PLIN1","PLIN1",0,0,-60.719896255823,"8"
"ANGPTL4","ANGPTL4",0,0,-61.8067795550289,"8"
"COL4A1.1","COL4A1",0,0,-64.703262253694,"8"
"PPP2R1B.1","PPP2R1B",0,0,-67.1005516546897,"8"
"FOXP2.1","FOXP2",0,0,-67.5325262071378,"8"
"AQP7","AQP7",0,0,-68.0708760324932,"8"
"MEST","MEST",0,0,-71.5686597833634,"8"
"PDZRN3.1","PDZRN3",0,0,-71.9020285579986,"8"
"TRHDE","TRHDE",0,0,-74.737721390477,"8"
"COL4A2.1","COL4A2",0,0,-76.9082525970839,"8"
"SEMA3A","SEMA3A",0,0,-79.9980416569689,"8"
"PBX1.1","PBX1",0,0,-81.561359869788,"8"
"MGST1.1","MGST1",0,0,-84.8819605571331,"8"
"TEAD1.1","TEAD1",0,0,-86.1204357094544,"8"
"ELMO1.7","ELMO1",0,0,-86.912154766608,"8"
"MAPK10.1","MAPK10",0,0,-88.5585831663806,"8"
"RNF150.1","RNF150",0,0,-96.0148621899963,"8"
"ACSS3.1","ACSS3",0,0,-96.4308604467825,"8"
"RBPMS.1","RBPMS",0,0,-96.4310038739487,"8"
"SLC19A3","SLC19A3",0,0,-96.4679436386245,"8"
"PLXNA4","PLXNA4",0,0,-99.0109915923005,"8"
"PTGER3","PTGER3",0,0,-102.00482124659,"8"
"PCOLCE2.1","PCOLCE2",0,0,-103.286279518587,"8"
"TCF7L2.8","TCF7L2",0,0,-104.644039512987,"8"
"LMO3.1","LMO3",0,0,-107.582100956933,"8"
"ANGPT1.1","ANGPT1",0,0,-110.799893558912,"8"
"AGBL4","AGBL4",0,0,-113.987435176816,"8"
"SOX5.1","SOX5",0,0,-117.544790056824,"8"
"RHOBTB3.1","RHOBTB3",0,0,-118.749142282589,"8"
"ACACB.8","ACACB",0,0,-120.956821240988,"8"
"LAMA4.1","LAMA4",0,0,-122.399515099731,"8"
"TMEM132C.1","TMEM132C",0,0,-125.284902756937,"8"
"LPL","LPL",0,0,-125.488966813035,"8"
"ITSN1.2","ITSN1",0,0,-135.241263614782,"8"
"CLSTN2","CLSTN2",0,0,-159.909587340517,"8"
"SORBS1","SORBS1",0,0,-164.22797917197,"8"
"ADH1B.1","ADH1B",0,0,-164.236890782884,"8"
"DLC1.1","DLC1",0,0,-165.163586508163,"8"
"PTPRG.2","PTPRG",0,0,-165.204936186165,"8"
"CALCRL","CALCRL",0,0,-172.893814741733,"8"
"TENM3.1","TENM3",0,0,-173.959389485256,"8"
"PPARG.2","PPARG",0,0,-197.419658485882,"8"
"LRP1B","LRP1B",0,0,-197.445819059618,"8"
"PCDH9.1","PCDH9",0,0,-198.419658434556,"8"
"MAST4.8","MAST4",0,0,-227.716229911005,"8"
"EFNA5.1","EFNA5",0,0,-233.255134092061,"8"
"SIK2.7","SIK2",0,0,-292.565712615256,"8"
"CD36.1","CD36",0,0,-330.143979158938,"8"
"GHR.1","GHR",0,0,-335.918093887126,"8"
"DMD.3","DMD",0,0,-363.731815802606,"8"
"EBF1.8","EBF1",0,0,-406.539711959121,"8"
"FAM13A.8","FAM13A",0,0,-410.936960507362,"8"
"FABP4","FABP4",0,0,-442.677811836592,"8"
"ANKRD44.8","ANKRD44",7.25541750269209e-307,1.33361829116983e-302,-82.0907233468822,"8"
"NFIB.1","NFIB",1.86949827646119e-306,3.43632478196331e-302,-76.4781174036859,"8"
"EYA4","EYA4",1.36246163598026e-304,2.50434073309531e-300,-42.3930362220368,"8"
"INSR.2","INSR",4.66051907086306e-303,8.56650010415339e-299,-52.9662482459136,"8"
"CPM.1","CPM",9.25635323018261e-303,1.70141028723987e-298,-81.1786563048457,"8"
"ACVR1C","ACVR1C",1.83988716128211e-300,3.38189659115265e-296,-62.2571275227941,"8"
"NAV3.1","NAV3",6.57371087609202e-299,1.20831379613447e-294,-93.5464944105506,"8"
"GPC6.1","GPC6",5.06837489826174e-296,9.3161799004949e-292,-135.383771083459,"8"
"FRMD4A.8","FRMD4A",1.17856359920914e-294,2.16631775170633e-290,-145.319368600771,"8"
"FNBP1.8","FNBP1",5.22986338806292e-294,9.61301189359846e-290,-251.826136930105,"8"
"APBB2.1","APBB2",2.49024661495644e-291,4.57732230295143e-287,-67.5610821067963,"8"
"ARHGAP15.8","ARHGAP15",3.94878656320179e-291,7.25826458182121e-287,-121.967972655753,"8"
"C6","C6",8.67575327156925e-290,1.59469020884714e-285,-80.3525480452403,"8"
"MME.1","MME",1.71529283201733e-287,3.15287975453106e-283,-34.2379855185927,"8"
"MAGI2.1","MAGI2",5.08175593059966e-287,9.34077557603523e-283,-110.363437452384,"8"
"CDC42SE2.8","CDC42SE2",1.31329659839642e-286,2.41397047751246e-282,-79.118228883134,"8"
"PTPRC.8","PTPRC",1.46611161123393e-285,2.69485975260909e-281,-118.271806187713,"8"
"PHLDB2.1","PHLDB2",1.67763837964913e-285,3.08366710563306e-281,-6.54125927286161,"8"
"MAOB","MAOB",1.90733687366336e-282,3.50587590748063e-278,-17.082779937155,"8"
"PDGFC.1","PDGFC",3.19339008107353e-281,5.86977030802126e-277,-55.2925884103096,"8"
"GRK3.1","GRK3",3.93968177719182e-280,7.24152907465628e-276,-92.0769136387429,"8"
