"","gene","p_val","p_val_adj","avg_log2FC","cluster"
"MCTP1.1","MCTP1",0,0,357.027229746833,"10"
"CRIM1.3","CRIM1",0,0,297.876667573638,"10"
"ADAMTS9.1","ADAMTS9",0,0,290.65932629837,"10"
"MECOM.8","MECOM",0,0,202.658860371733,"10"
"RYR3","RYR3",0,0,152.086944019458,"10"
"SPARCL1","SPARCL1",0,0,140.431198773918,"10"
"PTPRB","PTPRB",0,0,120.241916611427,"10"
"SULF1.2","SULF1",0,0,116.097157917966,"10"
"RUNX1T1.3","RUNX1T1",0,0,113.115791503811,"10"
"RAB3C","RAB3C",0,0,96.0663120556529,"10"
"COL8A1","COL8A1",0,0,92.9876775863912,"10"
"DACH1","DACH1",0,0,91.5710642968421,"10"
"KIAA1217.4","KIAA1217",0,0,91.3850774408344,"10"
"FAM155A","FAM155A",0,0,85.8005653206899,"10"
"ERG","ERG",0,0,85.6621673487858,"10"
"TLL1","TLL1",0,0,84.3578672027649,"10"
"ANO2","ANO2",0,0,81.44627846291,"10"
"ACKR1","ACKR1",0,0,81.1628732286687,"10"
"TACR1","TACR1",0,0,77.106430606702,"10"
"SLCO2A1","SLCO2A1",0,0,76.2398730967295,"10"
"ADGRG6","ADGRG6",0,0,74.3529107791608,"10"
"LMCD1.1","LMCD1",0,0,73.6510559552366,"10"
"PKP4.2","PKP4",0,0,68.4882220091938,"10"
"MMP16","MMP16",0,0,66.8696252142706,"10"
"MYRIP","MYRIP",0,0,65.6031082448501,"10"
"IGFBP7.1","IGFBP7",0,0,65.6028314952143,"10"
"CLIC4.2","CLIC4",0,0,61.7040777473224,"10"
"CADPS2.2","CADPS2",0,0,61.233286165682,"10"
"MSRB3.3","MSRB3",0,0,59.286285387787,"10"
"EMCN","EMCN",0,0,58.385765020187,"10"
"CYYR1","CYYR1",0,0,57.4122941965017,"10"
"ELOVL7","ELOVL7",0,0,54.4111897193959,"10"
"VEGFC","VEGFC",0,0,54.0350652824671,"10"
"UACA.4","UACA",0,0,51.0630726880237,"10"
"ADGRL4","ADGRL4",0,0,46.9220355203225,"10"
"BMP6","BMP6",0,0,45.4051663676588,"10"
"EFNB2","EFNB2",0,0,45.2399850790846,"10"
"ABLIM3","ABLIM3",0,0,41.8902521715627,"10"
"MEOX2","MEOX2",0,0,41.0770154261731,"10"
"THSD7A.1","THSD7A",0,0,41.0331681264859,"10"
"PECAM1.1","PECAM1",0,0,39.6198164954919,"10"
"IL1R1.1","IL1R1",0,0,35.1230901422706,"10"
"TM4SF1","TM4SF1",0,0,35.0281913791182,"10"
"JAM2","JAM2",0,0,34.507044210346,"10"
"PLCXD3","PLCXD3",0,0,34.0339769357597,"10"
"NOSTRIN","NOSTRIN",0,0,33.8577225942883,"10"
"HSPG2.3","HSPG2",0,0,33.8017107109629,"10"
"RAPGEF4.1","RAPGEF4",0,0,33.2647346207162,"10"
"EPAS1.1","EPAS1",0,0,30.9781505144376,"10"
"SHROOM4","SHROOM4",0,0,29.8981330227817,"10"
"STOX2.1","STOX2",0,0,29.5354313478116,"10"
"TJP1.2","TJP1",0,0,29.5092662726096,"10"
"CDC42BPA.3","CDC42BPA",0,0,25.2073598819166,"10"
