"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GEMIN6",0.0134927551518801,0.0222429264205661,0.01,0.024,1
"BBOX1",0.0135101439527346,-0.0109903068893165,0.003,0.011,1
"EDA",0.0135177172202134,0.783480190970147,0.345,0.359,1
"ATP6V0A1",0.0135277112401486,0.242087036756237,0.318,0.478,1
"AC145146.1",0.0135309228578107,-0.0241607343315917,0.003,0.011,1
"AL139241.1",0.0135309228578107,-0.0135218090308463,0.003,0.011,1
"AC009292.2",0.0135309228578107,-0.0182155073081166,0.003,0.011,1
"AC021491.1",0.0135309228578107,-0.0205905106216997,0.003,0.011,1
"NR2F2",0.0135513807491149,0.132923391648589,0.081,0.127,1
"AC008781.1",0.0135517299946149,-0.0140985409421577,0.003,0.011,1
"SIGLEC11",0.0135517299946149,-0.0094226093312367,0.003,0.011,1
"MXI1",0.0135591804150213,0.200382047195738,0.167,0.246,1
"NMD3",0.0135662000326279,0.291598098914196,0.183,0.273,1
